
[00:00:00.000 --> 00:00:02.000]  靜止會,平安
[00:00:02.000 --> 00:00:04.000]  讓我們先一齊低頭祈禱
[00:00:04.000 --> 00:00:06.000]  神父我們感謝祢的恩典
[00:00:06.000 --> 00:00:12.000]  使我們有機會一同聚集
[00:00:12.000 --> 00:00:16.000]  雖然在網上聚集
[00:00:16.000 --> 00:00:18.000]  但我們都一同敬拜祢
[00:00:18.000 --> 00:00:20.000]  可以聆聽祢的說話
[00:00:20.000 --> 00:00:22.000]  靠聖靈保守大靈
[00:00:22.000 --> 00:00:24.000]  讓我們聽到祢的說話的時候
[00:00:24.000 --> 00:00:26.000]  有聖靈的幫助
[00:00:26.000 --> 00:00:28.000]  樂意進行祢的教導
[00:00:28.000 --> 00:00:30.000]  奉耶穌基督的名祈禱
[00:00:30.000 --> 00:00:32.000]  阿門
[00:00:32.000 --> 00:00:36.000]  最近我們思想過哥羅西書
[00:00:36.000 --> 00:00:40.000]  保羅的書信一般都是先講基督教的真理
[00:00:40.000 --> 00:00:44.000]  然後講如何在生活中實踐
[00:00:44.000 --> 00:00:50.000]  但上次我講到實踐一些保羅的教導的時候
[00:00:50.000 --> 00:00:52.000]  由於時間的關係
[00:00:52.000 --> 00:00:54.000]  不能夠深入講解
[00:00:54.000 --> 00:00:58.000]  七月份有四個主日
[00:00:58.000 --> 00:01:00.000]  前三個主日都是教會國堂
[00:01:00.000 --> 00:01:04.000]  可以讓我們牧師自選經文和講題
[00:01:04.000 --> 00:01:08.000]  所以我今天會講「相交相愛」
[00:01:08.000 --> 00:01:14.000]  相交是指與上帝相交
[00:01:14.000 --> 00:01:18.000]  相愛是指弟兄姊妹間的相愛
[00:01:18.000 --> 00:01:24.000]  下星期我們會有一個有關瑤書的道理
[00:01:24.000 --> 00:01:30.000]  和實際上可以怎樣做的方法和大家分享
[00:01:30.000 --> 00:01:32.000]  如果我問大家一個問題
[00:01:32.000 --> 00:01:34.000]  不知道大家會怎樣回答
[00:01:34.000 --> 00:01:36.000]  問題是
[00:01:36.000 --> 00:01:40.000]  信耶穌最大的好處是什麼?
[00:01:40.000 --> 00:01:44.000]  我給大家十秒鐘時間去想一想
[00:01:48.000 --> 00:01:58.000]  我記得在上世紀七十年代的香港教會
[00:01:58.000 --> 00:02:02.000]  很多都會在外面掛一個廣告牌
[00:02:02.000 --> 00:02:06.000]  寫著「信耶穌得永生」
