
[00:00:00.000 --> 00:00:02.400]  上個禮拜牧師講到的時候
[00:00:02.400 --> 00:00:04.000]  他用了今天我們的經文
[00:00:04.000 --> 00:00:06.760]  那個約翰一書裡面講的
[00:00:06.760 --> 00:00:07.840]  他說
[00:00:07.840 --> 00:00:10.480]  在他講永生神的家裡面
[00:00:10.480 --> 00:00:14.160]  有父老 少女與孝子
[00:00:14.160 --> 00:00:15.680]  所以今天呢
[00:00:15.680 --> 00:00:18.160]  我就想跟大家一起來思想一下
[00:00:18.160 --> 00:00:19.320]  定位一下
[00:00:19.320 --> 00:00:21.160]  你的位分是什麼
[00:00:21.160 --> 00:00:22.920]  你在這個教會裡面
[00:00:22.920 --> 00:00:24.320]  你是誰
[00:00:24.320 --> 00:00:27.320]  讓我們低頭禱告
[00:00:27.320 --> 00:00:29.840]  天父我們用感恩的心來到你面前
[00:00:29.840 --> 00:00:30.840]  親愛的主
[00:00:30.840 --> 00:00:32.640]  我們實在知道
[00:00:32.640 --> 00:00:34.440]  祢是那看顧我們的神
[00:00:34.440 --> 00:00:36.280]  Hallelujah 讚美祢
[00:00:36.280 --> 00:00:38.560]  所以說當我們再一次來到你面前的時候
[00:00:38.560 --> 00:00:40.280]  所以說我們要再一次的
[00:00:40.280 --> 00:00:41.640]  伏伏在你的面前
[00:00:41.640 --> 00:00:44.680]  因為我們知道我們本都是罪人
[00:00:44.680 --> 00:00:47.560]  所以說我們只有你自己的慈愛恩典和憐憫
[00:00:47.560 --> 00:00:50.760]  才能夠把我們引到平安的路上
[00:00:50.760 --> 00:00:52.520]  所以說當我們今天一起再一次
[00:00:52.520 --> 00:00:53.840]  奉耶穌基督的名
[00:00:53.840 --> 00:00:55.480]  在這裡聚集的時候
[00:00:55.480 --> 00:00:57.760]  所以說我們知道是因著主的愛
[00:00:57.760 --> 00:00:59.600]  我們在愛中相聚
[00:00:59.600 --> 00:01:00.560]  Hallelujah
[00:01:00.560 --> 00:01:02.000]  主耶穌與我們同在
[00:01:02.000 --> 00:01:03.440]  開我們的耳朵
[00:01:03.440 --> 00:01:04.840]  開我們的心
[00:01:04.840 --> 00:01:06.040]  讓我們能夠聽到
[00:01:06.040 --> 00:01:08.120]  祢從天上來的教訓
[00:01:08.120 --> 00:01:09.680]  奉耶穌的名祈禱
[00:01:09.680 --> 00:01:10.680]  Amen
[00:01:10.680 --> 00:01:13.360]  在那個荒漠甘泉裡面
[00:01:13.360 --> 00:01:14.960]  有一篇裡面
