
[00:00:00.000 --> 00:00:03.380]  今次這個題目真是好
[00:00:03.380 --> 00:00:06.760]  這個題目不是我定的
[00:00:06.760 --> 00:00:11.780]  這個題目最重要是哪兩個字呢?
[00:00:11.780 --> 00:00:16.280]  「同行」
[00:00:16.280 --> 00:00:23.240]  因為人不可以單槍匹馬走天涯
[00:00:23.240 --> 00:00:25.640]  有一本書叫做《Social Animals》
[00:00:25.640 --> 00:00:32.320]  人一生出來 如果沒有朋友 沒有家人 他一定會死的
[00:00:32.320 --> 00:00:35.060]  但是人更加重要的是神創造我們
[00:00:35.060 --> 00:00:39.640]  不僅是社會動物 而是一個靈性的存在
[00:00:39.640 --> 00:00:42.020]  人與其他動物不同
[00:00:42.020 --> 00:00:44.380]  人是神親自創造
[00:00:44.380 --> 00:00:46.860]  與動物不同的是
[00:00:46.860 --> 00:00:51.860]  神親自吹他的聖靈 他的氣進入我們
[00:00:51.860 --> 00:00:59.340]  變成我們成為萬物當中唯一有靈的活人
[00:00:59.340 --> 00:01:00.700]  有靈的
[00:01:00.700 --> 00:01:02.740]  我做醫生的
[00:01:02.740 --> 00:01:06.900]  我當然是真的醫生
[00:01:06.900 --> 00:01:11.380]  醫生是關心人的身體
[00:01:11.380 --> 00:01:15.020]  但是心理是有影響的
[00:01:15.020 --> 00:01:16.620]  所以你剛才看到的
[00:01:16.620 --> 00:01:19.700]  如果他情緒不好 身體會差一點
[00:01:19.700 --> 00:01:22.320]  頭痛等等是有關係的
[00:01:22.320 --> 00:01:24.040]  不過不僅如此
[00:01:24.040 --> 00:01:27.880]  我做醫生還關心他的靈魂
[00:01:27.880 --> 00:01:29.060]  為什麼呢?
[00:01:29.060 --> 00:01:30.140]  真的
[00:01:30.140 --> 00:01:32.180]  我做了五年醫生
[00:01:32.180 --> 00:01:35.500]  每個人一到癌症就害怕
[00:01:35.500 --> 00:01:38.740]  為什麼人到癌症就問一個問題
[00:01:38.740 --> 00:01:41.500]  「我去哪裏?」
[00:01:41.500 --> 00:01:43.180]  會問的
[00:01:43.180 --> 00:01:47.100]  平時沒有病的時候 你就不問一些很重要的問題
[00:01:47.100 --> 00:01:50.260]  人都是在生死關頭 你就問一些最重要的問題
[00:01:50.260 --> 00:01:52.260]  「我是誰?」
[00:01:52.260 --> 00:01:54.940]  「我完了之後我去哪裏?」
[00:01:54.940 --> 00:01:57.020]  我發覺這個問題
[00:01:57.020 --> 00:01:58.940]  人人都要回答的
[00:01:58.940 --> 00:02:02.020]  因為我做醫生有一個最有把握的東西
