
[00:00:00.000 --> 00:00:03.780]  感謝神今天是特別的一個主日
[00:00:03.780 --> 00:00:06.260]  能夠和大家分享神的話語
[00:00:06.260 --> 00:00:12.000]  今天的特別是因爲祂是紀念主耶穌爲我們復活
[00:00:12.000 --> 00:00:20.440]  特別先和大家講一個故事
[00:00:25.100 --> 00:00:31.400]  話說在一個復活主日的下午
[00:00:31.400 --> 00:00:33.520]  有一個爸爸
[00:00:33.520 --> 00:00:45.900]  他踩單車載着他三歲歲的小女兒去遊車河
[00:00:45.900 --> 00:00:49.820]  我相信有些爸爸都會做過
[00:00:49.820 --> 00:00:53.440]  挺有親情的感覺
[00:00:53.440 --> 00:01:00.640]  當你的小朋友在你懷中或者在後面抱着你的時候
[00:01:00.640 --> 00:01:02.840]  一邊踩單車一邊聊天
[00:01:02.840 --> 00:01:06.360]  是一個非常溫馨的時刻
[00:01:06.360 --> 00:01:12.600]  他們一邊踩單車一邊去遊車河
[00:01:12.600 --> 00:01:21.360]  踩着踩着他們踩進了一個很大很幽靜的墳牆裏面
[00:01:22.280 --> 00:01:24.800]  你知道美國的墳牆,有些墳牆很漂亮
[00:01:24.800 --> 00:01:26.900]  只是一個很大很漂亮的公園
[00:01:26.900 --> 00:01:29.120]  他們一邊踩進去
[00:01:29.120 --> 00:01:31.360]  小女孩就問爸爸
[00:01:31.360 --> 00:01:34.280]  這裏是什麼地方來的
[00:01:34.280 --> 00:01:38.960]  爸爸就說這裏是死人住的地方
[00:01:38.960 --> 00:01:43.760]  死了的人就會埋葬在這個地方的地下里面
[00:01:43.760 --> 00:01:46.200]  他們以後就不可以動
[00:01:46.200 --> 00:01:48.520]  又不可以走來走去
[00:01:50.320 --> 00:01:52.920]  小女孩就說
[00:01:52.920 --> 00:01:57.320]  哦,不過今天早上主日學老師就說
[00:01:57.320 --> 00:02:02.400]  信耶穌的人雖然死了,但是將來會復活的
[00:02:02.400 --> 00:02:06.800]  爸爸就說,對啊,你說得對
[00:02:06.800 --> 00:02:10.800]  於是他們就繼續踩單車
[00:02:10.800 --> 00:02:12.400]  過了一段時間
[00:02:12.400 --> 00:02:19.400]  過了一個月之後就到國殤紀念日的那個假期了
[00:02:19.400 --> 00:02:23.480]  就是紀念週末,或者紀念週末
[00:02:23.480 --> 00:02:26.760]  就是遲些就有了,四個星期後左右
[00:02:26.760 --> 00:02:29.240]  他們又是假期
[00:02:29.240 --> 00:02:32.560]  在中午時分,他們又去踩單車
[00:02:32.560 --> 00:02:41.680]  他們又剛好踩着踩着就踩進去那個很大很幽靜的墳牆裏面
[00:02:41.680 --> 00:02:44.280]  不過這次呢
[00:02:44.280 --> 00:02:46.080]  就不同了
[00:02:46.080 --> 00:02:49.040]  這次他們見到很多人在那裏
[00:02:50.160 --> 00:02:55.120]  有些就是一家人圍在那裏野餐
