
[00:00:00.000 --> 00:00:02.440]  我們繼續看詩篇
[00:00:02.440 --> 00:00:05.400]  詩篇今天選了第46篇
[00:00:05.400 --> 00:00:07.400]  46篇記不記得是講什麼的
[00:00:07.400 --> 00:00:10.400]  這一篇的詩篇是最多人知道的
[00:00:10.400 --> 00:00:16.400]  還有很多家傳戶曉的經文和詩歌都是出自46篇的
[00:00:16.400 --> 00:00:17.600]  記得嗎?
[00:00:17.600 --> 00:00:19.200]  記不記得有一句叫做
[00:00:19.200 --> 00:00:24.400]  「你們要安靜,要知道我是神,Be still and know that I am God」
[00:00:24.400 --> 00:00:25.400]  記得嗎?
[00:00:25.400 --> 00:00:27.400]  就是46篇出來的
[00:00:27.400 --> 00:00:30.400]  還有記不記得那些老牌的信徒
[00:00:30.400 --> 00:00:32.400]  應該記得有一首詩歌叫做
[00:00:32.400 --> 00:00:33.400]  Mighty Fortress
[00:00:33.400 --> 00:00:35.400]  「你是我堅固保障」
[00:00:35.400 --> 00:00:36.400]  記得嗎?
[00:00:36.400 --> 00:00:39.400]  這裡好像不是很多老牌信徒
[00:00:39.400 --> 00:00:42.400]  這些是很舊的詩歌
[00:00:42.400 --> 00:00:44.400]  就是以前改教之父
[00:00:44.400 --> 00:00:48.400]  大概四五百年前Martin Luther
[00:00:48.400 --> 00:00:50.400]  他寫的一首詩歌
[00:00:50.400 --> 00:00:53.400]  他的歌詞是出自46篇的
[00:00:53.400 --> 00:00:57.400]  但是當Martin Luther寫這首叫做Mighty Fortress
[00:00:57.400 --> 00:00:58.400]  「堅固保障」的時候
[00:00:58.400 --> 00:01:02.400]  他不是在一個很安穩的Lazy boy上面寫的
[00:01:02.400 --> 00:01:06.400]  他是在一個很大壓力的時間底下
[00:01:06.400 --> 00:01:08.400]  當時改教一五幾年的時候
[00:01:08.400 --> 00:01:17.400]  他受到當時的中世紀末段的腐敗了的教廷去迫害他
[00:01:17.400 --> 00:01:21.400]  於是乎在他的靈修、在他的默想裡面
[00:01:21.400 --> 00:01:22.400]  他很掙扎
[00:01:22.400 --> 00:01:24.400]  然後看到46篇的時候
[00:01:24.400 --> 00:01:27.400]  他就寫了一首叫做「堅固保障」
[00:01:27.400 --> 00:01:29.400]  「上帝是我們堅固保障」
[00:01:29.400 --> 00:01:31.400]  不如我們一起看這篇詩篇好嗎?
[00:01:31.400 --> 00:01:32.400]  我們先讀
[00:01:32.400 --> 00:01:34.400]  就是有11節的
[00:01:34.400 --> 00:01:36.400]  今天無論你正在經歷什麼
[00:01:36.400 --> 00:01:39.400]  可能你心裡面有很多驚慌
[00:01:39.400 --> 00:01:41.400]  面對自己
[00:01:41.400 --> 00:01:42.400]  面對前途
[00:01:42.400 --> 00:01:47.400]  或者面對你現在不同的處境、困境都好
[00:01:47.400 --> 00:01:49.400]  這首詩歌希望帶給你一些力量
[00:01:49.400 --> 00:01:51.400]  46篇第一節
[00:01:51.400 --> 00:01:53.400]  上帝是我們的避難所
[00:01:53.400 --> 00:01:54.400]  是我們的力量
[00:01:54.400 --> 00:01:57.400]  是我們患難中隨時的幫助
[00:01:57.400 --> 00:01:58.400]  所以地需改變
[00:01:58.400 --> 00:02:01.400]  山需搖動到海深
[00:02:01.400 --> 00:02:04.400]  其中的水需澎湃方騰
[00:02:04.400 --> 00:02:07.400]  山需因海漲而顫抖
[00:02:07.400 --> 00:02:10.400]  我們也不害怕
[00:02:10.400 --> 00:02:11.400]  有一條河
[00:02:11.400 --> 00:02:14.400]  這條河分叉使上帝的城寬起
[00:02:14.400 --> 00:02:18.400]  這城就是至高者居住的聖所
[00:02:18.400 --> 00:02:19.400]  上帝在其中
[00:02:19.400 --> 00:02:21.400]  城必不動搖
[00:02:21.400 --> 00:02:22.400]  到天一亮
[00:02:22.400 --> 00:02:25.400]  上帝必幫助這城
[00:02:25.400 --> 00:02:28.400]  萬邦軒揚
[00:02:28.400 --> 00:02:30.400]  國道動搖
[00:02:30.400 --> 00:02:31.400]  上帝出聲
[00:02:31.400 --> 00:02:33.400]  地就融化
[00:02:33.400 --> 00:02:36.400]  萬君子耶和華與我們同在
[00:02:36.400 --> 00:02:39.400]  那國的上帝是我們的避難所
[00:02:39.400 --> 00:02:41.400]  你們來看耶和華的作為
[00:02:41.400 --> 00:02:44.400]  看他使地怎樣荒涼
[00:02:44.400 --> 00:02:47.400]  他止息戰爭直到地極
[00:02:47.400 --> 00:02:49.400]  他折弓斷槍
[00:02:49.400 --> 00:02:52.400]  把戰車焚燒在火中
[00:02:52.400 --> 00:02:54.400]  你們要休息
[00:02:54.400 --> 00:02:56.400]  要知道我是神
[00:02:56.400 --> 00:02:59.400]  我必在列國中受尊崇
[00:02:59.400 --> 00:03:02.400]  在全地也受尊崇
[00:03:02.400 --> 00:03:05.400]  耶和華與我們同在
[00:03:05.400 --> 00:03:08.400]  那國的上帝是我們的避難所
[00:03:08.400 --> 00:03:10.400]  這篇詩篇
[00:03:10.400 --> 00:03:12.400]  很清楚有三節
[00:03:12.400 --> 00:03:14.400]  第一段是講到
[00:03:14.400 --> 00:03:16.400]  我們怎樣可以信靠這位上帝
[00:03:16.400 --> 00:03:18.400]  和祂的保護
[00:03:18.400 --> 00:03:21.400]  在第一至第三節
[00:03:21.400 --> 00:03:24.400]  這裡講到上帝是我們的避難所
[00:03:24.400 --> 00:03:26.400]  留意這裡有一些字句
[00:03:26.400 --> 00:03:28.400]  一些言詞
[00:03:28.400 --> 00:03:30.400]  是經常出現的
[00:03:30.400 --> 00:03:32.400]  譬如是
[00:03:32.400 --> 00:03:35.400]  山、地、水
[00:03:35.400 --> 00:03:37.400]  甚至是海
[00:03:37.400 --> 00:03:39.400]  哪樣東西出現更多
[00:03:39.400 --> 00:03:41.400]  水是出現更多
[00:03:41.400 --> 00:03:43.400]  水或者海心
[00:03:43.400 --> 00:03:45.400]  或者深海
[00:03:45.400 --> 00:03:47.400]  為什麼呢
[00:03:47.400 --> 00:03:49.400]  在古代近東的世界
[00:03:49.400 --> 00:03:52.400]  他們對宇宙的觀念
[00:03:52.400 --> 00:03:55.400]  就是整個宇宙被水包圍
