
[00:00:00.000 --> 00:00:03.820]  各位來賓 主內的大兄姊妹 平安
[00:00:03.820 --> 00:00:05.420]  就算我們有心靈氣息
[00:00:05.420 --> 00:00:08.980]  來到大家當中在一起聆聽神的話語
[00:00:08.980 --> 00:00:12.540]  我們今天會繼續在哥倫多傳書第15章
[00:00:12.540 --> 00:00:16.000]  繼續去看「愛在我主教會」這個主題
[00:00:16.000 --> 00:00:23.340]  我們一起探討一個不枉然的生命
[00:00:23.340 --> 00:00:25.340]  過去的一個星期裏面
[00:00:25.340 --> 00:00:28.780]  我們在疫情當中經歷了美國的大選
[00:00:28.780 --> 00:00:32.940]  因為疫情的關係 我們很多人都會提早
[00:00:32.940 --> 00:00:38.300]  拿一些absentee ballot 缺席選票
[00:00:38.300 --> 00:00:47.060]  還有郵寄去票站 又或者提早去投票
[00:00:47.060 --> 00:00:50.820]  在過去的一個星期裏面
[00:00:50.820 --> 00:00:53.020]  自從星期二之後 我們不斷地
[00:00:53.020 --> 00:00:58.060]  有很多大兄姊妹都在網上跟蹤這些選票的數目
[00:00:58.060 --> 00:01:00.240]  很緊張地起起跌跌
[00:01:00.240 --> 00:01:05.660]  一個是特朗普領先 一個是拜登領先
[00:01:05.660 --> 00:01:09.460]  一時就有起起跌跌的情況出現
[00:01:09.460 --> 00:01:12.320]  我們都造成我們心裏面在心裏想
[00:01:12.320 --> 00:01:17.100]  如果萬一我們自己所選的
[00:01:17.100 --> 00:01:20.260]  所投票的候選人不能夠當選
[00:01:20.260 --> 00:01:22.520]  另一個候選人當選的話
[00:01:22.520 --> 00:01:25.660]  我們的生活有什麼衝擊呢?
[00:01:25.660 --> 00:01:30.620]  這些往往都會造成我們出現焦慮的感覺
[00:01:30.620 --> 00:01:33.300]  除了大選之外 在疫情當中
[00:01:33.300 --> 00:01:40.020]  我們很多時候都會因為感染率在上升
[00:01:40.020 --> 00:01:42.740]  又或者學校開始關門的時候
[00:01:42.740 --> 00:01:47.700]  我們對我們的生活都造成一些衝擊、一些改變
[00:01:47.700 --> 00:01:51.180]  所以我們往往除了焦慮之外
[00:01:51.180 --> 00:01:53.380]  還有其它各種的壓力
[00:01:53.380 --> 00:01:57.600]  我們信主的當然知道福音的重要性
[00:01:57.600 --> 00:02:01.340]  在這個情況之下 福音是對我們有幫助的
[00:02:01.340 --> 00:02:05.140]  在哥倫多教會當中
[00:02:05.140 --> 00:02:07.220]  保羅在這封哥倫多前書裏
[00:02:07.220 --> 00:02:13.100]  嘗試去解答福音的真諦、福音的信息
[00:02:13.100 --> 00:02:16.300]  這班是初初信主的弟兄姊妹
[00:02:16.300 --> 00:02:19.060]  他們對福音有些誤解
[00:02:19.060 --> 00:02:22.900]  就算對福音的救應計劃
[00:02:22.900 --> 00:02:26.780]  都是有需要糾正的地方
[00:02:26.780 --> 00:02:31.620]  我們今天會從哥倫多前書第十五章第一節開始看
[00:02:31.620 --> 00:02:35.700]  究竟福音裏面的真諦裏面
[00:02:35.700 --> 00:02:38.340]  神的救應計劃是怎麼樣的呢?
[00:02:38.340 --> 00:02:40.780]  我們雖然不能夠回到教會
[00:02:40.780 --> 00:02:43.700]  究竟我們不能夠在疫情當中
[00:02:43.700 --> 00:02:47.380]  不能回到教會的情況當中之下
[00:02:47.380 --> 00:02:50.420]  我們怎樣可以將福音傳出去呢?
[00:02:50.420 --> 00:02:54.460]  這個就是我們今天一起探討的主題
[00:02:54.460 --> 00:02:58.660]  的問題 我們一起低頭祈禱
[00:02:58.660 --> 00:03:01.380]  愛我們的天父上帝 我們感謝祢
[00:03:01.380 --> 00:03:04.820]  感謝祢 絕在祢的愛子 主耶穌基督
[00:03:04.820 --> 00:03:08.500]  成就了祢給我們的救恩的計劃
[00:03:08.500 --> 00:03:11.340]  這個「何等大」是「何等大」的恩典
[00:03:11.340 --> 00:03:13.740]  求聖靈繼續去幫助我們
[00:03:13.740 --> 00:03:17.860]  幫助我們在接下來這些時間當中
[00:03:17.860 --> 00:03:22.740]  去引領我們去明白聖經的話語
[00:03:22.740 --> 00:03:24.460]  聽得清楚 看得明白
[00:03:24.460 --> 00:03:26.420]  知道祢給我們的旨意
[00:03:26.420 --> 00:03:28.900]  那一個不枉然的生命
[00:03:28.900 --> 00:03:29.980]  我們以上的禱告
[00:03:29.980 --> 00:03:33.260]  是奉主耶穌得聖名而祈求 阿們
[00:03:33.260 --> 00:03:41.220]  我們首先看這個經文的背景
[00:03:41.220 --> 00:03:43.300]  我們從哥倫多前書第一章
[00:03:43.300 --> 00:03:47.580]  那裏已經看到一個的情況
[00:03:47.580 --> 00:03:49.420]  在哥倫多的教會裏面
[00:03:49.420 --> 00:03:53.060]  他們有一班猶太人和愛邦人
[00:03:53.060 --> 00:03:58.780]  都是對十字架所傳的福音有所抗拒
[00:03:58.780 --> 00:04:02.620]  猶太人是被十字架的救恩叛倒
[00:04:02.620 --> 00:04:07.260]  愛邦人太過著重頭腦上的知識
[00:04:07.260 --> 00:04:10.180]  而覺得救恩的十字架 救恩的福音
[00:04:10.180 --> 00:04:12.580]  是一種愚蠢的行為
[00:04:12.580 --> 00:04:14.700]  在這種的環境之下
[00:04:14.700 --> 00:04:20.980]  保羅就繼續糾正他們的錯誤的觀點
[00:04:20.980 --> 00:04:22.580]  在十五章第一節那裏
[00:04:22.580 --> 00:04:24.060]  一開頭就提到
[00:04:24.060 --> 00:04:26.740]  弟兄們 弟兄姊妹
[00:04:26.740 --> 00:04:33.140]  如今把先前所傳給他們的福音
[00:04:33.140 --> 00:04:36.140]  給他們清楚知道
[00:04:36.140 --> 00:04:37.380]  清楚知道怎樣?
[00:04:37.380 --> 00:04:41.060]  這個福音是你們已領受的了
[00:04:41.060 --> 00:04:42.220]  也領受了
[00:04:42.220 --> 00:04:45.500]  是以前他親自保羅自己
[00:04:45.500 --> 00:04:48.580]  身為宿靈的爸爸
[00:04:48.580 --> 00:04:51.380]  去到他們教會當中的地區
[00:04:51.380 --> 00:04:54.980]  把這個福音講得清楚給他們聽
[00:04:54.980 --> 00:04:57.820]  現在他希望靠著這個福音
[00:04:57.820 --> 00:04:59.660]  這個救恩的福音
[00:04:59.660 --> 00:05:02.300]  能夠使到他們站立得住
[00:05:02.300 --> 00:05:04.620]  站立得住 尤其是認定是甚麼
[00:05:04.620 --> 00:05:06.580]  主題接下來就知道了
[00:05:06.580 --> 00:05:10.780]  原來是在主耶穌基督復活
[00:05:10.780 --> 00:05:12.860]  這個重點當中
[00:05:12.860 --> 00:05:15.820]  他們不明白能夠站立得住
[00:05:15.820 --> 00:05:19.220]  並且若不是徒然相信
[00:05:19.220 --> 00:05:20.780]  說他們弟兄姊妹
[00:05:20.780 --> 00:05:25.420]  你們原本之前不是隨隨便便
[00:05:25.420 --> 00:05:29.900]  來相信這個救恩的事的話
[00:05:29.900 --> 00:05:33.260]  現在又堅守所傳給他的
[00:05:33.260 --> 00:05:37.820]  你就必然因這個福音而得救
[00:05:37.820 --> 00:05:41.380]  我們看回希臘文化當中
[00:05:41.380 --> 00:05:44.100]  這個得救是現在式的
[00:05:44.100 --> 00:05:46.060]  是現在進行式
[00:05:46.060 --> 00:05:52.300]  這個救恩計劃還是計劃在當中
[00:05:52.300 --> 00:05:56.780]  是未完全完成的
[00:05:56.780 --> 00:05:58.300]  在這個進行式裏面
[00:05:58.300 --> 00:06:00.980]  這個救恩計劃是指甚麼呢?
[00:06:00.980 --> 00:06:02.900]  是指當時
[00:06:02.900 --> 00:06:04.340]  當他相信的時候
[00:06:04.340 --> 00:06:08.700]  因順情而以前過去的過犯
[00:06:08.700 --> 00:06:10.380]  就衍成過去了
[00:06:10.380 --> 00:06:12.860]  現在他現在進行式
[00:06:12.860 --> 00:06:14.460]  因著這個福音得救
[00:06:14.460 --> 00:06:17.540]  而去過聖潔的生活
[00:06:17.540 --> 00:06:23.060]  將來就會同德榮耀
[00:06:23.060 --> 00:06:25.340]  所以這個是
[00:06:25.340 --> 00:06:27.940]  到現在是要過聖潔的生活
