
[00:00:00.000 --> 00:00:06.880]  如果你跟著我們讀經的計劃
[00:00:06.880 --> 00:00:11.200]  今天就去到《耶利米蘇》了
[00:00:11.200 --> 00:00:13.600]  你會看到今天是正在讀《耶利米蘇》
[00:00:13.600 --> 00:00:17.840]  第三章、第四章 明天繼續 第五章、第六章
[00:00:17.840 --> 00:00:22.220]  之前剛剛讀完一個很大一件很大一件的
[00:00:22.220 --> 00:00:27.480]  《爾賽亞書》66章 都已經很難了
[00:00:27.480 --> 00:00:29.380]  或者你都不太記得是什麼了
[00:00:29.380 --> 00:00:34.100]  我簡單提一提 《爾賽亞書》就是雙城記
[00:00:34.100 --> 00:00:36.620]  雙城舊記 舊約裏面的雙城記
[00:00:36.620 --> 00:00:38.460]  就是說兩個耶路撒冷
[00:00:38.460 --> 00:00:41.220]  一個是拜了偶像的耶路撒冷
[00:00:41.220 --> 00:00:44.240]  另一個是一個將來期待著
[00:00:44.240 --> 00:00:47.860]  真是忠心於上帝的耶路撒冷
[00:00:47.860 --> 00:00:49.280]  如果你大概記得
[00:00:49.280 --> 00:00:52.080]  《爾賽亞書》是雙城記 都差不多了
[00:00:52.080 --> 00:00:55.680]  之後這個暑假 過多兩個禮拜
[00:00:55.680 --> 00:01:00.740]  我們都開始講兩篇《爾賽亞書》 都是講雙城記
[00:01:00.740 --> 00:01:03.680]  如果你現在覺得印象不夠深
[00:01:03.680 --> 00:01:07.460]  你可能到了兩個禮拜之後 你再聽回那個雙城記
[00:01:07.460 --> 00:01:13.520]  那就可能會幫你記得到 抓到《爾賽亞書》的忠心了
[00:01:13.520 --> 00:01:16.200]  今天我們開始讀《耶利米蘇》
[00:01:16.200 --> 00:01:19.440]  另外一本很噹停、很困難的書
[00:01:19.440 --> 00:01:22.740]  因為有52章 也都是看得你傻
[00:01:22.740 --> 00:01:26.600]  去到有很多 可能一些詩歌不同的題材
[00:01:26.600 --> 00:01:29.700]  令到你都是覺得很困難的
[00:01:29.700 --> 00:01:34.680]  《耶利米蘇》確是另外一本 非常之比較長的先知書
[00:01:34.680 --> 00:01:39.240]  也都是很複雜 有很多不同的東西在當中
[00:01:39.240 --> 00:01:44.400]  但是其實 講真的 先知書每一本都是差不多的
[00:01:44.400 --> 00:01:46.680]  如果你掌握到一本
[00:01:46.680 --> 00:01:50.040]  你就大概記得到 其他大概都是這樣的訊息
[00:01:50.040 --> 00:01:52.140]  其實你讀《耶利米蘇》
[00:01:52.140 --> 00:01:56.540]  你會發覺其實和《爾賽亞書》的訊息是很相似的
[00:01:56.540 --> 00:01:59.980]  雖然時間有一點不同 《爾賽亞》是遠一點的
[00:01:59.980 --> 00:02:05.080]  距離最終耶路撒冷 他在預言的耶路撒冷
[00:02:05.080 --> 00:02:07.400]  但是其實距離耶路撒冷是很遠的
[00:02:07.400 --> 00:02:11.180]  他自己根本看不到耶路撒冷那個被審判
[00:02:11.180 --> 00:02:12.800]  但是《耶利米蘇》就不一樣了
[00:02:12.800 --> 00:02:17.800]  《耶利米蘇》在他做先知的時候 他也是一個祭司
[00:02:17.800 --> 00:02:23.960]  他已經是很接近耶路撒冷淪陷秘魯巴比倫
[00:02:23.960 --> 00:02:28.120]  在他做先知的二十多年當中
[00:02:28.120 --> 00:02:36.960]  其實他是看到耶路撒冷的淪陷
[00:02:36.960 --> 00:02:42.960]  其實很簡單的 如果你去問
[00:02:42.960 --> 00:02:46.800]  究竟《耶利米蘇》是講什麼 很簡單我們說
[00:02:46.800 --> 00:02:50.760]  《耶利米蘇》是講 審判終於是應驗了
[00:02:50.760 --> 00:02:56.140]  他自己親眼看到 但是他也都開始有個盼望的認可
[00:02:56.140 --> 00:03:05.420]  在《耶利米蘇》裡面所講的就是70年的回歸等等的
[00:03:05.420 --> 00:03:07.600]  但是其實他指向的盼望
[00:03:07.600 --> 00:03:11.640]  真盼望是更加遠的一個東西
[00:03:11.640 --> 00:03:14.000]  不要緊 我們在未來幾個星期都有機會
[00:03:14.000 --> 00:03:16.960]  可能再和大家看多一點《耶利米》
[00:03:16.960 --> 00:03:20.580]  今天是《耶利米蘇》第三章 我想和你看一節
[00:03:20.580 --> 00:03:22.560]  但是這一節真的很精彩的
[00:03:22.560 --> 00:03:27.120]  這一節也是總結了很多《耶利米蘇》所講的
[00:03:27.120 --> 00:03:30.360]  他所審判 他審判的原因是因為
[00:03:30.360 --> 00:03:34.880]  以色列或者猶大這個南國 北國已經滅了
[00:03:34.880 --> 00:03:40.600]  也都是和以色列一樣是敬拜偶像這樣的
[00:03:40.600 --> 00:03:42.880]  我想讀這一節聖經很精彩的
[00:03:42.880 --> 00:03:48.500]  「耶和華說 人若有妻 妻離他而去
[00:03:48.500 --> 00:03:54.200]  做了別人的妻子 前夫豈能再回到他那裡呢?
[00:03:54.200 --> 00:03:57.600]  那地豈不是大大煎烏了嗎?
[00:03:57.600 --> 00:04:04.000]  但你和許多情郎行淫 還是可以回到我這裡
[00:04:04.000 --> 00:04:06.300]  這是耶和華說的」
[00:04:06.300 --> 00:04:10.880]  我今天那個題目挺有趣的 叫做「淫婦回家吧」
[00:04:10.880 --> 00:04:15.080]  淫婦回家吧 就是總結了這一節聖經的訊息
[00:04:15.080 --> 00:04:17.860]  這節聖經說的是什麼呢?
[00:04:17.860 --> 00:04:23.780]  他說「人若有妻 妻離他 做了別人的妻子」
[00:04:23.780 --> 00:04:28.320]  這個前夫就不可以再回去找那個妻子回來了
