
[00:00:00.000 --> 00:00:02.320]  我深信我們每一個信徒
[00:00:02.320 --> 00:00:03.920]  如果今天我們坐在他那裡
[00:00:03.920 --> 00:00:05.280]  每一個信徒
[00:00:05.280 --> 00:00:07.800]  我們都很深信上帝
[00:00:07.800 --> 00:00:10.280]  猜猜他的獨生兒子耶穌基督
[00:00:10.280 --> 00:00:11.840]  他來到這個世界上
[00:00:11.840 --> 00:00:13.080]  為你為我的罪
[00:00:13.080 --> 00:00:14.760]  他釘在十字架
[00:00:14.760 --> 00:00:17.240]  這個救恩是白白的救恩
[00:00:17.240 --> 00:00:18.600]  以致到有時我們都覺得
[00:00:18.600 --> 00:00:23.040]  我們是不配去得到這份恩典
[00:00:23.040 --> 00:00:26.160]  但耶穌的愛就是這麼簡單
[00:00:26.160 --> 00:00:29.360]  祂是我們的拯救的上帝
[00:00:29.360 --> 00:00:30.360]  但另一方面
[00:00:30.360 --> 00:00:31.360]  這首詩歌提醒我們
[00:00:31.360 --> 00:00:35.480]  祂說我的好處不在你以外
[00:00:35.480 --> 00:00:39.920]  上帝原來在我們不同的處境當中
[00:00:39.920 --> 00:00:43.320]  上帝仍然都有祂的心意在裡面
[00:00:43.320 --> 00:00:45.560]  哪怕是約伯
[00:00:45.560 --> 00:00:48.640]  他的過去裡面有很多的苦難
[00:00:48.640 --> 00:00:50.080]  他的家破人亡
[00:00:50.080 --> 00:00:52.120]  他的子女的離世
[00:00:52.120 --> 00:00:53.880]  他的身體的健康
[00:00:53.880 --> 00:00:57.080]  被撒旦的攻擊
[00:00:57.080 --> 00:01:01.400]  使他的身體完全變了樣子
[00:01:01.400 --> 00:01:03.680]  但在他的苦難裡面
[00:01:03.680 --> 00:01:05.200]  到最後
[00:01:05.200 --> 00:01:09.360]  上帝讓他重看一個創造的奇妙
[00:01:09.360 --> 00:01:11.520]  上帝創造的偉大
[00:01:11.520 --> 00:01:14.760]  以致他不得不去到上帝的面前
[00:01:14.760 --> 00:01:17.920]  去到最深層去認罪悔改
[00:01:17.920 --> 00:01:23.080]  他覺得人始終要不斷被上帝的愛
[00:01:23.080 --> 00:01:27.120]  被上帝的手去塑造我們的生命
[00:01:27.120 --> 00:01:28.040]  我們每一個人
[00:01:28.040 --> 00:01:30.320]  可以在上帝眼中是完美
[00:01:30.320 --> 00:01:31.720]  是良善
[00:01:31.720 --> 00:01:34.240]  但上帝仍然沒有棄我們
[00:01:34.240 --> 00:01:37.480]  當我自己回望我自己的侍奉裡
[00:01:37.480 --> 00:01:38.480]  有時我都會覺得
[00:01:38.480 --> 00:01:43.120]  原來上帝很多時候在不同的時段裡
[00:01:43.120 --> 00:01:44.880]  他讓我回望
[00:01:44.880 --> 00:01:50.640]  原來上帝有時做一些事是我意想不到的
[00:01:50.640 --> 00:01:54.200]  當我自己回到香港侍奉的時候
[00:01:54.200 --> 00:01:55.640]  我從來沒有想過
[00:01:55.640 --> 00:01:58.560]  我父母看著我
[00:01:58.560 --> 00:02:01.520]  他會不知道怎樣介紹我
[00:02:01.520 --> 00:02:03.880]  因為我是一個傳道人
[00:02:03.880 --> 00:02:06.880]  我當時爸爸媽媽未算耶穌
[00:02:06.880 --> 00:02:09.360]  所以我回來香港的時候
[00:02:09.360 --> 00:02:11.600]  我不知道我會帶給我爸爸媽媽
[00:02:11.600 --> 00:02:13.280]  這麼大的壓力
[00:02:13.280 --> 00:02:14.720]  我以為他當然希望我回香港
[00:02:14.720 --> 00:02:17.640]  能夠一起在身邊
[00:02:17.640 --> 00:02:20.040]  但因為我是一個傳道人
[00:02:20.040 --> 00:02:22.360]  我大哥是醫生
[00:02:22.360 --> 00:02:24.520]  我二哥是工程師
[00:02:24.520 --> 00:02:27.160]  所以他看著一個小孩
[00:02:27.160 --> 00:02:29.640]  理應可以做一個會計的人
[00:02:29.640 --> 00:02:30.840]  但居然不做會計
[00:02:30.840 --> 00:02:33.160]  去做一個牧師、一個傳道人
[00:02:33.160 --> 00:02:34.080]  做牧師也好一點
[00:02:34.080 --> 00:02:35.920]  還有一個「師」字
