
[00:00:00.000 --> 00:00:03.720]  各位弟兄姊妹 午安 主禮平安
[00:00:03.720 --> 00:00:07.920]  在此也和大家說一聲新年快樂
[00:00:07.920 --> 00:00:10.560]  在這段時間
[00:00:10.560 --> 00:00:14.720]  我不知道大家在一些網上平台
[00:00:14.720 --> 00:00:21.320]  無論是看新聞或是一些朋友的消息
[00:00:21.320 --> 00:00:27.160]  可能有時也會留意留言
[00:00:27.160 --> 00:00:30.720]  新聞之後最緊要有甚麼要看呢
[00:00:30.720 --> 00:00:33.160]  有時也會留意留言
[00:00:33.160 --> 00:00:39.160]  因為留言上寫甚麼我都會留意
[00:00:39.160 --> 00:00:42.880]  因為他們的心聲
[00:00:42.880 --> 00:00:44.960]  普羅大眾市民的心聲
[00:00:44.960 --> 00:00:47.680]  就可以在那裏看到
[00:00:47.680 --> 00:00:49.200]  有時亦是這樣的
[00:00:49.200 --> 00:00:53.680]  一些朋友他們寫
[00:00:53.680 --> 00:00:56.800]  有時也會看到 會說甚麼呢
[00:00:56.800 --> 00:01:00.680]  Google大神 我要尋求甚麼幫助
[00:01:00.680 --> 00:01:07.640]  很多人也會留下他的訊息在下面
[00:01:07.640 --> 00:01:10.160]  又或者Facebook大神
[00:01:10.160 --> 00:01:14.560]  我想有甚麼幫助
[00:01:14.560 --> 00:01:22.440]  在這兩天也看到要尋求幫助
[00:01:22.440 --> 00:01:27.240]  究竟有不同的人也會留言
[00:01:27.240 --> 00:01:28.960]  讓大家看看
[00:01:28.960 --> 00:01:33.160]  有朋友最近要查看情況
[00:01:33.160 --> 00:01:38.040]  究竟有沒有感染過病毒
[00:01:38.040 --> 00:01:41.800]  有些朋友也會留言
[00:01:41.800 --> 00:01:44.880]  我們通常也會有這些留言
[00:01:44.880 --> 00:01:49.000]  就算不一定是在這些平台
[00:01:49.000 --> 00:01:51.720]  WhatsApp 我們很多時候用WhatsApp也會
[00:01:51.720 --> 00:01:56.320]  將一切交託給神
[00:01:56.320 --> 00:01:59.920]  今天我們看這段經文
[00:01:59.920 --> 00:02:03.680]  經文的角色很鮮明
[00:02:03.680 --> 00:02:09.280]  我們很容易掌握整個故事的內容
[00:02:09.280 --> 00:02:12.640]  今天這段經文
[00:02:12.640 --> 00:02:18.520]  講述亞男王的元帥
