
[00:00:00.000 --> 00:00:02.000]  大興姐妹早晨
[00:00:02.000 --> 00:00:04.000]  今天是復活節
[00:00:04.000 --> 00:00:08.000]  我在此祝福大家心靈的眼睛
[00:00:08.000 --> 00:00:11.000]  能夠看見復活的主
[00:00:11.000 --> 00:00:14.000]  生命能夠經歷復活的神蹟
[00:00:14.000 --> 00:00:20.000]  我們進入廳道之前
[00:00:20.000 --> 00:00:23.000]  我們安靜在主面前
[00:00:23.000 --> 00:00:25.000]  我們一同禱告
[00:00:31.000 --> 00:00:33.000]  親愛的主
[00:00:33.000 --> 00:00:35.000]  我們讚美你
[00:00:35.000 --> 00:00:37.000]  你有復活的大能
[00:00:37.000 --> 00:00:40.000]  我們一起在你面前認順
[00:00:40.000 --> 00:00:42.000]  因為你活著
[00:00:42.000 --> 00:00:44.000]  我們能夠面對明天
[00:00:44.000 --> 00:00:46.000]  因為你活著
[00:00:46.000 --> 00:00:48.000]  我們不再懼怕
[00:00:48.000 --> 00:00:51.000]  我們知道你掌管明天
[00:00:51.000 --> 00:00:54.000]  生命充滿著希望
[00:00:54.000 --> 00:00:57.000]  只因為你活著
[00:00:57.000 --> 00:01:01.000]  主啊 我們向你祈求一件事
[00:01:01.000 --> 00:01:05.000]  就是在我們心靈沉睡了的部分
[00:01:05.000 --> 00:01:07.000]  在領受了你話語之後
[00:01:07.000 --> 00:01:10.000]  重新被甦醒過來
[00:01:10.000 --> 00:01:13.000]  真實經歷復活的神蹟
[00:01:13.000 --> 00:01:16.000]  奉主耶穌基督之名祈求
[00:01:16.000 --> 00:01:17.000]  阿們
[00:01:17.000 --> 00:01:20.000]  今天的講題
[00:01:20.000 --> 00:01:22.000]  你就這樣聽
[00:01:22.000 --> 00:01:25.000]  就會聽到兩次不怕
[00:01:25.000 --> 00:01:28.000]  但是當我們看著講題的時候
[00:01:28.000 --> 00:01:31.000]  我們就知道這兩個
[00:01:31.000 --> 00:01:34.000]  這兩個驚是有分別的
[00:01:34.000 --> 00:01:37.000]  第一個不是我的意思
[00:01:37.000 --> 00:01:39.000]  就是我驚
[00:01:39.000 --> 00:01:42.000]  第二個就是驚的相反
[00:01:42.000 --> 00:01:43.000]  不驚
[00:01:43.000 --> 00:01:48.000]  大興小妹跟你有什麼事
[00:01:48.000 --> 00:01:50.000]  引起你驚
[00:01:50.000 --> 00:01:53.000]  我相信一定很多
[00:01:53.000 --> 00:01:59.000]  每一天我們都不知道會發生什麼事
[00:01:59.000 --> 00:02:04.000]  驚確診 驚強劍 驚遺風 驚道別
[00:02:04.000 --> 00:02:09.000]  驚小朋友開學會不適應
[00:02:09.000 --> 00:02:12.000]  驚著工作不知道還保不保得住
[00:02:12.000 --> 00:02:15.000]  下個月還交不交到租
[00:02:15.000 --> 00:02:18.000]  DSE考試考得怎麼樣
[00:02:18.000 --> 00:02:21.000]  等等等等
[00:02:21.000 --> 00:02:22.000]  當你驚的時候
[00:02:22.000 --> 00:02:24.000]  你最想聽到的
[00:02:24.000 --> 00:02:28.000]  你最想見到的是什麼呢
[00:02:28.000 --> 00:02:33.000]  驚會讓你逃避
[00:02:33.000 --> 00:02:37.000]  還是會讓你積極行動呢
[00:02:37.000 --> 00:02:41.000]  今天我想跟大家分享一個關於驚的故事
[00:02:41.000 --> 00:02:45.000]  這個故事記載在馬太福音28章1至10節
[00:02:45.000 --> 00:02:50.000]  兩個瑪利亞去墳墓找耶穌的時候所發生的事
[00:02:50.000 --> 00:02:56.000]  瑪利亞的反應給我們對驚有三方面的提醒
[00:02:56.000 --> 00:03:00.000]  第一方面
[00:03:00.000 --> 00:03:02.000]  不驚
[00:03:02.000 --> 00:03:03.000]  即是我驚
[00:03:03.000 --> 00:03:06.000]  經歷事異常
[00:03:06.000 --> 00:03:09.000]  我們開始進入故事的情節
[00:03:09.000 --> 00:03:14.000]  我們一起看28章1至5節
[00:03:14.000 --> 00:03:18.000]  請聽我再讀一次
[00:03:18.000 --> 00:03:20.000]  三色日將盡
[00:03:20.000 --> 00:03:21.000]  七日的頭一日
[00:03:21.000 --> 00:03:22.000]  天快亮的時候
[00:03:22.000 --> 00:03:26.000]  莫大拉的瑪利亞和那個瑪利亞離漢墳墓
[00:03:26.000 --> 00:03:28.000]  忽然地帶震動
[00:03:28.000 --> 00:03:32.000]  認為有主的使者從天上下來
[00:03:32.000 --> 00:03:34.000]  把石頭滾開
[00:03:34.000 --> 00:03:35.000]  坐在上面
[00:03:35.000 --> 00:03:38.000]  他的相貌如同閃電
[00:03:38.000 --> 00:03:40.000]  衣服潔白如雪
[00:03:40.000 --> 00:03:43.000]  看守的人就因他嚇得渾身亂戰
[00:03:43.000 --> 00:03:46.000]  甚至和死人一樣
[00:03:46.000 --> 00:03:47.000]  天使對父女說
[00:03:47.000 --> 00:03:49.000]  不要害怕
