
[00:00:00.000 --> 00:00:04.560]  考考大家新約聖經有幾本福音書
[00:00:04.560 --> 00:00:07.060]  福音書
[00:00:07.060 --> 00:00:13.660]  這麼容易答當然懂得回答
[00:00:13.660 --> 00:00:17.280]  最短那本福音書是哪一本
[00:00:17.280 --> 00:00:22.880]  福音書 福音書
[00:00:22.880 --> 00:00:28.720]  馬可除了短之外還有一個特別
[00:00:28.720 --> 00:00:30.480]  在四個福音書裡
[00:00:30.480 --> 00:00:33.440]  你猜它是最早寫成的還是最遲寫成的
[00:00:33.440 --> 00:00:36.600]  最早
[00:00:36.600 --> 00:00:40.200]  最早寫成 又是最短又是最早寫成
[00:00:40.200 --> 00:00:41.540]  那誰寫的呢
[00:00:41.540 --> 00:00:43.780]  馬可福音誰寫的
[00:00:43.780 --> 00:00:50.720]  有人說彼得
[00:00:50.720 --> 00:00:54.940]  那叫馬可福音當然是馬可寫的
[00:00:56.080 --> 00:00:58.880]  所以太遲的問題怕還沒答錯
[00:00:58.880 --> 00:01:02.000]  彼得對不對呢 都對的
[00:01:02.000 --> 00:01:03.880]  稍後解釋一下為什麼是對的
[00:01:03.880 --> 00:01:05.600]  不過是馬可寫的
[00:01:05.600 --> 00:01:07.400]  所以今天我們和大家來看看
[00:01:07.400 --> 00:01:10.800]  我們學校馬可
[00:01:10.800 --> 00:01:13.240]  馬可有什麼特別的地方呢
[00:01:13.240 --> 00:01:16.480]  在試圖行卷記載它最多
[00:01:16.480 --> 00:01:20.120]  就是它能夠捲土
[00:01:20.120 --> 00:01:22.920]  什麼 捲土重來
[00:01:22.920 --> 00:01:25.640]  今天我們看試圖行卷第十二章
[00:01:25.640 --> 00:01:28.080]  連接上一次我們講的經文
[00:01:28.080 --> 00:01:29.440]  如果大家還記得
[00:01:29.440 --> 00:01:31.160]  十二章頭那部分
[00:01:31.160 --> 00:01:33.840]  就是講彼得被抓入監
[00:01:33.840 --> 00:01:35.360]  被抓入監之前
[00:01:35.360 --> 00:01:37.000]  有一個試圖被殺
[00:01:37.000 --> 00:01:38.280]  那個是誰
[00:01:38.280 --> 00:01:42.160]  不是馬可
[00:01:42.160 --> 00:01:45.400]  雅各 雅各被殺
