
[00:00:00.000 --> 00:00:03.480]  親愛的主 你就是那位創始成中的主
[00:00:03.480 --> 00:00:07.040]  祢給我們有救恩 祢給我們有聖經
[00:00:07.040 --> 00:00:10.680]  求主開我們的心 開我們的眼
[00:00:10.680 --> 00:00:12.680]  讓我們明白祢的話
[00:00:12.680 --> 00:00:16.360]  並且讓我們可以跟著祢的話去做
[00:00:16.360 --> 00:00:19.000]  學習怎樣去活像祢
[00:00:19.000 --> 00:00:22.160]  我們祈禱 奉主耶穌基督的名求
[00:00:22.160 --> 00:00:23.520]  阿們
[00:00:23.520 --> 00:00:31.520]  今日這篇經文是好好的 基述了耶穌兒童時間
[00:00:31.520 --> 00:00:35.520]  但是兒童之前是甚麼來的呢
[00:00:35.520 --> 00:00:38.520]  就是耶穌出世
[00:00:38.520 --> 00:00:40.520]  耶穌為甚麼要來到這個世界
[00:00:40.520 --> 00:00:45.520]  就是因為人犯罪 跟神分隔了
[00:00:45.520 --> 00:00:49.520]  以致我們不能直接去到神那裏
[00:00:49.520 --> 00:00:54.520]  但正正就是因為神愛我們 祂猜排獨生兒子耶穌
[00:00:54.520 --> 00:01:00.520]  來到這個世界 為我們釘在十字架上
[00:01:00.520 --> 00:01:10.520]  死 讓我們可以跟神重新建立一個關係
[00:01:10.520 --> 00:01:13.520]  耶穌來到這個世界上
[00:01:13.520 --> 00:01:18.520]  祂是要進入人間 作我們的榜樣
[00:01:18.520 --> 00:01:21.520]  祂不是高高在上
[00:01:21.520 --> 00:01:25.520]  而耶穌的生命之旅
[00:01:25.520 --> 00:01:27.520]  就是很奇特的
[00:01:27.520 --> 00:01:32.520]  一生人都在耶路撒冷走來走去
[00:01:32.520 --> 00:01:38.520]  祂出生的時間就在耶路撒冷的伯利恆
[00:01:38.520 --> 00:01:45.520]  當完成了律法上所要求的憲制之後
[00:01:45.520 --> 00:01:53.520]  瑪利亞和約瑟都帶了耶穌 回到拿撒勒這個地方去住
[00:01:53.520 --> 00:01:57.520]  在路加夫音前面就記述了這些
[00:01:57.520 --> 00:02:04.520]  我們的神 究竟這次十二歲了 做了甚麼呢
[00:02:04.520 --> 00:02:07.520]  路加夫音二章這裏說
[00:02:07.520 --> 00:02:14.520]  孩子漸漸長大 強健起來 充滿智慧
[00:02:14.520 --> 00:02:18.520]  又有神的恩典在他身上
[00:02:18.520 --> 00:02:22.520]  我們見到很平淡
[00:02:22.520 --> 00:02:25.520]  耶穌是漸漸長大
[00:02:25.520 --> 00:02:28.520]  雖然我們現在坐在這裏大家都知道
[00:02:28.520 --> 00:02:32.520]  耶穌是一個神 是我們的神
[00:02:32.520 --> 00:02:37.520]  但是祂當時是漸漸長大
[00:02:37.520 --> 00:02:41.520]  和我們普通人一樣是漸漸長大
[00:02:41.520 --> 00:02:46.520]  不同的地方 我想神真的很特別
[00:02:46.520 --> 00:02:48.520]  祂是謙卑下來的
[00:02:48.520 --> 00:02:51.520]  我們每次都說要求成功 求第一
[00:02:51.520 --> 00:02:54.520]  孩子贏在跑線上
[00:02:54.520 --> 00:02:57.520]  但是耶穌並不是這樣
[00:02:57.520 --> 00:03:01.520]  祂是漸漸長大 強健起來
[00:03:01.520 --> 00:03:08.520]  並且最重要的是有神的恩典在祂身上
[00:03:08.520 --> 00:03:12.520]  這裏經文說每年的如月節
[00:03:12.520 --> 00:03:15.520]  去耶路撒冷 如月節是甚麼呢
[00:03:15.520 --> 00:03:21.520]  如月節是紀念神帶領以色列人出埃及
[00:03:21.520 --> 00:03:23.520]  藉著摩西帶領他們出去
[00:03:23.520 --> 00:03:27.520]  到他們進入迦南地之前
[00:03:27.520 --> 00:03:31.520]  神頒佈了他們每年都要守節
[00:03:31.520 --> 00:03:35.520]  其中一個節就是如月節
[00:03:35.520 --> 00:03:40.520]  說拿撒勒去耶路撒冷
[00:03:40.520 --> 00:03:43.520]  都是一個頗遠的路程
[00:03:43.520 --> 00:03:45.520]  說今天很容易 很簡單
[00:03:45.520 --> 00:03:50.520]  我先解釋地圖 原來不是很清楚
[00:03:50.520 --> 00:03:54.520]  右上角的圈圈就是加里里湖
[00:03:54.520 --> 00:03:57.520]  旁邊的圈圈就是拿撒勒
[00:03:57.520 --> 00:04:00.520]  圈圈大 地點只是一點
[00:04:00.520 --> 00:04:04.520]  下面的圈圈就是耶路撒冷
[00:04:04.520 --> 00:04:07.520]  當然還有伯利恆在旁邊
[00:04:07.520 --> 00:04:09.520]  看起來好像很近
[00:04:09.520 --> 00:04:11.520]  我一隻手抱著他
[00:04:11.520 --> 00:04:16.520]  但其實原來耶路撒冷和拿撒勒
[00:04:16.520 --> 00:04:21.520]  相距直線有55公里
[00:04:21.520 --> 00:04:26.520]  他們去耶路撒冷不是直接去
[00:04:26.520 --> 00:04:29.520]  因為中間有個叫撒瑪利亞的地方
