
[00:00:00.000 --> 00:00:03.440]  好 今天就和大家分享C篇第一篇
[00:00:03.440 --> 00:00:05.600]  那我先問大家一個問題
[00:00:05.600 --> 00:00:07.280]  C篇總共有多少篇呢?
[00:00:07.280 --> 00:00:10.200]  有誰知道的先舉手 不用說了
[00:00:10.200 --> 00:00:12.640]  有誰知道的我想知道大家的聖經知識是怎樣
[00:00:12.640 --> 00:00:14.160]  有誰知道的請你舉手
[00:00:14.160 --> 00:00:15.360]  C篇有多少篇?
[00:00:15.360 --> 00:00:19.880]  有誰知道的我想問有誰知道的請你舉手
[00:00:19.880 --> 00:00:22.920]  前面有人舉手 還有沒有人舉手?
[00:00:22.920 --> 00:00:26.200]  我想衡量大家的聖經知識
[00:00:26.200 --> 00:00:28.280]  那我不要緊 繼續努力吧
[00:00:28.280 --> 00:00:32.200]  我們經常說 像我以前讀書很差
[00:00:32.200 --> 00:00:34.440]  讀書很差 經常都要拿很低分
[00:00:34.440 --> 00:00:36.440]  因為有很多進步的空間
[00:00:36.440 --> 00:00:38.760]  成績也很差 那些進步空間不多
[00:00:38.760 --> 00:00:41.320]  所以我們經常很得鼓勵 就是很多進步空間
[00:00:41.320 --> 00:00:43.040]  C篇有150篇
[00:00:43.040 --> 00:00:45.240]  行不行? 記住了 150篇
[00:00:45.240 --> 00:00:51.080]  那有很多C篇 我們很熟悉的一些內容
[00:00:51.080 --> 00:00:54.280]  可能大家最熟悉的就是C篇23篇
[00:00:54.280 --> 00:00:57.680]  而又說是我的目者 我必不自缺乏
[00:00:57.680 --> 00:01:02.080]  我們很多時候都用得上去探病
[00:01:02.080 --> 00:01:03.880]  或者安慰人 很多時候
[00:01:03.880 --> 00:01:05.880]  C篇51篇也是很出名的
[00:01:05.880 --> 00:01:08.920]  大衛犯了奸淫之後寫的C篇
[00:01:08.920 --> 00:01:10.640]  是一種悔改懺悔信
[00:01:10.640 --> 00:01:12.400]  求你按你的慈愛憐憫我
[00:01:12.400 --> 00:01:15.680]  按你的豐盛慈悲淘沒我的過犯
[00:01:15.680 --> 00:01:18.200]  C篇第90篇也是很出名的
[00:01:18.200 --> 00:01:20.320]  C篇第90篇是摩西他寫的
[00:01:20.320 --> 00:01:22.120]  他120歲寫到
[00:01:22.120 --> 00:01:24.600]  主啊 你世世代代作我的居所
