
[00:00:00.000 --> 00:00:02.920]  各位靈姐妹 我們今天會繼續思想
[00:00:02.920 --> 00:00:06.740]  在主耶穌的登山裏面的一部份經文
[00:00:06.740 --> 00:00:10.060]  亦是我們剛才所讀的主禱文
[00:00:10.060 --> 00:00:13.900]  我們一起思想 透過祂自己的教導
[00:00:13.900 --> 00:00:16.260]  我們如何學習祈禱
[00:00:16.260 --> 00:00:19.520]  大家在一起同心我們祈禱 我們仰望主
[00:00:19.520 --> 00:00:26.820]  施恩的上帝
[00:00:26.820 --> 00:00:28.560]  我們同心到祢的根前
[00:00:28.560 --> 00:00:31.700]  獻上我們心中的感謝
[00:00:31.700 --> 00:00:37.400]  主啊 祢以無盡的恩惠賜給屬祢的子民
[00:00:37.400 --> 00:00:41.800]  主啊 我們知道自己有軟弱
[00:00:41.800 --> 00:00:43.320]  但是祢自己的恩典
[00:00:43.320 --> 00:00:45.660]  就好像祢所賜的能力
[00:00:45.660 --> 00:00:49.260]  既然我們能夠行在祢自己的心意當中
[00:00:49.260 --> 00:00:51.160]  祢的恩賜可以得著
[00:00:51.160 --> 00:00:54.460]  祢要給我們豐盛的人生
[00:00:54.460 --> 00:00:57.300]  主啊 祢知道我們需要在祢面前
[00:00:57.300 --> 00:00:59.760]  上上向祢禱告尋求
[00:00:59.760 --> 00:01:01.900]  因為我們需要祢
[00:01:01.900 --> 00:01:03.560]  但是主 今天當我們思想到
[00:01:03.560 --> 00:01:06.000]  祢所教導我們的禱文的時候
[00:01:06.000 --> 00:01:08.260]  主啊 求祢激勵我們的心
[00:01:08.260 --> 00:01:09.960]  上上禱告
[00:01:09.960 --> 00:01:13.160]  也要知道如何向祢祈禱
[00:01:13.160 --> 00:01:16.400]  下一個時間 求主祢自己帶領著
[00:01:16.400 --> 00:01:18.200]  因為祢的聖名
[00:01:18.200 --> 00:01:20.560]  濫阻一切惡者的工作
[00:01:20.560 --> 00:01:22.200]  讓我們在祢的面前
[00:01:22.200 --> 00:01:24.860]  我們一同蒙恩典
[00:01:24.860 --> 00:01:26.160]  我們同心祈禱
[00:01:26.160 --> 00:01:28.320]  奉耶穌基督 承民籌
[00:01:28.320 --> 00:01:30.560]  阿門
[00:01:30.560 --> 00:01:31.720]  大家揭開聖經
[00:01:31.720 --> 00:01:35.060]  我們剛才可能還沒有機會打開聖經的
[00:01:35.060 --> 00:01:40.760]  是《馬太福音》其中的第六章
[00:01:40.760 --> 00:01:45.560]  我們今天看的主禱文第九節到第十五節
[00:01:45.560 --> 00:01:49.360]  我們平時大家重讀的是和合本的經文
[00:01:49.360 --> 00:01:50.360]  我們兩方面
[00:01:50.360 --> 00:01:55.060]  新一本和合本都會一齊來思想
[00:01:55.060 --> 00:01:57.260]  很多時候我們弟兄姊妹都說
[00:01:57.260 --> 00:01:59.960]  基督徒的祈禱是什麼呢?
[00:01:59.960 --> 00:02:04.860]  祈禱好像我們屬靈生命的呼吸一樣
[00:02:04.860 --> 00:02:06.260]  大家都會很深刻體會
[00:02:06.260 --> 00:02:10.060]  如果你稍微平息靜氣
[00:02:10.060 --> 00:02:11.460]  不呼吸一會兒
[00:02:11.460 --> 00:02:13.560]  可能你都會忍得住
[00:02:13.560 --> 00:02:15.560]  但如果你常常不呼吸
[00:02:15.560 --> 00:02:18.060]  或者你一段長時間不呼吸
[00:02:18.060 --> 00:02:22.660]  你會知道你會窒息 甚至死亡
[00:02:22.660 --> 00:02:26.560]  如果祈禱是我們生命的呼吸
[00:02:26.560 --> 00:02:30.260]  屬神的人是不可以不祈禱
[00:02:30.260 --> 00:02:31.960]  或者一兩天你不祈禱
[00:02:31.960 --> 00:02:33.960]  你不覺得有什麼分別
[00:02:33.960 --> 00:02:37.360]  但當你生命不知道去禱告的時候
[00:02:37.360 --> 00:02:40.460]  你會發覺你屬靈的生命會萎縮
[00:02:40.460 --> 00:02:42.760]  甚至會死亡
[00:02:42.760 --> 00:02:46.760]  禱告是神定義讓我們和祂的生命
[00:02:46.760 --> 00:02:51.160]  是不斷連繫著的一個最重要的途徑
[00:02:51.160 --> 00:02:52.460]  亦都是神賜給我們
[00:02:52.460 --> 00:02:56.060]  因為人可以向神祈禱
[00:02:56.060 --> 00:02:57.960]  而神因為人的祈禱
[00:02:57.960 --> 00:03:01.360]  而向人施恩而供咒
[00:03:01.360 --> 00:03:04.360]  因此我們發覺在我們基督徒人生裏面
[00:03:04.360 --> 00:03:09.360]  我們需要建立一種禱告的生命習慣
[00:03:09.360 --> 00:03:12.860]  而禱告當中可以領受神的恩
[00:03:12.860 --> 00:03:14.060]  但大家都會體會
[00:03:14.060 --> 00:03:16.360]  在香港我們所身處的環境
[00:03:16.360 --> 00:03:19.460]  其實很多事情都會佔據我們的心思
[00:03:19.460 --> 00:03:21.760]  佔據我們的時間
[00:03:21.760 --> 00:03:23.460]  最近我留意到一個調查
[00:03:23.460 --> 00:03:25.460]  講到香港的青少年人
[00:03:25.460 --> 00:03:29.460]  他們放在網絡遊戲上的時間
[00:03:29.460 --> 00:03:31.360]  不知道大家有沒有留意到
[00:03:31.360 --> 00:03:35.160]  這個報告講到有百分之四十的青少年
[00:03:35.160 --> 00:03:41.660]  每一天最少用幾場時間在網絡遊戲上
[00:03:41.660 --> 00:03:44.160]  你們可以猜測一下
[00:03:44.160 --> 00:03:46.360]  這個調查發現最少四成的人
[00:03:46.360 --> 00:03:51.560]  每天用三個小時或者更多在網絡遊戲上
[00:03:51.560 --> 00:03:53.760]  而很多人他們發覺
[00:03:53.760 --> 00:03:56.560]  一天如果有六個小時
[00:03:56.560 --> 00:03:59.060]  是沒有機會用手機
[00:03:59.060 --> 00:04:01.560]  他會很混亂
[00:04:01.560 --> 00:04:03.260]  有四成的人承認
[00:04:03.260 --> 00:04:06.160]  如果有幾個小時不能夠接觸到手機
[00:04:06.160 --> 00:04:09.660]  他會很不安很不舒服
[00:04:09.660 --> 00:04:11.960]  當然不單止是青少年
[00:04:11.960 --> 00:04:13.260]  很多成年人
[00:04:13.260 --> 00:04:17.560]  我們都發覺今天很多電子的通訊的設備
[00:04:17.560 --> 00:04:19.860]  是用了我們很多時間
[00:04:19.860 --> 00:04:22.160]  當然不單止是電子的通訊
[00:04:22.160 --> 00:04:22.960]  今天的生活
[00:04:22.960 --> 00:04:25.860]  你發覺很多各式的娛樂的活動
[00:04:25.860 --> 00:04:27.760]  當然包括了你的工作
[00:04:27.760 --> 00:04:29.060]  包括了很多不同的
[00:04:29.060 --> 00:04:31.560]  生活上很多不同的思慮
[00:04:31.560 --> 00:04:35.260]  都會佔據了你的心思時間
[00:04:35.260 --> 00:04:37.360]  或者你會即時想起聖經一句話
[00:04:37.360 --> 00:04:40.760]  以弗所書我們常常提的五章十六節
[00:04:40.760 --> 00:04:43.760]  要愛惜光陰
[00:04:43.760 --> 00:04:46.260]  因為
[00:04:46.260 --> 00:04:48.660]  大家記得跟著聖經所說
[00:04:48.660 --> 00:04:52.360]  現今的世代邪惡
[00:04:52.360 --> 00:04:54.760]  這個世界有很多不同的事情
[00:04:54.760 --> 00:04:56.160]  嘗試將我們的心
