
[00:00:00.000 --> 00:00:02.280]  頂姐妹今日同大家分享嘅經文
[00:00:02.280 --> 00:00:07.040]  係喺貼薩來厘家前書四章一至到十二節
[00:00:07.040 --> 00:00:09.080]  我畀咗一個題目就叫做
[00:00:09.080 --> 00:00:12.680]  「一起過土神,喜悅的生活」
[00:00:12.680 --> 00:00:17.760]  同大家先重溫貼薩來厘家教會一啲嘅情況
[00:00:17.760 --> 00:00:22.120]  貼薩來厘家係馬其洞省嘅首府嚟㗎
[00:00:22.120 --> 00:00:24.040]  係一個重要嘅海港
[00:00:24.040 --> 00:00:25.680]  商業活動好頻繁
[00:00:25.680 --> 00:00:28.640]  所以呢亦都係一個好富裕嘅城市
[00:00:28.640 --> 00:00:33.480]  咁其實今日呢個城市仍然係希臘第二大城市嚟㗎喎
[00:00:33.480 --> 00:00:37.840]  今日嘅名就叫做塞薩諾尼基
[00:00:37.840 --> 00:00:41.640]  咁佢係一個好多種族文化匯聚
[00:00:41.640 --> 00:00:45.960]  同埋好多各種唔同宗教信仰嘅城市嚟㗎
[00:00:45.960 --> 00:00:49.240]  咁而昔日貼薩來厘家教會嘅建立
[00:00:49.240 --> 00:00:53.000]  係基於保羅同埋西拉
[00:00:53.000 --> 00:00:56.520]  喺第二次嘅宣教旅程嘅時候去建立㗎
[00:00:56.520 --> 00:01:00.000]  當時佢哋去到呢個地方裏面傳福音
[00:01:00.000 --> 00:01:01.960]  其實時間唔能夠好長
[00:01:01.960 --> 00:01:05.760]  因為當時有一啲嘅不信嘅猶太人
[00:01:05.760 --> 00:01:09.040]  去召集一啲嘅使者匪類
[00:01:09.040 --> 00:01:12.480]  嚟去攻擊迫害保羅同埋西拉
[00:01:12.480 --> 00:01:16.760]  以致佢哋要好匆忙離開呢個城市
[00:01:16.760 --> 00:01:19.520]  但之前佢哋喺呢個地方傳咗福音
[00:01:19.520 --> 00:01:21.360]  有一啲嘅外邦嘅人
[00:01:21.360 --> 00:01:23.560]  佢哋本來係相信異教
[00:01:23.560 --> 00:01:25.160]  但因為聽咗福音之後
[00:01:25.160 --> 00:01:29.040]  願意去歸順耶穌基督悔改
[00:01:29.040 --> 00:01:31.160]  保羅其實好想再搵機會
[00:01:31.160 --> 00:01:34.000]  探返呢個城市裏面嘅信徒
[00:01:34.000 --> 00:01:35.760]  但係都唔能夠成功
[00:01:35.760 --> 00:01:40.000]  於是就差派提摩太嚟到去探望
[00:01:40.000 --> 00:01:41.000]  感謝神
[00:01:41.000 --> 00:01:43.920]  提摩太帶返一啲好嘅消息返嚟喎
[00:01:43.920 --> 00:01:46.720]  因為雖然貼薩羅里加嘅信徒
[00:01:46.720 --> 00:01:49.400]  跟住落嚟我會簡稱為貼城
[00:01:49.400 --> 00:01:53.080]  貼城嘅信徒雖然佢哋因為信主嘅緣故
[00:01:53.080 --> 00:01:55.760]  受到周遭一啲嘅異教徒
[00:01:55.760 --> 00:01:58.600]  或者係不信嘅猶太人去攻擊佢哋
[00:01:58.600 --> 00:02:02.040]  但佢哋繼續對神有堅定嘅信心
[00:02:02.040 --> 00:02:05.840]  咁所以呢保羅亦都係寫呢封嘅書信去關心
[00:02:05.840 --> 00:02:10.800]  亦都係繼續去勸勉同埋教導當中嘅信徒
[00:02:10.800 --> 00:02:13.080]  第一節我哋睇到經文話
[00:02:13.080 --> 00:02:14.960]  沒了弟兄們
[00:02:14.960 --> 00:02:19.160]  我哋靠著主耶穌求你們勸你們
[00:02:19.160 --> 00:02:22.600]  既然你哋領受咗我哋嘅教導
[00:02:22.600 --> 00:02:24.760]  知道該怎樣行事為人
[00:02:24.760 --> 00:02:26.240]  討成嘅喜悅
[00:02:26.240 --> 00:02:28.720]  其實你哋也正這樣行
[00:02:28.720 --> 00:02:31.960]  我勸你哋要更加嘅努力
[00:02:31.960 --> 00:02:35.360]  我哋睇到保羅佢用一個好親切嘅口吻
[00:02:35.360 --> 00:02:36.440]  弟兄們
[00:02:36.440 --> 00:02:39.040]  即係弟兄姊妹
[00:02:39.040 --> 00:02:41.560]  保羅話我求你哋勸你哋
[00:02:41.560 --> 00:02:44.400]  呢個懇求同埋勸勉呢兩個動詞
[00:02:44.400 --> 00:02:47.640]  讓我哋體會到保羅嗰份嘅心腸
[00:02:47.640 --> 00:02:50.760]  其實喺第二章裏面保羅都有咁樣表達
[00:02:50.760 --> 00:02:56.120]  我哋對你們好像父親對自己嘅兒女一樣
[00:02:56.120 --> 00:02:59.360]  即係話保羅係以一個為父嘅心腸
[00:02:59.360 --> 00:03:01.120]  向貼誠嘅信徒呢
[00:03:01.120 --> 00:03:04.120]  嚟到去作出教導
[00:03:04.120 --> 00:03:06.880]  既然你哋領受咗我哋嘅教導
[00:03:06.880 --> 00:03:09.680]  即係話原來保羅不單止
[00:03:09.680 --> 00:03:11.440]  雖然喺好短嘅時間裏面
[00:03:11.440 --> 00:03:13.680]  去到貼誠去傳福音
[00:03:13.680 --> 00:03:15.960]  有咗一班人相信咗主
[00:03:15.960 --> 00:03:18.080]  但保羅原來都好把握機會
