
[00:00:00.000 --> 00:00:03.600]  很有趣 「十定銀子的誤會」
[00:00:03.600 --> 00:00:05.720]  當我仔細看這段經文時
[00:00:05.720 --> 00:00:08.320]  很多東西我從前讀的時候
[00:00:08.320 --> 00:00:09.920]  都有點誤解了這段經文
[00:00:09.920 --> 00:00:13.080]  所以今天我還是跟大家分享一下
[00:00:13.080 --> 00:00:14.880]  我這段時間重讀這段經文
[00:00:14.880 --> 00:00:16.480]  有一些的體會
[00:00:16.480 --> 00:00:19.680]  或者清除了一些誤解之後
[00:00:19.680 --> 00:00:21.920]  有沒有一些新的insight
[00:00:21.920 --> 00:00:23.480]  新的洞見在這段經文裡面
[00:00:23.480 --> 00:00:25.440]  給我們的提醒呢
[00:00:25.440 --> 00:00:28.480]  特別不知道大家覺得這段日子是如何
[00:00:28.480 --> 00:00:30.920]  不知道大家覺得主耶穌基督的翻看日子
[00:00:30.920 --> 00:00:32.680]  還有多遠
[00:00:32.680 --> 00:00:34.280]  其實這段經文就是提醒我們
[00:00:34.280 --> 00:00:36.320]  怎樣去預備好自己
[00:00:36.320 --> 00:00:38.520]  去迎接主在來
[00:00:38.520 --> 00:00:40.320]  所以但願聖靈在這一刻
[00:00:40.320 --> 00:00:44.400]  都幫助我們去聽上帝的話語
[00:00:44.400 --> 00:00:47.120]  用我們的腦去思想神的道
[00:00:47.120 --> 00:00:49.480]  也用心去領受
[00:00:49.480 --> 00:00:52.160]  好像我們今天宣召的經文
[00:00:52.160 --> 00:00:54.560]  「他要著火,殊災在溪水婆」
[00:00:54.560 --> 00:00:56.040]  讓聖靈將神的話語
[00:00:56.040 --> 00:00:57.760]  栽在我們心靈當中
[00:00:57.760 --> 00:00:59.600]  我們同心禱告
[00:00:59.600 --> 00:01:00.800]  主我求祢這一刻
[00:01:00.800 --> 00:01:02.760]  我先用禱告去預備我們的心
[00:01:02.760 --> 00:01:05.560]  去聆聽主祢的話語
[00:01:05.560 --> 00:01:08.680]  讓我們都好像一個好土一樣
[00:01:08.680 --> 00:01:10.480]  讓祢的話語
[00:01:10.480 --> 00:01:14.400]  能夠在我們的心田裡面去生長
[00:01:14.400 --> 00:01:16.120]  先求祢賜給我們一個
[00:01:16.120 --> 00:01:18.360]  聆聽祢話語的耳朵
[00:01:18.360 --> 00:01:21.240]  以致我們不會有任何的過慮
[00:01:21.240 --> 00:01:23.400]  或者任何的纏繞
[00:01:23.400 --> 00:01:25.800]  我們真的能夠真誠去聆聽
[00:01:25.800 --> 00:01:27.840]  神祢的說話
[00:01:27.840 --> 00:01:29.520]  又願意我們的腦袋
[00:01:29.520 --> 00:01:33.360]  可能今天早上我們都要好好去打開
[00:01:33.360 --> 00:01:36.120]  去思想、去默想
[00:01:36.120 --> 00:01:39.000]  將祢的話語藏在我們的心裡面
[00:01:39.000 --> 00:01:42.880]  又願意在我們的心都能夠打開
[00:01:42.880 --> 00:01:44.520]  讓祢的話語
[00:01:44.520 --> 00:01:46.200]  不單止我們聽得明白
[00:01:46.200 --> 00:01:47.600]  我們能夠想得通
[00:01:47.600 --> 00:01:49.000]  更加能夠在心裡面
[00:01:49.000 --> 00:01:52.680]  去成為我們一份的轉向
[00:01:52.680 --> 00:01:55.360]  我們願意活出祢的話語
[00:01:55.360 --> 00:01:57.640]  透過我們的生命的轉向
[00:01:57.640 --> 00:02:00.960]  去將我們的生命的見證、行道
[00:02:00.960 --> 00:02:03.040]  將祢的話語彰顯出來
[00:02:03.040 --> 00:02:05.280]  我更加求祢使用祢的僕人
[00:02:05.280 --> 00:02:08.040]  讓我成為祢流通的管子
[00:02:08.040 --> 00:02:10.880]  以致我在這段時間的預備
[00:02:10.880 --> 00:02:13.880]  去領受聖靈祢給我的感動
[00:02:13.880 --> 00:02:16.840]  能夠完完整整按著正義
[00:02:16.840 --> 00:02:19.880]  按著神祢的心意去宣講出來
[00:02:19.880 --> 00:02:22.560]  求主祢帶領我們此時此刻的時間
[00:02:22.560 --> 00:02:25.520]  祈禱交托 奉耶穌基督得性免治祈求
[00:02:25.520 --> 00:02:26.520]  阿門
[00:02:53.440 --> 00:02:56.600]  又因他們以為神的國快要顯現
[00:02:56.600 --> 00:02:58.240]  就接著講了一個比喻
[00:02:58.240 --> 00:03:00.760]  這裡很明顯將這個比喻
[00:03:00.760 --> 00:03:01.960]  為什麼要講呢
[00:03:01.960 --> 00:03:03.200]  都交代出來了
[00:03:03.200 --> 00:03:04.640]  就正是因為
[00:03:04.640 --> 00:03:08.480]  耶穌將要進入耶路撒冷裡面
[00:03:08.480 --> 00:03:10.000]  這是一個很特別的時刻
[00:03:10.000 --> 00:03:13.880]  因為有一些教會年齡叫聖周
[00:03:13.880 --> 00:03:15.480]  就是Holy Week
[00:03:15.480 --> 00:03:17.720]  就是耶穌將要進入耶路撒冷裡面
[00:03:17.720 --> 00:03:21.680]  將要面對猶太人
[00:03:21.680 --> 00:03:23.920]  特別是民事傀儡出行的迫害
[00:03:23.920 --> 00:03:28.480]  他們將要去面對十字架上的刑罰
[00:03:28.480 --> 00:03:29.840]  受苦受難
[00:03:29.840 --> 00:03:32.680]  耶穌為的就是要成就救恩
[00:03:32.680 --> 00:03:33.520]  而另一方面
[00:03:33.520 --> 00:03:36.720]  在群眾的情緒裡面也是高漲的
[00:03:36.720 --> 00:03:37.440]  因為我們見到
[00:03:37.440 --> 00:03:40.840]  耶穌在其他的以色列城外的
[00:03:40.840 --> 00:03:47.440]  猶太 撒瓦尼亞 加利利的附近地方
[00:03:47.440 --> 00:03:49.600]  都行了很多的神蹟奇事
[00:03:49.600 --> 00:03:52.000]  都宣講了很多上帝的話語
[00:03:52.000 --> 00:03:56.160]  很多群眾都在擁戴這位耶穌
[00:03:56.160 --> 00:04:00.080]  他們期待耶穌救了正在預言的尼塞亞
[00:04:00.080 --> 00:04:03.280]  這個我想大家都很清楚的背景
[00:04:03.280 --> 00:04:05.960]  就是他們相信耶穌將會帶領他們復國
[00:04:05.960 --> 00:04:08.880]  打敗了當時羅馬帝國的統治
[00:04:08.880 --> 00:04:13.440]  以致能夠有一個尼塞亞的國度去復興出來
[00:04:13.440 --> 00:04:16.520]  所以他們覺得神的國就要顯現了
[00:04:16.520 --> 00:04:18.960]  當耶穌進入耶路撒冷聖城的時候
[00:04:18.960 --> 00:04:22.480]  就是上帝的國要終極來臨的時刻
[00:04:22.480 --> 00:04:24.280]  所以耶穌告訴他們
[00:04:24.280 --> 00:04:26.000]  他們的想法有些問題
[00:04:26.000 --> 00:04:29.080]  要透過一個比喻去澄清很多的誤解
[00:04:29.080 --> 00:04:34.600]  我們見到當時
[00:04:34.600 --> 00:04:35.840]  耶穌想帶出一樣東西
[00:04:35.840 --> 00:04:38.400]  就是不是這麼快的
[00:04:38.400 --> 00:04:40.880]  不是說耶穌進去後
[00:04:40.880 --> 00:04:42.560]  可能黃袍加身
[00:04:42.560 --> 00:04:43.760]  成為王
[00:04:43.760 --> 00:04:45.440]  整個國度馬上就不同了
[00:04:45.440 --> 00:04:46.440]  不是這樣的
[00:04:48.440 --> 00:04:51.560]  而更加想起我們今時今日
[00:04:51.560 --> 00:04:53.240]  很快我們等了二千年了
[00:04:53.240 --> 00:04:55.320]  耶穌還沒有回來
[00:04:55.320 --> 00:04:58.280]  不知道大家對於今時今日這一刻
[00:04:58.280 --> 00:04:59.920]  你覺得我們在香港
[00:04:59.920 --> 00:05:01.560]  或者在這個世界裏面
[00:05:01.560 --> 00:05:03.400]  又面對著什麼處境呢?
[00:05:03.400 --> 00:05:06.960]  你會不會有時都好像那班以色列人那樣
[00:05:06.960 --> 00:05:09.080]  我們受著羅馬的統治很長
[00:05:09.080 --> 00:05:12.120]  我們很想有屬於自己的國家
[00:05:12.120 --> 00:05:15.480]  自己的人民去統治
[00:05:15.480 --> 00:05:19.200]  我們都會不會覺得這個世紀大疫症
[00:05:19.200 --> 00:05:22.000]  這個COVID-19
[00:05:22.000 --> 00:05:24.800]  我數的時候原來已經兩年半了
[00:05:24.800 --> 00:05:26.080]  兩年半了
[00:05:26.080 --> 00:05:27.920]  我的兒子經常開玩笑說
[00:05:27.920 --> 00:05:29.720]  那些未來的小說經常說
[00:05:29.720 --> 00:05:33.920]  你現在是COVID-19第七年了
[00:05:33.920 --> 00:05:36.120]  可能還要很長的時間
[00:05:36.120 --> 00:05:37.920]  就指這樣類似
[00:05:37.920 --> 00:05:39.880]  或者我們覺得什麼時候可以開關呢?
[00:05:39.880 --> 00:05:42.520]  我們什麼時候可以離開香港
[00:05:42.520 --> 00:05:44.800]  回國內或者其他地方旅行呢?
[00:05:44.800 --> 00:05:45.880]  指紋樓梯響
[00:05:45.880 --> 00:05:48.760]  好像什麼時候都不知道什麼時候可以有個轉變
[00:05:48.760 --> 00:05:49.720]  整個香港
[00:05:49.720 --> 00:05:52.920]  整個世界都好像瀰漫著一個很沉重
[00:05:52.920 --> 00:05:55.080]  不安壓力的環境底下
[00:05:55.080 --> 00:05:57.640]  我們怎樣等候主再來呢?
[00:05:57.640 --> 00:06:00.320]  其實同樣在耶穌這個比喻裏面
[00:06:00.320 --> 00:06:02.200]  也都帶出了
[00:06:02.200 --> 00:06:05.680]  在上帝的國來臨的時候
[00:06:05.680 --> 00:06:08.760]  也都是帶著一份不安不穩定的狀態
[00:06:08.760 --> 00:06:09.960]  為什麼這樣說呢?
[00:06:09.960 --> 00:06:12.960]  我們看看第十二節到第十四節
