
[00:00:00.000 --> 00:00:01.760]  請一同打開
[00:00:01.760 --> 00:00:04.400]  馬克福音第一章
[00:00:04.400 --> 00:00:10.640]  今天我們會講第一章的29到39節
[00:00:10.640 --> 00:00:14.880]  馬克福音很特別
[00:00:14.880 --> 00:00:19.400]  馬克福音第一章其實是整卷馬克福音的序言
[00:00:19.400 --> 00:00:22.000]  也都講了其實馬克福音的重點
[00:00:22.000 --> 00:00:23.880]  在第一章裏面都能夠找得到
[00:00:23.880 --> 00:00:26.600]  在一到十四節
[00:00:26.600 --> 00:00:28.160]  馬克福音第一章一到十四節
[00:00:28.160 --> 00:00:32.080]  講到施洗約翰 講到主耶穌基督受洗
[00:00:32.080 --> 00:00:36.000]  接著第十五節開始就講到主耶穌
[00:00:36.000 --> 00:00:37.440]  未上十字架之前
[00:00:37.440 --> 00:00:39.880]  祂的服事的重點
[00:00:39.880 --> 00:00:45.120]  由第一章第十五節開始
[00:00:45.120 --> 00:00:48.080]  耶穌一開始服事的時候講什麼呢
[00:00:48.080 --> 00:00:49.440]  做什麼呢
[00:00:49.440 --> 00:00:52.280]  日期滿了 臣的國近了
[00:00:52.280 --> 00:00:54.200]  你們要悔改 順福音
[00:00:54.200 --> 00:00:56.880]  耶穌服事的第一樣重點
[00:00:57.680 --> 00:00:59.960]  宣講天國的福音
[00:00:59.960 --> 00:01:02.720]  接著那個重點
[00:01:02.720 --> 00:01:03.920]  十六到二十節
[00:01:03.920 --> 00:01:06.680]  耶穌呼召門徒去跟隨祂
[00:01:06.680 --> 00:01:07.840]  呼召了四個
[00:01:07.840 --> 00:01:13.240]  接著第二十一節去到三十七節
[00:01:13.240 --> 00:01:15.480]  就耶穌在加伯隆服事
[00:01:15.480 --> 00:01:17.600]  但這個加伯隆的服事
[00:01:17.600 --> 00:01:22.640]  祂是顯得非常的讓祂名聲高漲
[00:01:22.640 --> 00:01:23.440]  很厲害
[00:01:23.440 --> 00:01:25.760]  我們看馬克福音
[00:01:25.760 --> 00:01:26.560]  我們看一看
[00:01:27.160 --> 00:01:28.880]  馬克福音第一章第二十一節
[00:01:28.880 --> 00:01:31.560]  講到主耶穌跟祂的門徒去到加伯隆
[00:01:31.560 --> 00:01:32.840]  那時是安息日
[00:01:32.840 --> 00:01:36.880]  祂在加伯隆的會堂裡面講道
[00:01:36.880 --> 00:01:38.000]  接著也講鬼
[00:01:38.000 --> 00:01:39.840]  完了之後結果是什麼
[00:01:39.840 --> 00:01:41.080]  第一章第二十八節
[00:01:41.080 --> 00:01:46.000]  於是耶穌的名聲立刻傳遍了全加利利周圍地區
[00:01:46.000 --> 00:01:49.080]  這個是耶穌服事
[00:01:49.080 --> 00:01:52.160]  看著地點
[00:01:52.160 --> 00:01:56.160]  耶穌的名聲立刻傳遍了全加利利周圍地區
[00:01:57.440 --> 00:01:59.880]  接著二十九節
[00:01:59.880 --> 00:02:03.720]  耶穌和門徒去到彼得愛姆的家
[00:02:03.720 --> 00:02:06.040]  醫好彼得的愛姆
[00:02:06.040 --> 00:02:09.880]  接著祂的名聲一路傳出來
[00:02:09.880 --> 00:02:12.160]  於是第三十三節
[00:02:12.160 --> 00:02:14.640]  全城全加伯隆城的人
[00:02:14.640 --> 00:02:18.360]  都聚集在彼得愛姆的門口
[00:02:18.360 --> 00:02:22.640]  之前只不過是名聲傳遍
[00:02:22.640 --> 00:02:23.840]  現在不是了
