
[00:00:00.000 --> 00:00:04.000]  其實教會二千年裏面發生的事情
[00:00:04.000 --> 00:00:07.400]  是到今天有很多事情沒有變的
[00:00:07.400 --> 00:00:09.000]  例如我們面對的挑戰
[00:00:09.000 --> 00:00:14.200]  其實是一年比一年更加激烈的
[00:00:14.200 --> 00:00:20.000]  例如我見到《迦太書》比我想象中艱難地宣講
[00:00:20.000 --> 00:00:21.200]  我以爲羅馬書艱難
[00:00:21.200 --> 00:00:22.600]  原來《迦太書》更難
[00:00:22.600 --> 00:00:23.800]  《迦太書》
[00:00:23.800 --> 00:00:25.400]  保羅要寫《迦太書》
[00:00:25.400 --> 00:00:29.600]  就要跟《迦太教會》要回應一個問題
[00:00:29.600 --> 00:00:36.200]  就是今天加泰人爲什麼這麼輕易接受了另一個福音
[00:00:36.200 --> 00:00:38.000]  這個另一個福音其實是異端來的
[00:00:38.000 --> 00:00:44.000]  就是相信耶穌還要加上了猶太教的規條
[00:00:44.000 --> 00:00:48.800]  今天基督教裏面有沒有呢?
[00:00:48.800 --> 00:00:52.400]  跟你加泰的姐妹說
[00:00:52.400 --> 00:00:54.000]  你要慶祝聖誕節
[00:00:54.000 --> 00:00:56.600]  爲什麼呢?
[00:00:56.600 --> 00:00:57.600]  我們不是爲了派對
[00:00:57.600 --> 00:00:58.400]  不是爲了禮物
[00:00:58.400 --> 00:01:00.200]  我們要告訴世界人知道
[00:01:00.200 --> 00:01:03.800]  耶穌是爲我們降生
[00:01:03.800 --> 00:01:07.000]  基督徒慶祝聖誕節就要跟全世界說
[00:01:07.000 --> 00:01:12.400]  你看看原先我們的聖誕歌是多麼有世界觀
[00:01:12.400 --> 00:01:14.000]  Joy to the world
[00:01:14.000 --> 00:01:16.000]  就是普世要歡騰
[00:01:16.000 --> 00:01:18.000]  因爲這個救恩是跟普世有關係的
[00:01:18.000 --> 00:01:19.600]  不只是跟中國人有關係
[00:01:19.600 --> 00:01:21.400]  不是跟你的派對有關係
[00:01:21.400 --> 00:01:25.600]  但是今天在教外
[00:01:25.600 --> 00:01:27.600]  他公開說我也公開說
[00:01:27.600 --> 00:01:33.400]  教外是星巴克Starbucks的CEO公開說
[00:01:33.400 --> 00:01:34.800]  我們是支持同運的
[00:01:34.800 --> 00:01:37.200]  你買一杯咖啡我們捐一元
[00:01:37.200 --> 00:01:40.200]  你不滿意你可以不來喝
[00:01:40.200 --> 00:01:42.400]  這樣來挑剔
[00:01:42.400 --> 00:01:44.600]  然後今年的聖誕節
[00:01:44.600 --> 00:01:46.800]  你留意一下星巴克的杯子
[00:01:46.800 --> 00:01:48.200]  沒有清晨氣氛了
[00:01:48.200 --> 00:01:49.600]  只是印了紅色
[00:01:49.600 --> 00:01:50.800]  也有人開始質疑
[00:01:50.800 --> 00:01:54.000]  是不是開始在星巴克文化裏面
[00:01:54.000 --> 00:01:56.800]  聖誕節的東西都要抽走呢?
[00:01:56.800 --> 00:01:58.800]  其實這件事是不奇怪的
[00:01:58.800 --> 00:02:01.200]  我見到今天的歐洲
[00:02:01.200 --> 00:02:02.600]  美國
[00:02:02.600 --> 00:02:04.200]  澳洲等地
[00:02:04.200 --> 00:02:05.200]  紐西蘭
[00:02:05.200 --> 00:02:09.200]  都開始將聖誕節儘量淡化
[00:02:09.200 --> 00:02:10.800]  然後冬日節
[00:02:10.800 --> 00:02:14.800]  然後嘗試將聖誕老人
[00:02:14.800 --> 00:02:17.400]  或者新的人物搬出來代替耶穌
[00:02:17.400 --> 00:02:19.600]  這個我們覺得一點也不奇怪
[00:02:19.600 --> 00:02:21.800]  在未信主的世界裏面
[00:02:21.800 --> 00:02:23.200]  我們不可以怪他們
[00:02:23.200 --> 00:02:24.400]  他們根本不信耶穌
[00:02:24.400 --> 00:02:26.800]  你問他們爲什麼要慶祝聖誕節呢?
[00:02:26.800 --> 00:02:29.000]  這個是很正常的
[00:02:29.000 --> 00:02:30.200]  但問題是
[00:02:30.200 --> 00:02:32.600]  今天連教會內部都出現了問題
[00:02:32.600 --> 00:02:34.400]  有教會人士主張
[00:02:34.400 --> 00:02:36.000]  我們不應該慶祝聖誕節的
[00:02:36.000 --> 00:02:38.200]  因爲耶穌根本不是10月25日出生
[00:02:38.200 --> 00:02:39.600]  誰不知道而已
[00:02:39.600 --> 00:02:40.800]  現在問題是
[00:02:40.800 --> 00:02:43.000]  我們想借着聖誕節向世人宣告
[00:02:43.000 --> 00:02:45.200]  耶穌基督爲他們降生
[00:02:45.200 --> 00:02:46.800]  不慶祝聖誕節也算了
[00:02:46.800 --> 00:02:48.600]  還有教會鼓勵的
[00:02:48.600 --> 00:02:49.600]  反而是說
[00:02:49.600 --> 00:02:56.200]  用了這個祝盤節來代替了我們不守聖誕節
[00:02:56.200 --> 00:02:57.600]  我們守祝盤節
[00:02:57.600 --> 00:02:59.400]  這樣有一個危險性
[00:02:59.400 --> 00:03:03.000]  危險性就是將猶太文化搬進去教會里面
