
[00:00:00.000 --> 00:00:02.240]  好,等節目讓我們聽神的道義
[00:00:02.240 --> 00:00:04.800]  先讓我們先同心的祈禱
[00:00:04.800 --> 00:00:06.680]  請姐妹讓我們聽神道之前
[00:00:06.680 --> 00:00:08.000]  先同心禱告
[00:00:08.000 --> 00:00:12.560]  菩薩啊,求祢的靈與我們同在
[00:00:12.560 --> 00:00:15.280]  帶領我們去認識主祢的心思意念
[00:00:15.280 --> 00:00:19.080]  請天父,求祢的靈
[00:00:19.080 --> 00:00:22.400]  在我們當中,帶領我們
[00:00:22.400 --> 00:00:24.240]  讓我們心心念念
[00:00:24.240 --> 00:00:25.600]  都隨著祢的靈
[00:00:25.600 --> 00:00:27.440]  帶到眾面前來報應
[00:00:27.440 --> 00:00:28.440]  禱告
[00:00:28.440 --> 00:00:30.800]  望著耶穌的面前來報應
[00:00:30.800 --> 00:00:37.240]  隨著自己的年紀越來越大了
[00:00:37.240 --> 00:00:39.120]  隨著自己的年齡越來越大
[00:00:39.120 --> 00:00:42.880]  大家知道我剛剛五十歲了
[00:00:42.880 --> 00:00:44.680]  大家知道我剛剛過了五十歲生日
[00:00:44.680 --> 00:00:45.880]  已經做完五十歲了
[00:00:45.880 --> 00:00:50.440]  發覺眼睛又開始矇
[00:00:50.440 --> 00:00:53.200]  發現自己的眼睛開始花了
[00:00:53.200 --> 00:00:55.960]  不知道是不是開始幼聾了
[00:00:55.960 --> 00:00:58.560]  整天有點矇矇地聾
[00:00:58.560 --> 00:01:00.640]  耳朵聽不太清楚
[00:01:00.640 --> 00:01:02.720]  不知道自己的耳朵是不是開始聾了
[00:01:02.720 --> 00:01:04.000]  經常聽不清楚
[00:01:04.000 --> 00:01:06.800]  不過人越來越隨著年紀大
[00:01:06.800 --> 00:01:08.320]  開始身體衰老
[00:01:08.320 --> 00:01:09.760]  這個正常現象
[00:01:09.760 --> 00:01:11.600]  我都無話可說的
[00:01:11.600 --> 00:01:13.080]  人越來越老
[00:01:13.080 --> 00:01:14.440]  身體都開始衰老
[00:01:14.440 --> 00:01:15.880]  當然我是沒有意見的
[00:01:15.880 --> 00:01:18.040]  不過就開始想一個問題
[00:01:18.040 --> 00:01:19.440]  不知道你有沒有想過
[00:01:19.440 --> 00:01:21.160]  不是,開始想一個問題
[00:01:21.160 --> 00:01:22.480]  不知道大家有沒有想過
[00:01:22.480 --> 00:01:25.600]  就是當如果在你臨終之前
[00:01:25.600 --> 00:01:26.600]  的日子
[00:01:26.600 --> 00:01:28.240]  當你臨終的時候
[00:01:28.240 --> 00:01:31.240]  你會向什麼樣的人
[00:01:31.240 --> 00:01:33.880]  跟他說什麼話呢?
[00:01:33.880 --> 00:01:36.240]  你向什麼樣的人說什麼話呢?
[00:01:36.240 --> 00:01:40.120]  例如你跟家人會說什麼話呢?
[00:01:40.120 --> 00:01:41.320]  在你臨終之前
[00:01:41.320 --> 00:01:43.600]  向家裡的人說什麼呢?
[00:01:43.600 --> 00:01:46.280]  或者比如我作為一目者
[00:01:46.280 --> 00:01:47.880]  跟我的會友
[00:01:47.880 --> 00:01:49.760]  每個跟我相識的弟兄姊妹
[00:01:49.760 --> 00:01:51.280]  或者我的朋友
[00:01:51.280 --> 00:01:53.440]  跟他們說什麼話呢?
[00:01:53.440 --> 00:01:55.800]  作為目者向我的會友
[00:01:55.800 --> 00:01:57.600]  向我的朋友說些什麼呢?
[00:01:57.600 --> 00:01:59.320]  那都可能很不同的
[00:01:59.320 --> 00:02:00.960]  可能會有些不同
[00:02:00.960 --> 00:02:02.760]  特別如果甚至一些上帝
[00:02:02.760 --> 00:02:04.160]  帶在你身邊
[00:02:04.160 --> 00:02:05.720]  跟你遇見過的人
