
[00:00:00.000 --> 00:00:01.620]  我們天父
[00:00:01.620 --> 00:00:06.000]  在我們將要迎接聖誕節的時候
[00:00:06.000 --> 00:00:07.820]  求神你準備我們的心靈
[00:00:07.820 --> 00:00:09.760]  去與主親近
[00:00:09.760 --> 00:00:14.260]  天父我們實在是活在困難當中
[00:00:14.260 --> 00:00:16.780]  我們為了在當中
[00:00:16.780 --> 00:00:20.060]  在香港裏面不少人染疫
[00:00:20.060 --> 00:00:23.260]  不少人也都要隔離
[00:00:23.260 --> 00:00:26.180]  或者社會當中的各種惶恐不安
[00:00:26.180 --> 00:00:29.620]  天父我們都擺在呈獻祢面前
[00:00:29.620 --> 00:00:32.120]  天父求祢訓練我們
[00:00:32.120 --> 00:00:34.320]  求祢眷顧我們的困難
[00:00:34.320 --> 00:00:35.920]  求祢拯救
[00:00:35.920 --> 00:00:39.540]  讓我們得見祢的醫治和祢的榮耀
[00:00:39.540 --> 00:00:41.580]  願祢保守我們的心靈
[00:00:41.580 --> 00:00:44.720]  願祢讓我們能夠在祢面前有這份清心
[00:00:44.720 --> 00:00:46.760]  能夠得見祢面
[00:00:46.760 --> 00:00:50.080]  我們祈禱奉我主耶穌基督聖名祈求
[00:00:50.080 --> 00:00:52.220]  Amen
[00:00:52.220 --> 00:00:53.860]  各位弟兄姊妹
[00:00:53.860 --> 00:00:55.920]  我很感恩能夠再有機會
[00:00:55.920 --> 00:01:00.420]  與弟兄姊妹分享、講解《聖經》的話語
[00:01:00.420 --> 00:01:02.320]  在這段時間裏面
[00:01:02.320 --> 00:01:06.360]  我特別想起《聖經》詩篇119篇裏面提到
[00:01:06.360 --> 00:01:10.680]  《聖經》話是我們腳前的燈、路上的光
[00:01:10.680 --> 00:01:13.400]  這可能是不少弟兄姊妹耳熟能詳的金句
[00:01:13.400 --> 00:01:15.600]  可能由小輩到現在
[00:01:15.600 --> 00:01:16.900]  但在今時今日
[00:01:16.900 --> 00:01:19.960]  這節《聖經》很有味道
[00:01:19.960 --> 00:01:21.160]  因為在古的時候
[00:01:21.160 --> 00:01:22.600]  古代的時候出街走路
[00:01:22.600 --> 00:01:26.480]  就不會拿著燈日光日白地在那裏走
[00:01:26.480 --> 00:01:28.440]  因為沒有這樣的需要
[00:01:28.440 --> 00:01:32.760]  當詩人寫出「腳前的燈、路上的光」的時候
