
[00:00:00.000 --> 00:00:02.760]  今天開始我們會講一個
[00:00:02.760 --> 00:00:05.320]  講到的系列是四個星期的
[00:00:05.320 --> 00:00:07.400]  就叫做宣教人
[00:00:07.400 --> 00:00:09.480]  當我聽到宣教人的時候
[00:00:09.480 --> 00:00:11.720]  可能我們就想著那些是
[00:00:11.720 --> 00:00:14.560]  Professional的Long-Term Missionary
[00:00:14.560 --> 00:00:17.560]  那些是全時間全職
[00:00:17.560 --> 00:00:21.920]  有整個呼召去做宣教士那些
[00:00:21.920 --> 00:00:25.640]  但其實在我的印象和了解當中
[00:00:25.640 --> 00:00:28.400]  每一個基督徒都應該是一個宣教人
[00:00:28.400 --> 00:00:33.920]  每一個基督徒都可以將整個愛耶穌基督教的福音
[00:00:33.920 --> 00:00:37.120]  和所有人分享
[00:00:37.120 --> 00:00:40.040]  所以今天第一課第一講的時候
[00:00:40.040 --> 00:00:42.880]  就是講到怎樣去用我們的生命
[00:00:42.880 --> 00:00:45.680]  去影響人的生命
[00:00:45.680 --> 00:00:48.480]  我聽到一個很有趣的故事
[00:00:48.480 --> 00:00:50.440]  這個故事是講到Thomas Wheeler
[00:00:50.440 --> 00:00:52.800]  Thomas Wheeler是從前
[00:00:52.800 --> 00:00:58.240]  Massachusetts Mutual Life Insurance Company的CEO
[00:00:58.240 --> 00:00:59.680]  行政總裁
[00:00:59.680 --> 00:01:02.680]  現在已經不只是做Life Insurance那麼簡單
[00:01:02.680 --> 00:01:06.840]  是一個很大的很具規模的Financial Group
[00:01:06.840 --> 00:01:10.640]  有一次Thomas Wheeler和他太太
[00:01:10.640 --> 00:01:13.760]  不知是旅行還是辦公室他沒有詳細講
[00:01:13.760 --> 00:01:15.640]  就是開車
[00:01:15.640 --> 00:01:17.640]  走到一段時間之後發覺
[00:01:17.640 --> 00:01:21.240]  可能沒什麼Gas 要入油了
[00:01:21.240 --> 00:01:24.880]  於是見到哪裡有Exit就出去入油
[00:01:24.880 --> 00:01:28.800]  去到一個Gas Station 其實是一個Run Down的Gas Station
[00:01:28.800 --> 00:01:30.240]  只有一個油泵
[00:01:30.240 --> 00:01:32.240]  很污穢的
[00:01:32.240 --> 00:01:33.440]  不知在什麼地方
[00:01:33.440 --> 00:01:35.200]  以前我在德州就很多這樣的
[00:01:35.200 --> 00:01:38.320]  一個油站的這些Gas Station
[00:01:38.320 --> 00:01:39.560]  你知道他是CEO
[00:01:39.560 --> 00:01:43.040]  有一個Gas Station的Attendant走出來
[00:01:43.040 --> 00:01:44.960]  一個在這邊的夥計走出來
[00:01:44.960 --> 00:01:46.960]  麻煩你幫我入油
[00:01:46.960 --> 00:01:50.400]  還有檢查一下前面的解油夠不夠
[00:01:50.400 --> 00:01:53.120]  Windshield幫我整理一下
[00:01:53.120 --> 00:01:56.120]  交代了這個油站的夥計之後
[00:01:56.120 --> 00:01:57.920]  他就走去看看周圍的環境
[00:01:57.920 --> 00:02:00.640]  周圍看一下
[00:02:00.640 --> 00:02:02.280]  走回來之後
[00:02:02.280 --> 00:02:08.200]  竟然見到他太太和這個加油站的夥計
[00:02:08.200 --> 00:02:09.400]  聊得很投契
[00:02:09.400 --> 00:02:11.400]  好像認識了很久
[00:02:11.400 --> 00:02:12.200]  奇怪
[00:02:12.200 --> 00:02:16.600]  為什麼我太太會和一個這樣的人聊天呢
[00:02:16.600 --> 00:02:18.960]  上車之後他就問他太太
[00:02:18.960 --> 00:02:20.160]  老婆
[00:02:20.160 --> 00:02:21.760]  剛才那個你認識他的嗎?
[00:02:21.760 --> 00:02:23.200]  好像聊得很投契
[00:02:23.200 --> 00:02:25.200]  好像認識了很久
[00:02:25.200 --> 00:02:26.960]  他說我認識這個人
[00:02:26.960 --> 00:02:28.200]  真的認識了很久
[00:02:28.200 --> 00:02:29.320]  為什麼這麼投契
[00:02:29.320 --> 00:02:32.040]  因為這個是我高中時的愛人
[00:02:32.040 --> 00:02:34.480]  是我讀中學的時候的愛人
