
[00:00:00.000 --> 00:00:04.000]  多謝施班在最後一次藉手的詩歌提醒我們
[00:00:04.000 --> 00:00:06.000]  是因為主活著
[00:00:06.000 --> 00:00:08.000]  我們今天才可以在這裡
[00:00:08.000 --> 00:00:12.000]  今天的主題是
[00:00:12.000 --> 00:00:16.000]  主復活了的福音
[00:00:16.000 --> 00:00:19.000]  通常講主的復活
[00:00:19.000 --> 00:00:22.000]  是在復活節的時候才講的
[00:00:22.000 --> 00:00:24.000]  其實在早期的教會
[00:00:24.000 --> 00:00:26.000]  主日的時間
[00:00:26.000 --> 00:00:28.000]  其實是每個星期
[00:00:28.000 --> 00:00:30.000]  都是代表了
[00:00:30.000 --> 00:00:32.000]  慶祝主復活的日子
[00:00:32.000 --> 00:00:34.000]  大家知不知道
[00:00:34.000 --> 00:00:36.000]  其實每個主日都是復活節
[00:00:36.000 --> 00:00:40.000]  每個主日都是復活的主日
[00:00:40.000 --> 00:00:42.000]  今天這段時間
[00:00:42.000 --> 00:00:44.000]  我跟大家分享
[00:00:44.000 --> 00:00:46.000]  哥林多前書這段經文
[00:00:46.000 --> 00:00:48.000]  裡面講的內容
[00:00:48.000 --> 00:00:50.000]  其實大家都不太陌生
[00:00:50.000 --> 00:00:52.000]  但我希望透過
[00:00:52.000 --> 00:00:54.000]  以下這段短短的時間
[00:00:54.000 --> 00:00:56.000]  我們再一次思想
[00:00:56.000 --> 00:00:58.000]  願意主的靈再一次提醒我們
[00:00:58.000 --> 00:01:00.000]  幫助我們
[00:01:00.000 --> 00:01:02.000]  我們能夠被主的話語
[00:01:02.000 --> 00:01:04.000]  再一次激勵
[00:01:04.000 --> 00:01:06.000]  有需要提醒的求主提醒我們
[00:01:06.000 --> 00:01:08.000]  有需要鼓勵
[00:01:08.000 --> 00:01:10.000]  或者是
[00:01:10.000 --> 00:01:12.000]  需要責備的
[00:01:12.000 --> 00:01:14.000]  都求主在我們心裡面工作
[00:01:14.000 --> 00:01:16.000]  我們一起禱告
[00:01:16.000 --> 00:01:18.000]  天父我們感謝你
[00:01:18.000 --> 00:01:20.000]  今早給我們一班屬於你的子民
[00:01:20.000 --> 00:01:22.000]  可以這樣敬拜你
[00:01:22.000 --> 00:01:24.000]  是因為你活著
[00:01:24.000 --> 00:01:26.000]  我們才能夠
[00:01:26.000 --> 00:01:28.000]  來到你的面前
[00:01:28.000 --> 00:01:30.000]  願意今天這段時間
[00:01:30.000 --> 00:01:32.000]  求你的話語
[00:01:32.000 --> 00:01:34.000]  是透過聖靈的工作
[00:01:34.000 --> 00:01:36.000]  再一次進入我們的心
[00:01:36.000 --> 00:01:38.000]  幫助我們的心打開
[00:01:38.000 --> 00:01:40.000]  以致能夠被你改變
[00:01:40.000 --> 00:01:42.000]  開我們的眼睛
[00:01:42.000 --> 00:01:44.000]  看到你自己復活的大能
[00:01:44.000 --> 00:01:46.000]  在我們順利的人的身上
[00:01:46.000 --> 00:01:48.000]  是何等的豪大
[00:01:48.000 --> 00:01:50.000]  我們就恭敬張宇這段時間交託
[00:01:50.000 --> 00:01:52.000]  亦都求主你幫助我們
[00:01:52.000 --> 00:01:54.000]  說的聽的
[00:01:54.000 --> 00:01:56.000]  我們都是同一的
[00:01:56.000 --> 00:01:58.000]  願意信服在你自己的話語底下
[00:01:58.000 --> 00:02:00.000]  奉主耶穌的名叩
