
[00:00:00.000 --> 00:00:02.000]  讓我們一起低頭禱告
[00:00:02.000 --> 00:00:06.000]  親愛的天父
[00:00:06.000 --> 00:00:10.000]  願你來去到去掌管我們的心思、意念
[00:00:10.000 --> 00:00:15.000]  主啊,祢知道此刻我們生命的境況
[00:00:15.000 --> 00:00:17.000]  求祢建立我們
[00:00:17.000 --> 00:00:23.000]  讓祢的話語再次成為我們的提醒、勉勵、督責
[00:00:23.000 --> 00:00:26.000]  指教我們前面當行的路
[00:00:26.000 --> 00:00:32.000]  讓我們今天能夠經歷祢話語的大能和改變
[00:00:32.000 --> 00:00:37.000]  讓我們能夠帶著從祢而來那份屬天的盼望
[00:00:37.000 --> 00:00:40.000]  來面對我們人生的道路
[00:00:40.000 --> 00:00:41.000]  多謝祢
[00:00:41.000 --> 00:00:42.000]  順聽我們的禱告
[00:00:42.000 --> 00:00:44.000]  奉耶穌基督得勝的名球
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:47.000]  各位靈姐妹,早安
[00:00:47.000 --> 00:00:49.000]  相信在這段時間
[00:00:49.000 --> 00:00:51.000]  跟人與人之間溝通
[00:00:51.000 --> 00:00:53.000]  我們都要很小心
[00:00:53.000 --> 00:00:56.000]  很怕說了一些說話
[00:00:56.000 --> 00:01:00.000]  觸動了對方一些情緒
[00:01:00.000 --> 00:01:01.000]  但無論如何
[00:01:01.000 --> 00:01:03.000]  在神家裡
[00:01:03.000 --> 00:01:05.000]  我們都是一家人
[00:01:05.000 --> 00:01:06.000]  在耶穌裡面
[00:01:06.000 --> 00:01:09.000]  無論你是什麼立場
[00:01:09.000 --> 00:01:12.000]  我們每一個都是耶師
[00:01:12.000 --> 00:01:14.000]  知道什麼是耶師嗎?
[00:01:14.000 --> 00:01:16.000]  耶穌的粉絲
[00:01:16.000 --> 00:01:21.000]  我們都很盼望讓神的話語去塑造我們
[00:01:21.000 --> 00:01:25.000]  成為一個滿有愛的屬靈群體
[00:01:25.000 --> 00:01:27.000]  所以在我們周遭的靈姐妹
[00:01:27.000 --> 00:01:29.000]  無論她是怎樣也好
[00:01:29.000 --> 00:01:31.000]  我們都學習堅持去愛
[00:01:31.000 --> 00:01:33.000]  堅持去接納
[00:01:33.000 --> 00:01:34.000]  是不是?
[00:01:34.000 --> 00:01:37.000]  沒什麼聲音的
[00:01:37.000 --> 00:01:40.000]  我們是不是對我們身邊的靈姐妹
[00:01:40.000 --> 00:01:41.000]  無論她是怎樣
[00:01:41.000 --> 00:01:44.000]  我們都在學習堅持去愛
[00:01:44.000 --> 00:01:45.000]  堅持去接納
[00:01:45.000 --> 00:01:47.000]  是不是?各位靈姐妹
[00:01:47.000 --> 00:01:52.000]  真是安心一點 作為牧師
[00:01:52.000 --> 00:01:55.000]  當我們說「是」的時候
[00:01:55.000 --> 00:01:57.000]  用得堅持
[00:01:57.000 --> 00:02:00.000]  就即是預了有代價
[00:02:00.000 --> 00:02:01.000]  我們都在學習
[00:02:01.000 --> 00:02:03.000]  怎樣去到當中
[00:02:03.000 --> 00:02:04.000]  因為在堅持的背後
[00:02:04.000 --> 00:02:07.000]  我們都知道是不容易
[00:02:07.000 --> 00:02:09.000]  但盼望我們都能夠
[00:02:09.000 --> 00:02:10.000]  窮我們一生
[00:02:10.000 --> 00:02:14.000]  都是捉住天父上帝
