
[00:00:00.000 --> 00:00:02.100]  拿紅書
[00:00:02.100 --> 00:00:06.960]  拿紅書是十二仙之書的第七卷
[00:00:06.960 --> 00:00:09.240]  已經去到第七捲了
[00:00:09.240 --> 00:00:12.400]  頭六卷我們已經講了
[00:00:12.400 --> 00:00:17.720]  六卷的主題其實都是環繞着福音的信息
[00:00:17.720 --> 00:00:20.720]  如果你要知道頭六卷的主題
[00:00:20.720 --> 00:00:23.120]  如何環繞着福音的信息
[00:00:23.120 --> 00:00:28.240]  你可以回到尼加書的總結時聽一次
[00:00:28.240 --> 00:00:31.880]  我在這裏不會再講了 因爲時間的關係
[00:00:31.880 --> 00:00:38.560]  每個星期講一卷的十二仙之書已經很逼切
[00:00:38.560 --> 00:00:40.600]  所以沒有時間再講
[00:00:40.600 --> 00:00:44.000]  我們講完六卷的十二仙之書
[00:00:44.000 --> 00:00:45.880]  講到第七至十二卷
[00:00:45.880 --> 00:00:49.080]  我們見到主題有少少不同
[00:00:49.080 --> 00:00:51.080]  靠近了很多
[00:00:51.080 --> 00:00:55.680]  主題變成了神與人的關係
[00:00:55.680 --> 00:00:58.000]  着重神與人的關係
[00:00:58.000 --> 00:01:00.160]  例如如何經歷神
[00:01:00.160 --> 00:01:04.440]  例如如何更加能夠認識神
[00:01:04.440 --> 00:01:08.160]  今天的拿紅書就是一個很好的例子
[00:01:08.160 --> 00:01:11.240]  從審判中 神的審判
[00:01:11.240 --> 00:01:19.000]  我們都能夠認識這一位世上唯一的真神
[00:01:19.000 --> 00:01:25.000]  拿紅書的作者就是拿紅仙芝
[00:01:25.000 --> 00:01:29.520]  在約翰福音七章五十二節
[00:01:29.520 --> 00:01:34.440]  有人知道耶穌基督出自加利利
[00:01:34.440 --> 00:01:36.160]  於是他們就說
[00:01:36.160 --> 00:01:39.880]  加利利好像沒有出名的仙芝
[00:01:39.880 --> 00:01:43.640]  這位耶穌基督也不妨好得去哪裏
[00:01:43.640 --> 00:01:46.200]  但其實這羣人是錯的
[00:01:46.200 --> 00:01:50.200]  因爲我們知道加利利起碼出了兩位仙芝
[00:01:50.200 --> 00:01:53.320]  第一位是若拿仙芝
