
[00:00:00.000 --> 00:00:02.000]  不知道大家每次回崇拜
[00:00:02.000 --> 00:00:05.000]  有沒有習慣去看今天的講題
[00:00:05.000 --> 00:00:07.000]  或者經文
[00:00:07.000 --> 00:00:08.000]  如果你看到我的題目
[00:00:08.000 --> 00:00:11.000]  可能你都會很詫異
[00:00:11.000 --> 00:00:13.000]  或者很驚訝等等
[00:00:13.000 --> 00:00:15.000]  我的同工
[00:00:15.000 --> 00:00:17.000]  知道我有這個題目
[00:00:17.000 --> 00:00:19.000]  他們真的不知為何很興奮
[00:00:19.000 --> 00:00:21.000]  在我前後左右不停
[00:00:21.000 --> 00:00:22.000]  一跟我說話
[00:00:22.000 --> 00:00:26.000]  第一句就唱一首歌
[00:00:26.000 --> 00:00:27.000]  我說不是啊
[00:00:27.000 --> 00:00:28.000]  胡應詩不是這首
[00:00:28.000 --> 00:00:29.000]  你搞清楚
[00:00:29.000 --> 00:00:30.000]  如果他在旁邊
[00:00:30.000 --> 00:00:31.000]  我的同工很頑皮
[00:00:31.000 --> 00:00:33.000]  如果他在旁邊唱另一首歌
[00:00:33.000 --> 00:00:35.000]  你拍一下他
[00:00:35.000 --> 00:00:39.000]  我預備《哥林多前書》的時候
[00:00:39.000 --> 00:00:42.000]  這一篇是很出名的篇章
[00:00:42.000 --> 00:00:44.000]  愛的篇章
[00:00:44.000 --> 00:00:46.000]  對你來說很熟
[00:00:46.000 --> 00:00:48.000]  令我想起什麼呢
[00:00:48.000 --> 00:00:51.000]  想起我在10月31日那篇導
[00:00:51.000 --> 00:00:53.000]  講過一個朋友
[00:00:53.000 --> 00:00:55.000]  是神學院的一個同學
[00:00:55.000 --> 00:00:56.000]  他因為患癌症
[00:00:56.000 --> 00:00:58.000]  後來因為行動不太方便
[00:00:58.000 --> 00:01:00.000]  所以教會的弟兄姊妹
[00:01:00.000 --> 00:01:02.000]  送了一部輪椅給他
[00:01:02.000 --> 00:01:06.000]  然後他就可以回教會敬拜
[00:01:06.000 --> 00:01:07.000]  我很深刻印象
[00:01:07.000 --> 00:01:09.000]  他在Facebook上寫什麼呢
[00:01:09.000 --> 00:01:13.000]  他說合一同愛原來很powerful
[00:01:13.000 --> 00:01:16.000]  我上次講到都看過
[00:01:16.000 --> 00:01:18.000]  這個就是他經歷什麼是愛
[00:01:18.000 --> 00:01:20.000]  什麼是合一
[00:01:20.000 --> 00:01:22.000]  哥林多教會面對的困難
[00:01:22.000 --> 00:01:24.000]  問題是什麼呢
[00:01:24.000 --> 00:01:25.000]  就是很多的紛爭
[00:01:25.000 --> 00:01:27.000]  彼此分黨分派
[00:01:27.000 --> 00:01:29.000]  說我是屬保羅的
[00:01:29.000 --> 00:01:31.000]  我是屬阿波羅的
[00:01:31.000 --> 00:01:33.000]  或者他們炫耀自己的恩賜
[00:01:33.000 --> 00:01:35.000]  覺得我有這個東西比別人強
