
[00:00:00.000 --> 00:00:02.360]  獵王記的第五講
[00:00:02.360 --> 00:00:04.520]  其實我應該講的是
[00:00:04.520 --> 00:00:07.600]  合一王朝系列的第五講
[00:00:07.600 --> 00:00:11.600]  因為我將獵王記分開有五個系列
[00:00:11.600 --> 00:00:15.720]  第一個系列就是合一王朝的系列
[00:00:15.720 --> 00:00:20.160]  第二個系列就是北國王朝的系列
[00:00:20.160 --> 00:00:23.520]  第三就是南國王朝的系列
[00:00:23.520 --> 00:00:26.680]  然後就是以利亞傳系列
[00:00:26.680 --> 00:00:29.640]  以及以利沙傳系列
[00:00:29.640 --> 00:00:31.520]  今天要跟大家講的
[00:00:31.520 --> 00:00:35.400]  就是獵王記上的第四章和第五章
[00:00:35.400 --> 00:00:37.960]  講到這裡又要講了
[00:00:37.960 --> 00:00:39.400]  我其實講這麼多的系列
[00:00:39.400 --> 00:00:42.040]  都是鼓勵大家來讀經
[00:00:42.040 --> 00:00:46.040]  如果你們每個星期聽我五篇的道
[00:00:46.040 --> 00:00:48.240]  以及讀相關的經文的話
[00:00:48.240 --> 00:00:51.560]  你應該兩年半就能讀完整部聖經
[00:00:51.560 --> 00:00:54.880]  而且應該對部聖經有很深入的認識
[00:00:54.880 --> 00:00:58.520]  因為我每一個系列的第一講
[00:00:58.520 --> 00:01:01.320]  都是講到一些的介紹
[00:01:01.320 --> 00:01:02.800]  有很多的資料
[00:01:02.800 --> 00:01:04.200]  有很多的背景
[00:01:04.200 --> 00:01:06.920]  幫助大家能夠明白這一部書
[00:01:06.920 --> 00:01:09.560]  如果你是這樣來讀經的話
[00:01:09.560 --> 00:01:12.680]  因為我是用字面來解釋聖經
[00:01:12.680 --> 00:01:14.600]  我是用聖經來解釋聖經
[00:01:14.600 --> 00:01:16.920]  你會發覺當你讀聖經的時候
[00:01:16.920 --> 00:01:18.800]  是非常之一致
[00:01:18.800 --> 00:01:21.360]  完全是沒有矛盾
[00:01:21.360 --> 00:01:26.440]  今天我給我這篇道的主題
[00:01:26.440 --> 00:01:29.400]  叫做繁榮中的伏筆
[00:01:29.400 --> 00:01:32.000]  國道中的危機
[00:01:32.000 --> 00:01:34.560]  我曾經跟大家講過
