
[00:00:00.000 --> 00:00:04.140]  讓我們先低頭有個祈禱
[00:00:04.140 --> 00:00:12.400]  所謂天父我們都去將這一刻的時間去交上
[00:00:12.400 --> 00:00:17.340]  求你用你的說話去幫助我們一班的弟兄姊妹
[00:00:17.340 --> 00:00:19.900]  在你到來的日子的時候
[00:00:19.900 --> 00:00:23.340]  願你去親自預備我們的心
[00:00:23.340 --> 00:00:26.980]  預備我們整個人在我們的信仰的道路上面
[00:00:26.980 --> 00:00:30.580]  一路一路這樣去等到你的日子回來
[00:00:30.580 --> 00:00:33.420]  讓我們能夠隨時準備
[00:00:33.420 --> 00:00:36.600]  願你繼續去幫助我們一班弟兄姊妹
[00:00:36.600 --> 00:00:37.920]  打開他們的心
[00:00:37.920 --> 00:00:39.460]  打開他們的耳朵
[00:00:39.460 --> 00:00:40.960]  打開他們的眼睛
[00:00:40.960 --> 00:00:42.320]  去聽你的說話
[00:00:42.320 --> 00:00:46.160]  又求主你去高沒孩子的口
[00:00:46.160 --> 00:00:50.640]  讓孩子能夠可以清晰的去講你的說話
[00:00:50.640 --> 00:00:54.240]  以上我禱告奉主耶穌基督的聖名祈求
[00:00:54.240 --> 00:00:54.960]  阿們
[00:00:56.980 --> 00:01:00.560]  還記得上星期講的信息
[00:01:00.560 --> 00:01:03.360]  關於十個童女的比喻
[00:01:03.360 --> 00:01:05.660]  當中裡面提及到
[00:01:05.660 --> 00:01:10.160]  面對耶穌隨時再來的日子
[00:01:10.160 --> 00:01:12.140]  我們準備好了嗎?
[00:01:12.140 --> 00:01:14.940]  同樣地
[00:01:14.940 --> 00:01:17.080]  我們今天所看的經文
[00:01:17.080 --> 00:01:20.680]  都提及到主的日子就好像賊一樣
[00:01:20.680 --> 00:01:23.880]  來到在這個時間裡面
[00:01:23.880 --> 00:01:27.420]  保羅要叫信徒警醒謹慎
[00:01:27.420 --> 00:01:32.520]  不過當保羅講完主的日子之後
[00:01:32.520 --> 00:01:34.820]  突然在第三節
[00:01:34.820 --> 00:01:38.960]  提到宣揚平安穩妥的人
[00:01:38.960 --> 00:01:41.160]  卻是要承受災難
[00:01:41.160 --> 00:01:47.600]  不是我們要向世人宣揚平安嗎?
[00:01:47.600 --> 00:01:51.140]  保羅的陳述
[00:01:51.140 --> 00:01:55.080]  好像跟我們一路所認知所受的教導
[00:01:55.080 --> 00:01:56.720]  好像有點出入
[00:01:56.720 --> 00:02:01.080]  主的日子
[00:02:01.080 --> 00:02:03.160]  平安穩妥
[00:02:03.160 --> 00:02:05.320]  警醒謹慎
[00:02:05.320 --> 00:02:09.020]  三者之間的關係是什麼呢?
[00:02:09.020 --> 00:02:12.700]  保羅在今天這一節的經文裡面
[00:02:12.700 --> 00:02:14.660]  想提醒我們些什麼?
[00:02:14.660 --> 00:02:18.540]  其實今天的經文
[00:02:18.540 --> 00:02:21.740]  是來自《三代經課》裡面的帖撒羅尼加前書
[00:02:21.740 --> 00:02:23.480]  五章一至七節
[00:02:23.480 --> 00:02:27.080]  不過如果有一個更清晰更完整的圖畫
[00:02:27.080 --> 00:02:30.620]  其實是要牽涉五章的八至十一節
[00:02:30.620 --> 00:02:32.640]  所以我邀請大家
[00:02:32.640 --> 00:02:35.080]  再一次去讀今天的經課
[00:02:35.080 --> 00:02:38.660]  以及五章八至十一節的經文
[00:02:38.660 --> 00:02:41.760]  但是大家都看到我所採用的版本
[00:02:41.760 --> 00:02:43.360]  是《呂振宗的譯本》
[00:02:43.360 --> 00:02:45.020]  所以我想邀請大家
[00:02:45.020 --> 00:02:47.100]  跟著Powerpoint上面的經文
[00:02:47.100 --> 00:02:49.760]  再一次去讀今天的經文
[00:02:49.760 --> 00:02:52.440]  五章一至十一節
[00:02:52.440 --> 00:02:54.240]  請各位預備
[00:02:54.240 --> 00:02:56.500]  一、二、三
[00:02:56.500 --> 00:02:58.040]  第五
[00:03:17.100 --> 00:03:19.100]  (英文)
[00:03:47.100 --> 00:03:49.100]  (英文)
[00:04:17.100 --> 00:04:19.100]  (英文)
[00:04:48.100 --> 00:04:50.100]  謝謝各位弟兄姊妹
[00:04:50.100 --> 00:04:51.600]  我們要去理解
[00:04:51.600 --> 00:04:53.940]  帖撒羅尼加前書這段的經文
[00:04:53.940 --> 00:04:56.240]  我們必須要從《使徒行傳》
[00:04:56.240 --> 00:04:58.940]  十七章一至九節
[00:04:58.940 --> 00:05:02.840]  以及一些關於羅馬帝國的歷史和政策
[00:05:02.840 --> 00:05:04.580]  我們才可以明白
[00:05:04.580 --> 00:05:06.420]  究竟帖繩的信徒
[00:05:06.420 --> 00:05:10.080]  他們當前所面對的困境是些什麼
[00:05:10.080 --> 00:05:13.880]  首先《使徒行傳》十七章一至九節
[00:05:13.880 --> 00:05:18.760]  記載關於保羅和西拉來到帖繩這個城市裡面
[00:05:18.760 --> 00:05:21.060]  去傳耶穌是為基督
[00:05:21.060 --> 00:05:24.840]  但是它是引來一幫猶太人的不滿
[00:05:24.840 --> 00:05:27.640]  他們要去抓保羅、西拉
[00:05:27.640 --> 00:05:28.640]  引人
[00:05:28.640 --> 00:05:31.540]  甚至他們跟我們有關的人物
[00:05:31.540 --> 00:05:35.340]  就是耶穌和幾個的弟兄
[00:05:35.340 --> 00:05:37.040]  去公審他們
[00:05:37.040 --> 00:05:40.040]  去控告他們搞亂天下
[00:05:40.040 --> 00:05:44.160]  破壞帖繩的安定繁榮
[00:05:44.160 --> 00:05:50.520]  甚至誣告他們正在顛覆羅馬帝國的政權
[00:05:50.520 --> 00:05:56.560]  宣稱耶穌是海撒以外的另一個王
[00:05:56.560 --> 00:06:00.700]  之所以猶太人這麼大反應
[00:06:00.700 --> 00:06:02.840]  其實不多不少都牽涉到
[00:06:02.840 --> 00:06:08.140]  羅馬帝國的一些背景以及政策
[00:06:08.140 --> 00:06:10.780]  稱耶穌為主為王
[00:06:10.780 --> 00:06:13.040]  其實觸犯著羅馬帝國裡面
[00:06:13.040 --> 00:06:15.720]  關於君王崇拜的問題
[00:06:15.720 --> 00:06:17.920]  因為羅馬的君王海撒
[00:06:17.920 --> 00:06:21.060]  他自稱自己是救主
[00:06:21.060 --> 00:06:26.860]  他是為羅馬帶來福音的主
