
[00:00:00.000 --> 00:00:02.280]  以上是「約翰福音」上主的說話
[00:00:02.280 --> 00:00:03.480]  我們一起祈禱,好嗎?
[00:00:03.480 --> 00:00:06.320]  天父,願我口中的說話
[00:00:06.320 --> 00:00:09.040]  願我們眾人的心思、意念都蒙你越南
[00:00:09.040 --> 00:00:11.040]  求你的靈轉化我們的生命
[00:00:11.040 --> 00:00:12.480]  轉化這個世代
[00:00:12.480 --> 00:00:13.680]  我們渴求你
[00:00:13.680 --> 00:00:16.040]  我們祈禱去奉耶穌的名求
[00:00:16.040 --> 00:00:17.800]  阿們
[00:00:17.800 --> 00:00:21.040]  好,這個星期和下個星期
[00:00:21.040 --> 00:00:23.360]  我們都會一起探討一個
[00:00:23.360 --> 00:00:24.720]  大家都很熟悉的比喻
[00:00:24.720 --> 00:00:27.000]  叫做「我是好牧人」
[00:00:27.000 --> 00:00:30.400]  我想這個比喻大家都很熟悉
[00:00:30.400 --> 00:00:34.240]  今晚我們會說這個比喻的前傳
[00:00:34.240 --> 00:00:37.160]  也就是耶穌說這個比喻的背景
[00:00:37.160 --> 00:00:40.640]  比喻本身我們會留待下個星期
[00:00:40.640 --> 00:00:43.120]  想起這個比喻
[00:00:43.120 --> 00:00:45.880]  我想大家通常都想到很溫馨的場面
[00:00:45.880 --> 00:00:47.960]  例如我上網找了幾幅圖
[00:00:47.960 --> 00:00:49.400]  就是找了這幾幅
[00:00:49.400 --> 00:00:50.640]  想問問你
[00:00:50.640 --> 00:00:53.720]  這幾幅圖有什麼相似的地方
[00:00:53.720 --> 00:00:55.320]  有什麼相通的地方
[00:00:57.520 --> 00:00:58.600]  有羊
[00:00:58.600 --> 00:00:59.560]  OK
[00:00:59.560 --> 00:01:01.320]  因為我是好牧人
[00:01:01.320 --> 00:01:03.160]  還有呢
[00:01:03.160 --> 00:01:04.480]  什麼?
[00:01:04.480 --> 00:01:06.480]  有草
[00:01:06.480 --> 00:01:08.160]  是的,是的,OK
[00:01:08.160 --> 00:01:10.120]  還有呢
[00:01:10.120 --> 00:01:13.080]  耶穌有蘇
[00:01:13.080 --> 00:01:14.800]  是,OK
[00:01:14.800 --> 00:01:15.680]  繼續,繼續,繼續
[00:01:15.680 --> 00:01:20.240]  還有什麼相通的地方
[00:01:20.240 --> 00:01:22.760]  羊很肥
[00:01:22.760 --> 00:01:24.080]  是,好
[00:01:24.080 --> 00:01:26.040]  大家努力看看,好嗎
[00:01:26.040 --> 00:01:29.680]  有些很重要的重點在這裡
[00:01:29.680 --> 00:01:31.440]  抱著一隻羊是誰說的
[00:01:31.440 --> 00:01:33.960]  給掌聲,果然是神學生
[00:01:33.960 --> 00:01:35.680]  是,OK,給掌聲
[00:01:35.680 --> 00:01:36.680]  你有沒有留意到
[00:01:36.680 --> 00:01:37.800]  上網搜尋的照片
[00:01:37.800 --> 00:01:38.640]  我是好牧人
[00:01:38.640 --> 00:01:41.840]  通常耶穌都是抱著一隻羊
[00:01:41.840 --> 00:01:42.880]  但我想說
[00:01:42.880 --> 00:01:46.520]  這件事是非常誤導性的
[00:01:46.520 --> 00:01:48.240]  為什麼誤導性呢
[00:01:48.240 --> 00:01:52.840]  你知不知道一隻羊有多重
[00:01:52.840 --> 00:01:55.360]  當時以色列養的羊
[00:01:55.360 --> 00:01:56.640]  根據資料說
[00:01:56.640 --> 00:01:59.920]  四十五到一百六十公斤
[00:01:59.920 --> 00:02:01.000]  即是多少呢
[00:02:01.000 --> 00:02:02.880]  即是一百到三百五十磅
[00:02:02.880 --> 00:02:03.520]  你想想
[00:02:03.520 --> 00:02:06.200]  你可不可以常常抱著一個三百磅的東西
[00:02:06.200 --> 00:02:07.040]  走來走去
[00:02:07.040 --> 00:02:07.960]  還要上山下山
[00:02:07.960 --> 00:02:08.760]  還有
[00:02:08.760 --> 00:02:09.560]  你看看照片
[00:02:09.560 --> 00:02:10.600]  不用播放了
[00:02:10.600 --> 00:02:13.000]  照片是全部單手抱著的
[00:02:13.000 --> 00:02:15.080]  另外一隻手拿著一瓶醬
[00:02:15.080 --> 00:02:16.320]  你行不行呢
[00:02:16.320 --> 00:02:19.080]  我想做很多健身的弟兄
[00:02:19.080 --> 00:02:20.520]  都未必做到這件事
[00:02:20.520 --> 00:02:23.360]  如果你做你就告訴我
[00:02:23.360 --> 00:02:25.440]  但更加重要是什麼呢
[00:02:25.440 --> 00:02:26.920]  更加重要
[00:02:26.920 --> 00:02:29.240]  這些想好誤導的原因
[00:02:29.240 --> 00:02:31.480]  因為耶穌說這個比喻
[00:02:31.480 --> 00:02:34.480]  絕對不是為了運慶
[00:02:34.480 --> 00:02:35.640]  耶穌說這個比喻
[00:02:35.640 --> 00:02:38.720]  是因為當時的人議論紛紛
[00:02:38.720 --> 00:02:40.480]  在問這個問題
[00:02:40.480 --> 00:02:42.320]  耶穌的出現
[00:02:42.320 --> 00:02:46.000]  為猶太人帶來了一個危機
[00:02:46.000 --> 00:02:47.880]  是什麼危機呢
[00:02:47.880 --> 00:02:49.040]  就是他們正在問
[00:02:49.040 --> 00:02:54.800]  究竟這個耶穌是誰
[00:02:54.800 --> 00:02:57.400]  在說我是好慕人之前
[00:02:57.400 --> 00:02:58.400]  《約翰福音》提到
[00:02:58.400 --> 00:02:59.280]  耶穌在安息日
[00:02:59.280 --> 00:03:02.200]  自豪是一個天生盲眼的人
[00:03:02.200 --> 00:03:03.560]  自豪、盲眼的人
[00:03:03.560 --> 00:03:05.440]  和我是好慕人這個比喻
[00:03:05.440 --> 00:03:06.560]  是連著的
[00:03:06.560 --> 00:03:08.240]  是連著的
