
[00:00:00.000 --> 00:00:03.580]  好感恩今日能夠有機會跟大家一齊敬拜神
[00:00:03.580 --> 00:00:07.940]  剛才唱首詩「晚禱」其實很多感觸
[00:00:07.940 --> 00:00:09.980]  我中學就開始唱
[00:00:09.980 --> 00:00:12.040]  在靈修默想裏面
[00:00:12.040 --> 00:00:13.060]  第一節
[00:00:13.060 --> 00:00:16.640]  若我今日傷害他人心靈
[00:00:16.640 --> 00:00:19.200]  若我今日走回世俗路程
[00:00:19.200 --> 00:00:20.480]  唱了幾十年
[00:00:20.480 --> 00:00:22.280]  但都覺得很新鮮
[00:00:22.280 --> 00:00:23.040]  因為
[00:00:23.040 --> 00:00:25.340]  經常都有這個過犯
[00:00:25.340 --> 00:00:28.420]  要在神面前認罪悔改
[00:00:28.920 --> 00:00:33.280]  第二節第一句「若我今日言語不合體統」
[00:00:33.280 --> 00:00:36.340]  這句就帶到我們今日所講的
[00:00:36.340 --> 00:00:40.440]  《雅各書》第三章言語的問題
[00:00:40.440 --> 00:00:44.540]  大家都記得我們過去兩個月都講到《雅各書》或者同大家
[00:00:44.540 --> 00:00:45.820]  重溫一下
[00:00:45.820 --> 00:00:53.760]  如果你記得《雅各書》
[00:00:53.760 --> 00:00:58.620]  第一講是我們堂會堂主任江惠明牧師所講
[00:00:58.880 --> 00:01:01.440]  笑對人生的考驗
[00:01:01.440 --> 00:01:04.500]  江牧師提醒我們
[00:01:04.500 --> 00:01:07.840]  我們要透過上帝的
[00:01:07.840 --> 00:01:11.420]  給我們的智慧和上帝的話
[00:01:11.420 --> 00:01:15.000]  來面對我們人生的試煉
[00:01:15.000 --> 00:01:16.540]  這些試煉
[00:01:16.540 --> 00:01:19.860]  鍛鍊我們的信心幫助我們成長
[00:01:19.860 --> 00:01:26.520]  第二講第一章我們就講到從聽道到行道
[00:01:26.780 --> 00:01:29.860]  聖經教導我們不要只聽要做出來
[00:01:29.860 --> 00:01:31.900]  否則就失去很多福氣
[00:01:31.900 --> 00:01:34.980]  我們都提供全恩堂弟兄姊妹
[00:01:34.980 --> 00:01:37.800]  有幾樣東西可以做的事
[00:01:37.800 --> 00:01:43.420]  如果你忘記了或者你不在你可以回到網上聽
[00:01:43.420 --> 00:01:48.040]  第二章我們就講到真信心和假信心
[00:01:48.040 --> 00:01:51.360]  我們講到信心和行為的關係
[00:01:51.620 --> 00:01:57.500]  如何透過我們的禱告和生活中的鍛鍊來加強我們的信心
[00:01:57.500 --> 00:02:02.360]  我發現自己很多時候真的不夠信心要求主加信心
[00:02:02.360 --> 00:02:04.680]  或者你也有同感
[00:02:04.680 --> 00:02:07.240]  今天來到第三章
[00:02:07.240 --> 00:02:11.580]  我們就看到聖經如何教導我們講話
[00:02:11.580 --> 00:02:16.960]  有些人講話經常都造就別人
[00:02:16.960 --> 00:02:19.520]  令人覺得很舒服
[00:02:20.040 --> 00:02:23.360]  但有些人就出口傷人對自己又沒有益處
[00:02:23.360 --> 00:02:26.940]  所以今天這個題目是非常之重要
[00:02:26.940 --> 00:02:31.040]  雅各書其實是一本很實際的書
[00:02:31.040 --> 00:02:33.600]  教導我們如何落地
[00:02:33.600 --> 00:02:42.820]  來遵行神話過一個得勝的開心的有效果的生活
[00:02:42.820 --> 00:02:46.400]  今天我們就講到言語行為
[00:02:46.660 --> 00:02:52.040]  剛才讀了一段經文,雅各書第三章一到十二節很嚴厲
[00:02:52.040 --> 00:02:56.380]  我們每人每日講了多少話
[00:02:56.380 --> 00:02:58.700]  有多少是好還是不好
[00:02:58.700 --> 00:03:00.480]  有人做過統計
[00:03:00.480 --> 00:03:04.840]  如果你寫字每分鐘大約寫三十個字
[00:03:04.840 --> 00:03:07.900]  如果你在電腦打字
[00:03:07.900 --> 00:03:11.240]  每分鐘五十個字有些人會快些
[00:03:11.240 --> 00:03:15.080]  如果你講話就一百五十個字每分鐘
[00:03:15.580 --> 00:03:19.940]  你整天裏面有個統計我不知道怎樣統計出來的
[00:03:19.940 --> 00:03:24.800]  就是每一個人大約講話平均是一萬六千個字
[00:03:24.800 --> 00:03:28.380]  女性就比男性的效率高一些
[00:03:28.380 --> 00:03:33.240]  一萬六千個字有多少是造就人
[00:03:33.240 --> 00:03:34.520]  多少是傷害人
[00:03:34.520 --> 00:03:36.320]  多少是對多少是不對
[00:03:36.320 --> 00:03:38.360]  這個我們要想一下
[00:03:38.360 --> 00:03:41.180]  因為聖經說將來審判日子
[00:03:41.180 --> 00:03:42.720]  每一句都供出來
[00:03:42.980 --> 00:03:47.080]  如果我有八十年命一年三百六十五日
[00:03:47.080 --> 00:03:48.860]  每日一萬六千個字
[00:03:48.860 --> 00:03:51.180]  將來審判不是很長
[00:03:51.180 --> 00:03:53.220]  有很多都不行
[00:03:53.220 --> 00:03:55.020]  所以我們今天就要想
[00:03:55.020 --> 00:04:00.140]  但人類歷史上其實很多偉人他們講的東西不長
[00:04:00.140 --> 00:04:01.420]  但是很勁的
[00:04:01.420 --> 00:04:03.720]  是流芳百世的
[00:04:03.720 --> 00:04:05.500]  我們要學他們的榜樣
[00:04:05.500 --> 00:04:07.560]  譬如有一位就是邱吉爾
[00:04:07.560 --> 00:04:10.120]  邱吉爾在1940年
[00:04:10.120 --> 00:04:12.420]  擔任首相
[00:04:12.680 --> 00:04:13.700]  跟著就打仗
[00:04:13.700 --> 00:04:15.500]  跟德國打仗
[00:04:15.500 --> 00:04:17.540]  第二次世界大戰
[00:04:17.540 --> 00:04:21.900]  他就發表演說在下議院和對著人民
[00:04:21.900 --> 00:04:25.220]  他鼓勵人民有心理準備
[00:04:25.220 --> 00:04:26.760]  他告訴他們
[00:04:26.760 --> 00:04:28.560]  我能夠提供你們的
[00:04:28.560 --> 00:04:29.840]  別無其他
[00:04:29.840 --> 00:04:31.120]  只有熱血
