
[00:00:00.000 --> 00:00:05.120]  好 今天很開心有機會來到這裡跟大家分享
[00:00:05.120 --> 00:00:10.320]  今天是一個宣教的分享會
[00:00:10.320 --> 00:00:14.360]  我們的題目叫做「818猜情尋」
[00:00:14.360 --> 00:00:19.720]  我今天的工作就是講一個宣教培靈的短講
[00:00:19.720 --> 00:00:23.760]  我選了一個大家都非常熟悉
[00:00:23.760 --> 00:00:26.160]  也都是非常重要
[00:00:26.160 --> 00:00:30.640]  我覺得對我自己來說都是非常有挑戰性的一段經文
[00:00:30.640 --> 00:00:33.360]  就是《路加福音》第十章
[00:00:33.360 --> 00:00:36.680]  因為時間關係我只是想講兩節
[00:00:36.680 --> 00:00:38.200]  就是頭一兩節
[00:00:38.200 --> 00:00:40.160]  那個題目就是
[00:00:40.160 --> 00:00:46.640]  主差七十收他莊家
[00:00:46.640 --> 00:00:49.360]  顧名思義他給我一個題目
[00:00:49.360 --> 00:00:51.600]  叫我講短講的
[00:00:51.600 --> 00:00:53.600]  我明白那個意思
[00:00:53.600 --> 00:00:57.720]  我就是頭盤來的
[00:00:57.720 --> 00:00:59.160]  前菜來的
[00:00:59.160 --> 00:01:00.480]  appetizer來的
[00:01:00.480 --> 00:01:02.400]  我們的主角就不是我
[00:01:02.400 --> 00:01:04.400]  我很明白這件事
[00:01:04.400 --> 00:01:08.800]  我們的主角就是我們的三個「俏嬌娃」
[00:01:08.800 --> 00:01:10.000]  我經常都想
[00:01:10.000 --> 00:01:13.280]  我們今天都很多人來
[00:01:13.280 --> 00:01:14.320]  但是我經常都想
[00:01:14.320 --> 00:01:17.040]  如果我們的題目不是叫「818猜情尋」
[00:01:17.040 --> 00:01:21.320]  就叫做「公理嬌娃粉絲簽名會」
[00:01:21.320 --> 00:01:23.840]  會不會多一些人可能要搬去二樓
[00:01:23.840 --> 00:01:28.040]  因為我們真的有三個「嬌娃」在這裡
[00:01:28.040 --> 00:01:31.680]  我不知道大家有沒有看過這套東西
[00:01:31.680 --> 00:01:35.280]  其實2019年有一個新的一套是正在來的
[00:01:35.280 --> 00:01:37.080]  不過現在還沒有到
[00:01:37.080 --> 00:01:38.960]  11月才出來的
[00:01:38.960 --> 00:01:42.040]  英文是Charlie's Angels
[00:01:42.040 --> 00:01:46.040]  所以我們知道誰是那三個「跳嬌娃」
[00:01:46.040 --> 00:01:48.120]  就是我們分享的孫教士
[00:01:48.120 --> 00:01:49.320]  但是在我的故事裡面
[00:01:49.320 --> 00:01:50.880]  就是我的短講裡面
[00:01:50.880 --> 00:01:52.840]  Charlie也會出來的
