
[00:00:00.000 --> 00:00:02.620]  我們今天繼續《選擇》的系列
[00:00:02.620 --> 00:00:04.740]  我不知道大家有沒有八卦
[00:00:04.740 --> 00:00:07.840]  看看《選擇》是怎樣,好嗎?
[00:00:07.840 --> 00:00:10.220]  沒有興趣,是嗎?
[00:00:10.220 --> 00:00:12.660]  沒有興趣,你喜歡看舊的那一套
[00:00:12.660 --> 00:00:14.160]  舊的那一套《耶穌傳》很悶的
[00:00:14.160 --> 00:00:16.280]  悶到癡肺
[00:00:16.280 --> 00:00:18.400]  這套好很多,OK?
[00:00:18.400 --> 00:00:20.880]  所以我鼓勵大家,真的
[00:00:20.880 --> 00:00:25.540]  如果你想重溫一下《耶穌》的故事
[00:00:25.540 --> 00:00:27.700]  其實看一看它的場景
[00:00:27.700 --> 00:00:31.340]  看一看它的故事的鋪排
[00:00:31.340 --> 00:00:33.760]  都可以給你一種具體一點
[00:00:33.760 --> 00:00:36.100]  去到知道耶穌當時是怎樣
[00:00:36.100 --> 00:00:37.340]  那個生平是怎樣
[00:00:37.340 --> 00:00:41.480]  特別是我們壽虎節和復活節即將到來
[00:00:41.480 --> 00:00:43.680]  這個時候還有幾個星期
[00:00:43.680 --> 00:00:47.780]  我們儘管去到重溫一下
[00:00:47.780 --> 00:00:50.240]  《福音書》裡面一些的事跡
[00:00:50.240 --> 00:00:55.560]  《選擇》已經拍攝到去到第四季,是嗎?
[00:00:55.560 --> 00:00:58.640]  四個季節,很厲害
[00:00:58.640 --> 00:01:02.480]  用耶穌做橋,可以拍到四個季節,是嗎?
[00:01:02.480 --> 00:01:04.160]  已經不錯了,是嗎?
[00:01:04.160 --> 00:01:06.260]  希望大家可以去看看
[00:01:06.260 --> 00:01:10.040]  當然裡面一些故事的內容是作者
[00:01:10.040 --> 00:01:13.220]  或者是製片商自己加上去
[00:01:13.220 --> 00:01:16.360]  我們需要去到設想一下
[00:01:16.360 --> 00:01:18.820]  判斷一下到底有些什麼是在《聖經》裡面的
