
[00:00:00.000 --> 00:00:05.000]  今日的講題叫做「無可阻擋的神國」,
[00:00:05.000 --> 00:00:08.500]  還是「神國無可阻擋」?
[00:00:08.500 --> 00:00:11.500]  「神國的無可阻擋」,
[00:00:11.500 --> 00:00:15.500]  像不像漫畫的講題?
[00:00:15.500 --> 00:00:19.500]  現在漫畫都講神國,講神格,
[00:00:19.500 --> 00:00:22.000]  但是講《聖經》。
[00:00:22.000 --> 00:00:26.500]  最近你看新聞,見到很多爛文的事,
[00:00:26.500 --> 00:00:29.500]  我想考考大家,你留不留意國際新聞,
[00:00:29.500 --> 00:00:32.000]  現在全世界有哪些地方,
[00:00:32.000 --> 00:00:34.000]  是很緊張的局勢?
[00:00:34.000 --> 00:00:38.500]  即是會打仗,或者有機會打仗,
[00:00:38.500 --> 00:00:42.000]  或者說會打仗,
[00:00:42.000 --> 00:00:44.000]  或者有打仗的風聲呢?
[00:00:44.000 --> 00:00:46.000]  在哪些地方?
[00:00:46.000 --> 00:00:47.500]  在打仗的地方有哪些?
[00:00:47.500 --> 00:00:49.500]  敘利亞,
[00:00:49.500 --> 00:00:51.500]  阿富汗,
[00:00:51.500 --> 00:00:52.500]  伊拉克,
[00:00:52.500 --> 00:00:54.000]  土耳其,
[00:00:54.000 --> 00:00:55.500]  庫爾德那邊呢?
[00:00:55.500 --> 00:00:57.500]  還有呢?
[00:00:57.500 --> 00:00:59.500]  還有嗎?
[00:00:59.500 --> 00:01:02.500]  非洲都有些地方很零星,
[00:01:02.500 --> 00:01:05.000]  打下停,打下停,
[00:01:05.000 --> 00:01:07.000]  中東就一路,
[00:01:07.000 --> 00:01:09.500]  剛才講過有打,
[00:01:09.500 --> 00:01:11.500]  其實在南亞呢,
[00:01:11.500 --> 00:01:15.000]  即是南亞都有很多戰爭在打,
[00:01:15.000 --> 00:01:16.500]  那麼戰,
[00:01:16.500 --> 00:01:19.500]  有緊張局勢,你有哪裏?
[00:01:19.500 --> 00:01:23.000]  北韓,北韓這段時間做甚麼?
[00:01:23.000 --> 00:01:25.500]  即是在日本和南韓,
[00:01:25.500 --> 00:01:27.500]  在天安門那裏飛幾支導彈,
[00:01:27.500 --> 00:01:29.500]  飛呀飛呀,
[00:01:29.500 --> 00:01:33.500]  就抗議聯合國制裁它,
[00:01:33.500 --> 00:01:37.500]  那為甚麼要制裁北韓呢?知不知道?
[00:01:37.500 --> 00:01:40.500]  因為它製造甚麼?
[00:01:40.500 --> 00:01:44.500]  它不止製造,它還試爆氫彈,
[00:01:44.500 --> 00:01:46.500]  它就說射人類衛星,
[00:01:46.500 --> 00:01:51.500]  人家又說它是試長程導彈,
[00:01:51.500 --> 00:01:55.500]  北韓,南北韓,日本,
[00:01:55.500 --> 00:01:57.500]  還有呢?
[00:01:57.500 --> 00:01:59.500]  還有一個和我們中國很有關係,
[00:01:59.500 --> 00:02:01.500]  南海,
[00:02:01.500 --> 00:02:04.500]  令我想起神鵰俠侶的南海神尼,
[00:02:04.500 --> 00:02:07.500]  我經常想如果南海神尼一出手,
[00:02:07.500 --> 00:02:09.500]  所有飛彈都收起來,
[00:02:09.500 --> 00:02:14.500]  南海最近美國都很誇張,
[00:02:14.500 --> 00:02:16.500]  它說要聯合澳洲,印度和日本,
[00:02:16.500 --> 00:02:20.500]  要維持南海的航道,
[00:02:20.500 --> 00:02:23.500]  又唱順了,
[00:02:23.500 --> 00:02:25.500]  說到尾,
[00:02:25.500 --> 00:02:27.500]  總之在南海,
[00:02:27.500 --> 00:02:30.500]  包括菲律賓,越南,馬來西亞,
[00:02:30.500 --> 00:02:36.500]  很多地方都有緊張的,
[00:02:36.500 --> 00:02:40.500]  無論是地緣政治,
[00:02:40.500 --> 00:02:44.500]  國家地權的爭持,
[00:02:44.500 --> 00:02:48.500]  很多這些聲音在喊,
[00:02:48.500 --> 00:02:50.500]  大家知道一帶一路,
[00:02:50.500 --> 00:02:52.500]  為何中國這麼緊張要發展,
[00:02:52.500 --> 00:02:56.500]  由西邊穿過喜馬拉雅山,
[00:02:56.500 --> 00:02:58.500]  以前絲綢之路,
[00:02:58.500 --> 00:03:01.500]  向西亞或南亞那邊發展,
[00:03:01.500 --> 00:03:05.500]  知不知道主要原因是甚麼?
[00:03:05.500 --> 00:03:07.500]  是因為能源的問題,
[00:03:07.500 --> 00:03:10.500]  能源,知不知道甚麼是能源?
[00:03:10.500 --> 00:03:12.500]  即是你充電,
[00:03:12.500 --> 00:03:14.500]  沒電就充電,
[00:03:14.500 --> 00:03:18.500]  由充電想起,全世界都在講能源的問題,
[00:03:18.500 --> 00:03:20.500]  你知道馬六甲海峽,
[00:03:20.500 --> 00:03:24.500]  特別是我們亞洲的中國,
[00:03:24.500 --> 00:03:26.500]  或者很多亞洲地區,
[00:03:26.500 --> 00:03:29.500]  那些運油船必經之路,
