
[00:00:00.000 --> 00:00:02.720]  這段經文來自哥倫多前書
[00:00:02.720 --> 00:00:05.280]  是保羅寫給哥倫多教會的書信
[00:00:05.280 --> 00:00:07.480]  去解釋主餐的意義
[00:00:07.480 --> 00:00:09.480]  第23節說
[00:00:09.480 --> 00:00:13.040]  「我當日傳給你們的,是從主所領受的」
[00:00:13.040 --> 00:00:13.960]  為什麼?
[00:00:13.960 --> 00:00:17.280]  我們都好像發覺大部分的崇拜或教會
[00:00:17.280 --> 00:00:19.200]  主餐時都會中這段經文
[00:00:19.200 --> 00:00:21.640]  我有時會想為什麼不選馬太福音
[00:00:21.640 --> 00:00:22.720]  馬可方路加福音
[00:00:22.720 --> 00:00:26.120]  那時候耶穌簡直是現場情景
[00:00:26.120 --> 00:00:31.720]  原來哥倫多前書是寫在主後55年
[00:00:31.720 --> 00:00:34.960]  馬太馬可路加是寫在主後60年之後
[00:00:34.960 --> 00:00:39.200]  如果關於耶穌基督主餐的教導
[00:00:39.200 --> 00:00:43.840]  最早的文獻就是寫在哥倫多前書
[00:00:43.840 --> 00:00:46.000]  由保羅所寫的主後55年
[00:00:46.000 --> 00:00:47.400]  因為根據保羅的行蹤
[00:00:47.400 --> 00:00:49.000]  我們很容易準確計算到
[00:00:49.000 --> 00:00:52.080]  保羅寫哥倫多前書的時間
[00:00:52.080 --> 00:00:54.720]  而反而馬太馬可路加是後一點
[00:00:54.720 --> 00:00:58.040]  所以選擇了這個最早曾經有記載
[00:00:58.040 --> 00:01:00.120]  關於主餐的教導
[00:01:00.120 --> 00:01:03.600]  而保羅更加說「是我從主所領受的」
[00:01:03.600 --> 00:01:06.320]  這句不容易明白
[00:01:06.320 --> 00:01:10.440]  是不是耶穌基督親自向保羅所教導呢?
[00:01:10.440 --> 00:01:11.360]  我們不肯定
[00:01:11.360 --> 00:01:14.360]  因為照道理耶穌應該升天
[00:01:14.360 --> 00:01:16.720]  之後保羅才信主
[00:01:16.720 --> 00:01:20.400]  那他怎樣有機會見到肉身的耶穌呢?
[00:01:20.400 --> 00:01:22.200]  但如果你熟讀《攝律行傳》
[00:01:22.200 --> 00:01:23.800]  保羅信主的經過你就知道
