
[00:00:00.000 --> 00:00:03.500]  中國人有句話:真金不怕紅爐火
[00:00:03.500 --> 00:00:07.500]  中國有句古話說:真金不怕紅爐火
[00:00:07.500 --> 00:00:10.840]  金是不怕火的
[00:00:10.840 --> 00:00:12.500]  金子是不怕火的
[00:00:12.500 --> 00:00:20.300]  所以聖經很多時候都是用火來講述信徒被煉淨的生命
[00:00:20.300 --> 00:00:23.600]  所以聖經有很多地方是用火來表示
[00:00:23.600 --> 00:00:26.500]  對信徒的煉淨、信徒的生命
[00:00:26.500 --> 00:00:28.300]  剛才我們所讀的第三章
[00:00:28.300 --> 00:00:29.800]  剛才我們所讀的第三章
[00:00:29.800 --> 00:00:32.600]  整個故事就是講述被火來試驗
[00:00:32.600 --> 00:00:34.800]  整個故事就是講述被火來試煉
[00:00:34.800 --> 00:00:37.500]  不過這個故事不是講述一個比喻
[00:00:37.500 --> 00:00:39.300]  不過這個故事並不是一個比喻
[00:00:39.300 --> 00:00:41.100]  而是講述的是真是火
[00:00:41.100 --> 00:00:42.300]  講述的是真的火
[00:00:42.300 --> 00:00:44.700]  講述的不是一個簡單的信心試驗
[00:00:44.700 --> 00:00:46.900]  也不是一個簡單的信心的試驗
[00:00:46.900 --> 00:00:50.200]  而是一個生與死的終極試驗
[00:00:50.200 --> 00:00:53.000]  而是一個生與死的終極體驗
[00:00:53.000 --> 00:00:54.500]  故事一開始的時候
[00:00:54.500 --> 00:00:56.000]  在故事開始的時候
[00:00:56.000 --> 00:00:59.800]  尼布賈尼撒王就做了一個很大的金像
[00:00:59.800 --> 00:01:06.200]  根據聖經的形容
[00:01:06.200 --> 00:01:11.500]  這個像的高度大概等於今天十層樓那麼高
[00:01:11.500 --> 00:01:14.000]  這個金像的高度差不多有十層樓那麼高
[00:01:14.000 --> 00:01:15.900]  你說為什麼要做這麼大的像呢
[00:01:15.900 --> 00:01:17.800]  為什麼要做這麼高呢
[00:01:17.800 --> 00:01:19.500]  很明顯就是要做一個這麼大的像
[00:01:19.500 --> 00:01:21.900]  讓很大距離很多人都看得到
[00:01:21.900 --> 00:01:23.600]  因為在做這麼高
[00:01:23.600 --> 00:01:27.200]  即使有很大的距離很多人也可以看到
[00:01:27.200 --> 00:01:29.200]  等音樂響起的時候
[00:01:29.200 --> 00:01:33.500]  徐哥就要敬拜這個金像
[00:01:33.500 --> 00:01:35.200]  因為當音樂響的時候
[00:01:35.200 --> 00:01:38.400]  大家都要隨著這個音樂開始敬拜這個偶像
[00:01:38.400 --> 00:01:43.300]  大家要記住當時的巴比倫國是一個很多偶像的國家
[00:01:43.300 --> 00:01:47.500]  大家要知道當時的巴比倫國是一個很多偶像的國家
[00:01:47.500 --> 00:01:49.500]  所以做一個這樣的金像是相當合理的
[00:01:49.500 --> 00:01:52.400]  所以做這樣一個金像是相當的合理
[00:01:52.400 --> 00:01:57.400]  我估計大概當時的巴比倫百姓看到這個金像的時候
[00:01:57.400 --> 00:01:58.900]  都引以為豪
[00:01:58.900 --> 00:02:03.300]  我估計當時的巴比倫百姓看到這個金像都是引以為豪
[00:02:03.300 --> 00:02:08.200]  因為其他國家都沒有一個這麼高這麼大這麼金的一個像
[00:02:08.200 --> 00:02:14.300]  因為其他的國家都沒有這麼大這麼高這麼金的一個雕像
[00:02:14.300 --> 00:02:18.000]  但是對於敬拜真神的猶太人來說
[00:02:18.000 --> 00:02:21.000]  但是對敬拜真神的猶太人來講
[00:02:21.000 --> 00:02:24.500]  無論他多大都只不過是一個偶像
[00:02:24.500 --> 00:02:26.800]  無論他多大都只是一個偶像
[00:02:26.800 --> 00:02:30.700]  無論用什麼做這個像都是沒有生命沒有氣息
[00:02:30.700 --> 00:02:34.000]  無論他用什麼做都是沒有生命沒有氣息的
[00:02:34.000 --> 00:02:38.200]  而當中就有三個虔誠年輕的猶太人
[00:02:38.200 --> 00:02:41.900]  那麼我們這裡就有三個敬虔年輕的猶太人
[00:02:41.900 --> 00:02:44.700]  雖然他們是秘魯的俘虜
[00:02:44.700 --> 00:02:46.800]  雖然他們是俘虜
[00:02:46.800 --> 00:02:50.600]  但是王就派他們來管理很多巴比倫的事務
[00:02:50.600 --> 00:02:54.100]  但是王就派他們來管理很多巴比倫的事務
[00:02:54.100 --> 00:02:58.800]  所以大家可以想像如果你是巴比倫的官的時候
[00:02:58.800 --> 00:03:01.800]  但是大家想像如果你是巴比倫的官的時候
[00:03:01.800 --> 00:03:05.400]  竟然是被這三個我們叫做年輕人來管著
[00:03:05.400 --> 00:03:10.300]  竟然被這三個所謂的帥哥來管理
[00:03:10.300 --> 00:03:12.300]  我猜都是帥哥的
[00:03:12.300 --> 00:03:15.000]  這樣子的帥哥
[00:03:15.000 --> 00:03:18.900]  那麼大家可以想像他們一定是心不甘情不願
[00:03:18.900 --> 00:03:21.500]  那麼大家可以想像他們一定是心不甘情不願
[00:03:21.500 --> 00:03:27.800]  所以我估計他們大概都是經常找機會來剷除這三個年輕人
[00:03:27.800 --> 00:03:32.400]  所以他們肯定會主動找一些機會來剷除這三個人
[00:03:32.400 --> 00:03:33.800]  現在機會來了
[00:03:33.800 --> 00:03:35.300]  那麼現在機會就來了
[00:03:35.300 --> 00:03:42.300]  因為王講明了如果不拜金像的人就要被丟到烈火的窯中
[00:03:42.300 --> 00:03:47.100]  因為王說不拜金像的人就要被丟到烈火中
[00:03:47.100 --> 00:03:52.300]  而這三個猶太人真的不理王的命令
[00:03:52.300 --> 00:03:56.500]  也都不敬拜金像
[00:03:56.500 --> 00:04:05.200]  當然就會有一些巴比倫的人來告狀
[00:04:05.200 --> 00:04:09.400]  那麼皇帝聽到這個消息之後
[00:04:09.400 --> 00:04:12.500]  他就問這三個少年人
[00:04:12.500 --> 00:04:16.400]  他說你們是故意不拜金像還是一時疏忽
[00:04:16.400 --> 00:04:20.300]  他就問你們是故意不拜金像還是一時疏忽
[00:04:20.300 --> 00:04:23.800]  很明顯王其實是給他們第二次機會
[00:04:23.800 --> 00:04:26.900]  其實我們看到這個王是給了他們第二次機會
