
[00:00:00.000 --> 00:00:04.500]  講到馬拉松,你知不知道為什麼芝加哥馬拉松這麼有名?
[00:00:04.500 --> 00:00:07.360]  個個都想來這裡跑,你知不知道?
[00:00:07.360 --> 00:00:10.140]  我知道你不跑,你跑不動嘛,是嗎?
[00:00:10.140 --> 00:00:12.740]  但是跑動的人很喜歡來芝加哥跑,為什麼?
[00:00:12.740 --> 00:00:18.580]  我剛剛跟一個參加馬拉松的弟兄去聊天,剛剛禮拜五
[00:00:18.580 --> 00:00:20.180]  他說為什麼這麼喜歡來這裡跑呢?
[00:00:20.180 --> 00:00:23.380]  因為他跑過其他的城市,例如Enhancer、Seattle
[00:00:23.380 --> 00:00:24.860]  他說跑得很悶
[00:00:25.780 --> 00:00:31.080]  他說悶到跑了很多段路,就沒有人去打氣
[00:00:31.080 --> 00:00:35.180]  然後他旁邊一直跑的時候,全部都是野草
[00:00:35.180 --> 00:00:36.840]  非常荒涼
[00:00:36.840 --> 00:00:40.780]  他說芝加哥不是,芝加哥有很多人打氣
[00:00:40.780 --> 00:00:45.980]  又給他水喝,有朝食,吃朝吧,繼續跑
[00:00:45.980 --> 00:00:53.040]  然後就有很多人去拉隊,去鼓勵他,他說特別開心的在這裡跑
[00:00:53.220 --> 00:00:57.740]  所以為什麼芝加哥跑馬拉松要抽籤這麼厲害,是嗎?
[00:00:57.740 --> 00:00:58.480]  你知不知道?
[00:00:58.480 --> 00:01:02.420]  你以為你想跑就跑嗎?是嗎?
[00:01:02.420 --> 00:01:04.880]  要抽籤,不過其他城市不用
[00:01:04.880 --> 00:01:09.940]  其實你想想,上帝在我們生命裡面的帶領都是一樣
[00:01:09.940 --> 00:01:13.520]  是嗎?無論你跑過任何荒野
[00:01:13.520 --> 00:01:17.880]  每一個的路徑,都是由上帝去打氣
[00:01:17.880 --> 00:01:19.440]  這個就是Providence
[00:01:19.440 --> 00:01:22.620]  就是上主對我們的庇護
[00:01:23.340 --> 00:01:25.580]  你想想,你走過不同的人生的旅程
[00:01:25.580 --> 00:01:27.720]  不同的章節的時候
[00:01:27.720 --> 00:01:31.380]  如果有個人在你附近,有班人在你附近
[00:01:31.380 --> 00:01:37.940]  去Cheer you up,幫你打氣的感覺是幾個不同,是嗎?
[00:01:37.940 --> 00:01:42.440]  所以聖經裡面講到這個Providence是一個很重要
[00:01:42.440 --> 00:01:47.020]  很寶貴,很切身的教導
[00:01:47.020 --> 00:01:52.480]  我們說,聖經裡面是用故事來介紹上帝的
