
[00:00:00.000 --> 00:00:04.600]  請你打開你的程序表
[00:00:04.600 --> 00:00:10.600]  我們今日揀咗《創世紀》嘅第三十章同三十一章
[00:00:10.600 --> 00:00:12.200]  好長呀經文
[00:00:12.200 --> 00:00:14.600]  咁就冇羅列哂喺裏面
[00:00:14.600 --> 00:00:17.200]  你會睇到三十章由廿五節
[00:00:17.200 --> 00:00:22.400]  去到去到三十一章嘅四十四節
[00:00:22.400 --> 00:00:25.800]  咁中間呢有啲係skip咗
[00:00:25.800 --> 00:00:27.800]  咁但係我希望
[00:00:27.800 --> 00:00:32.400]  我哋一齊去讀一讀今日最重要嘅一段經文
[00:00:32.400 --> 00:00:42.400]  喺第三十一章嘅第六七八
[00:00:42.400 --> 00:00:45.200]  呢三節 三十一章嘅第六
[00:00:45.200 --> 00:00:49.000]  第五六七八呢四節經文
[00:00:49.000 --> 00:00:52.600]  三十一章嘅第五 第六 第七 第八
[00:00:52.600 --> 00:00:58.200]  預備起 到埋第九節啦 預備起
[00:00:58.200 --> 00:01:03.400]  呢段經文講到神點樣保守亞國
[00:01:03.400 --> 00:01:10.200]  喺我講到標題我寫住今日個講題係神保守亞國
[00:01:10.200 --> 00:01:14.400]  上一次呢呢邊人全都講到上帝祝福佢
[00:01:14.400 --> 00:01:17.400]  有屋企嘅生兒養女
[00:01:17.400 --> 00:01:21.200]  一個神祝福話佢要有後裔
[00:01:21.200 --> 00:01:24.000]  佢後人要多起嚟嘅家庭
[00:01:24.000 --> 00:01:26.000]  竟然因為生仔呢
[00:01:26.000 --> 00:01:31.000]  即係會有好多嘅煩惱同埋紛爭
[00:01:31.000 --> 00:01:32.800]  好奇怪
[00:01:32.800 --> 00:01:36.400]  亞國係知道神唔應許佢有好多嘅後裔
[00:01:36.400 --> 00:01:40.000]  但係因為生兒養女佢家庭唔愉快
[00:01:40.000 --> 00:01:43.000]  之前呢佢離開家庭
[00:01:43.000 --> 00:01:47.800]  佢離開家庭佢經歷神與佢同在
[00:01:47.800 --> 00:01:50.000]  但佢離開家庭嘅原因
[00:01:50.000 --> 00:01:53.400]  佢話因為佢同佢哥哥結咗仇
[00:01:53.400 --> 00:01:56.000]  佢欺騙咗哥哥同佢爸爸
[00:01:56.000 --> 00:02:01.000]  奪取咗爸爸嘅祝福
[00:02:01.000 --> 00:02:06.000]  佢用佢自己嘅方法想去得著上帝嘅祝福
[00:02:06.000 --> 00:02:10.000]  今日我哋會從經文睇到
[00:02:10.000 --> 00:02:16.400]  亞國喺佢外父嘅家庭裏面一共有二十年嘅時間
[00:02:16.400 --> 00:02:19.000]  神點樣保守佢
[00:02:19.000 --> 00:02:23.000]  睇呢段經文之前我都想同大家分享下
[00:02:23.000 --> 00:02:27.000]  喺我人生裏面有其中一個經歷
[00:02:27.000 --> 00:02:30.000]  一個頗長有成兩年嘅經歷
[00:02:30.000 --> 00:02:33.000]  係好難忘嘅
[00:02:33.000 --> 00:02:40.000]  就係當我由失明到失業嗰段日子
[00:02:40.000 --> 00:02:44.000]  咁你知我哋香港好興再培訓
[00:02:44.000 --> 00:02:46.000]  咁我作為一個傷失青年
[00:02:46.000 --> 00:02:49.000]  傷失你知係咩
[00:02:49.000 --> 00:02:54.000]  失業同埋失學
[00:02:54.000 --> 00:02:56.000]  咁你唔好諗住你有兩個膝頭高
[00:02:56.000 --> 00:02:59.000]  你就自稱傷失青年
[00:02:59.000 --> 00:03:01.000]  我哋有好多傷失嘅
[00:03:01.000 --> 00:03:03.000]  有啲人琴晚失眠
[00:03:03.000 --> 00:03:08.000]  今朝失約又叫人食早餐
[00:03:08.000 --> 00:03:10.000]  好多有時
[00:03:10.000 --> 00:03:14.000]  當我面對失明嘅挑戰
[00:03:14.000 --> 00:03:19.000]  我慢慢失去我所做嘅會計工作
[00:03:19.000 --> 00:03:21.000]  我就重新要諗
[00:03:21.000 --> 00:03:24.000]  我將會點樣所謂再培訓
[00:03:24.000 --> 00:03:27.000]  要搵返一份新嘅工作
[00:03:27.000 --> 00:03:32.000]  由我失業開始到我重新再讀書
[00:03:32.000 --> 00:03:34.000]  再入返去讀社工
[00:03:34.000 --> 00:03:38.000]  中間有一啲轉折
[00:03:38.000 --> 00:03:39.000]  我記得我起初
[00:03:39.000 --> 00:03:43.000]  我以前讀書最好成績都係中英數
[00:03:43.000 --> 00:03:45.000]  失明在即
[00:03:45.000 --> 00:03:46.000]  一路事歷退化
[00:03:46.000 --> 00:03:49.000]  我就想不如我去讀英文
[00:03:49.000 --> 00:03:51.000]  我諗不如讀翻譯
[00:03:51.000 --> 00:03:55.000]  讀翻譯係為咗讀英文嘅學科
[00:03:55.000 --> 00:03:57.000]  睇下將來會唔會係呢一方面
[00:03:57.000 --> 00:03:59.000]  會搵到嘢做
[00:03:59.000 --> 00:04:06.000]  嗰年我廿六歲開始面對失業
[00:04:06.000 --> 00:04:08.000]  我走咗去一間一人公司
[00:04:08.000 --> 00:04:10.000]  即係老闆對落咗我
[00:04:10.000 --> 00:04:12.000]  我對落咗一個阿嬸
[00:04:12.000 --> 00:04:16.000]  有個阿姐喺度
[00:04:16.000 --> 00:04:18.000]  咁我喺公司打曬色
[00:04:18.000 --> 00:04:20.000]  因為得我哋兩個
[00:04:20.000 --> 00:04:22.000]  我眼好矇
[00:04:22.000 --> 00:04:23.000]  我睇嘢都睇唔清楚
[00:04:23.000 --> 00:04:25.000]  啲單我就會計
[00:04:25.000 --> 00:04:27.000]  啲單睇唔清楚
[00:04:27.000 --> 00:04:29.000]  我就要搵個阿姐
[00:04:29.000 --> 00:04:31.000]  佢要戴個老花眼鏡幫我望
[00:04:31.000 --> 00:04:33.000]  佢上海人佢話阿前
[00:04:33.000 --> 00:04:36.000]  我估呢個係六字
[00:04:36.000 --> 00:04:39.000]  我睇到好似係八
[00:04:39.000 --> 00:04:41.000]  唔好肯定張單幾多錢
[00:04:41.000 --> 00:04:44.000]  咁我喺嗰個捱到
[00:04:44.000 --> 00:04:47.000]  我由廿六歲失業
[00:04:47.000 --> 00:04:49.000]  到二十八歲
[00:04:49.000 --> 00:04:51.000]  嗰份工都做唔落
[00:04:51.000 --> 00:04:52.000]  我覺得好辛苦
[00:04:52.000 --> 00:04:54.000]  我就決定去申請讀書
[00:04:54.000 --> 00:04:58.000]  咁我就想以成年學生嘅身份去申請
[00:04:58.000 --> 00:05:00.000]  再進修去大學進修
[00:05:00.000 --> 00:05:02.000]  點知嗰年呢
[00:05:02.000 --> 00:05:03.000]  我睇一睇呢
[00:05:03.000 --> 00:05:05.000]  原來全香港嗰啲成年學生呢
[00:05:05.000 --> 00:05:08.000]  係廿九歲同三十歲先可以申請
[00:05:08.000 --> 00:05:11.000]  如果你未去到嗰個年齡呢
[00:05:11.000 --> 00:05:15.000]  你係要同應屆嗰啲畢業生一齊排隊
[00:05:15.000 --> 00:05:17.000]  咁我睇下我啲成績
[00:05:17.000 --> 00:05:19.000]  中中挺挺咁樣
