
[00:00:00.000 --> 00:00:09.000]  前幾天我看了鍾信月刊最近這一期的其中一篇見證
[00:00:09.000 --> 00:00:13.000]  是說有一位女士
[00:00:13.000 --> 00:00:18.000]  她說自己自小以來都不能夠安靜
[00:00:18.000 --> 00:00:22.000]  一定要找些事情去做
[00:00:22.000 --> 00:00:27.000]  她心裡不知道為什麼有一種她不明白的
[00:00:27.000 --> 00:00:30.000]  說不出的那種空虛
[00:00:30.000 --> 00:00:35.000]  在少年的時候她以為是荷爾蒙作怪
[00:00:35.000 --> 00:00:38.000]  青少年很古怪的
[00:00:38.000 --> 00:00:40.000]  以為是荷爾蒙
[00:00:40.000 --> 00:00:44.000]  到了大學的時候
[00:00:44.000 --> 00:00:50.000]  她就以為她仍然這些很忙很空虛的事情感受很強
[00:00:50.000 --> 00:00:55.000]  她以為可能是男男女女戀愛的問題
[00:00:55.000 --> 00:01:00.000]  令她變成這樣
[00:01:00.000 --> 00:01:05.000]  她就這樣很忙很忙的
[00:01:05.000 --> 00:01:07.000]  一定要找些事情去做
[00:01:07.000 --> 00:01:10.000]  她就一直讀了五個學位
[00:01:10.000 --> 00:01:13.000]  始終都要讀完的
[00:01:13.000 --> 00:01:15.000]  讀完五個學位出來找事情去做
[00:01:15.000 --> 00:01:18.000]  事業很成功
[00:01:18.000 --> 00:01:20.000]  又結了婚
[00:01:20.000 --> 00:01:23.000]  有丈夫有女兒
[00:01:23.000 --> 00:01:26.000]  又很好
[00:01:26.000 --> 00:01:27.000]  家庭很溫暖
[00:01:27.000 --> 00:01:28.000]  事業很好
[00:01:28.000 --> 00:01:30.000]  也賺了很多錢
[00:01:30.000 --> 00:01:33.000]  本應很開心快樂滿足
[00:01:33.000 --> 00:01:34.000]  但是不是
[00:01:34.000 --> 00:01:37.000]  她更加越來越覺得自己
[00:01:37.000 --> 00:01:42.000]  那種說不出的空虛感很強烈
[00:01:42.000 --> 00:01:48.000]  長話短說
[00:01:48.000 --> 00:01:51.000]  輾轉就信了耶穌
[00:01:51.000 --> 00:01:53.000]  信了耶穌之後
[00:01:53.000 --> 00:01:55.000]  她回頭看
[00:01:55.000 --> 00:01:57.000]  她就開始明白
[00:01:57.000 --> 00:01:59.000]  她這種空虛感
[00:01:59.000 --> 00:02:04.000]  正正就是我們很多人都會說得救見證的時候
[00:02:04.000 --> 00:02:10.000]  人生不明白人生的目的和意義
[00:02:10.000 --> 00:02:14.000]  所以不知道做什麼才是對的
[00:02:14.000 --> 00:02:16.000]  才是安心的
[00:02:16.000 --> 00:02:23.000]  這是其中一個空虛感很大的原因
[00:02:23.000 --> 00:02:26.000]  今天我要告訴大家的這段經文
[00:02:26.000 --> 00:02:30.000]  傳道者在裡面提醒我們
[00:02:30.000 --> 00:02:34.000]  能夠在神面前安靜
[00:02:34.000 --> 00:02:37.000]  比賺更多的錢
[00:02:37.000 --> 00:02:39.000]  更加重要更加寶貴
