
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早晨
[00:00:02.000 --> 00:00:03.000]  早晨
[00:00:03.000 --> 00:00:06.000]  不知為何我的名字總是有人要改
[00:00:06.000 --> 00:00:09.000]  我叫葉青華
[00:00:09.000 --> 00:00:13.000]  好像中大也有個葉青華
[00:00:13.000 --> 00:00:20.000]  明年我這個葉青華牧師請了葉青華教授去北角塘廣道
[00:00:20.000 --> 00:00:26.000]  其實今天能夠來到各位當中
[00:00:26.000 --> 00:00:29.000]  來分享上帝的話語
[00:00:29.000 --> 00:00:31.000]  其實我很感恩
[00:00:31.000 --> 00:00:33.000]  不知為何
[00:00:33.000 --> 00:00:36.000]  這個世界總是有些事要湊巧
[00:00:36.000 --> 00:00:43.000]  話說你們的教會是哪一年哪一月哪一日建立的
[00:00:43.000 --> 00:00:46.000]  開始崇拜
[00:00:46.000 --> 00:00:50.000]  1963年12月1日
[00:00:50.000 --> 00:00:55.000]  1963年是我太太出生的年數
[00:00:55.000 --> 00:01:00.000]  12月1日是我女兒的生日
[00:01:00.000 --> 00:01:03.000]  這個世界竟然是這樣
[00:01:03.000 --> 00:01:08.000]  事實上有很多事我們有時想解釋
[00:01:08.000 --> 00:01:10.000]  但好像沒甚麼可以解釋
[00:01:10.000 --> 00:01:11.000]  有很多事
[00:01:11.000 --> 00:01:13.000]  為何會這樣呢
[00:01:13.000 --> 00:01:17.000]  當我們慶祝唐慶的時候
[00:01:17.000 --> 00:01:22.000]  我不知你們有沒有想過為何我們要慶祝
[00:01:22.000 --> 00:01:26.000]  為何我們覺得這個唐慶會是這麼好的日子
[00:01:26.000 --> 00:01:27.000]  這麼大的日子
[00:01:27.000 --> 00:01:28.000]  這麼重要的日子
[00:01:28.000 --> 00:01:31.000]  所以我們要慶祝
[00:01:31.000 --> 00:01:34.000]  當我們去慶祝一件事的時候
[00:01:34.000 --> 00:01:40.000]  是否因為我們的環境好
[00:01:40.000 --> 00:01:45.000]  是否因為我們的際遇好
[00:01:45.000 --> 00:01:48.000]  是否因為我們有能力
[00:01:48.000 --> 00:01:51.000]  有這麼多人一起祝賀他
[00:01:51.000 --> 00:01:56.000]  是否因為我們有各樣我們覺得好的事
[00:01:56.000 --> 00:01:58.000]  所以我們要慶祝
[00:01:58.000 --> 00:02:01.000]  其實當我們在今天
[00:02:01.000 --> 00:02:02.000]  這個聖經的時候
[00:02:02.000 --> 00:02:04.000]  耳塞俠書十二章
[00:02:04.000 --> 00:02:05.000]  很明顯的
[00:02:05.000 --> 00:02:08.000]  在那一日將這三個字
[00:02:08.000 --> 00:02:12.000]  將整張聖經剁成兩半
[00:02:12.000 --> 00:02:16.000]  我想和大家一起看看耳塞俠書十二章
[00:02:16.000 --> 00:02:18.000]  一至三節
[00:02:18.000 --> 00:02:22.000]  我是這樣的 我喜歡叫人看聖經
[00:02:22.000 --> 00:02:24.000]  所以打開你的聖經
[00:02:24.000 --> 00:02:26.000]  耳塞俠書十二章一至三節
[00:02:26.000 --> 00:02:27.000]  和我一起讀一次
[00:02:27.000 --> 00:02:29.000]  一至三節 預備起
[00:02:29.000 --> 00:02:32.000]  在那一日你要說
[00:02:32.000 --> 00:02:35.000]  耶穌說我要稱謝你
[00:02:35.000 --> 00:02:38.000]  因為你雖然向我發怒
[00:02:38.000 --> 00:02:41.000]  你的怒氣卻已轉燒
[00:02:41.000 --> 00:02:44.000]  你又安慰了我
[00:02:44.000 --> 00:02:47.000]  看啊 上帝是我的拯救
[00:02:47.000 --> 00:02:51.000]  我要倚靠他 並不懼怕
[00:02:51.000 --> 00:02:53.000]  因為主耶穌說
[00:02:53.000 --> 00:02:56.000]  是我的力量 是我的師哥
[00:02:56.000 --> 00:02:59.000]  他也成了我的拯救
[00:02:59.000 --> 00:03:02.000]  你們必從救恩的泉源
[00:03:02.000 --> 00:03:04.000]  歡言取水
[00:03:04.000 --> 00:03:06.000]  正不正?
[00:03:06.000 --> 00:03:10.000]  正 是不是?
[00:03:10.000 --> 00:03:13.000]  上帝幫我們 上帝拯救我們
[00:03:13.000 --> 00:03:15.000]  我想大家聽清楚
[00:03:15.000 --> 00:03:17.000]  有另一段經文
[00:03:17.000 --> 00:03:19.000]  耳塞俠書第九章
[00:03:19.000 --> 00:03:21.000]  十一、十二節
[00:03:21.000 --> 00:03:22.000]  聖經這樣說
[00:03:45.000 --> 00:03:47.000]  並未轉燒
[00:03:47.000 --> 00:03:51.000]  他的手依然伸出
[00:03:51.000 --> 00:03:53.000]  大家有什麼感覺?
[00:03:53.000 --> 00:03:55.000]  第九章二十一節
[00:03:55.000 --> 00:03:59.000]  馬拿西吞吃以法蓮
[00:03:59.000 --> 00:04:02.000]  以法蓮吞吃馬拿西
[00:04:02.000 --> 00:04:04.000]  他們又一同攻擊猶大
[00:04:04.000 --> 00:04:06.000]  雖然如此
[00:04:06.000 --> 00:04:10.000]  耶穌說的怒氣並未轉燒
[00:04:10.000 --> 00:04:13.000]  他的手依然伸出
[00:04:14.000 --> 00:04:15.000]  這是什麼?
[00:04:15.000 --> 00:04:20.000]  我告訴你
[00:04:20.000 --> 00:04:22.000]  我很想告訴大家
[00:04:22.000 --> 00:04:25.000]  我們不能夠慶祝
[00:04:25.000 --> 00:04:28.000]  我們不能夠向上帝稱謝
[00:04:28.000 --> 00:04:30.000]  並不代表
[00:04:30.000 --> 00:04:33.000]  我們所經歷的日子
[00:04:33.000 --> 00:04:36.000]  都是風平浪靜的日子
[00:04:36.000 --> 00:04:38.000]  並不代表
[00:04:38.000 --> 00:04:42.000]  我們所有的事都能夠合乎我們眾人心意
[00:04:42.000 --> 00:04:44.000]  並不代表
[00:04:44.000 --> 00:04:45.000]  在我們當中
[00:04:45.000 --> 00:04:48.000]  我們真的能夠完完全全
[00:04:48.000 --> 00:04:49.000]  好像聖經教導的
