
[00:00:00.000 --> 00:00:02.000]  頂姐妹平安
[00:00:02.000 --> 00:00:04.000]  在前路之先我們一起禱告
[00:00:04.000 --> 00:00:06.000]  七天父感謝你
[00:00:06.000 --> 00:00:08.000]  讓我們能夠回到你面前
[00:00:08.000 --> 00:00:10.000]  去敬拜
[00:00:10.000 --> 00:00:12.000]  讓我們能夠回到你的店
[00:00:12.000 --> 00:00:14.000]  你的家裏面
[00:00:14.000 --> 00:00:16.000]  幫助我們能夠深深的去
[00:00:16.000 --> 00:00:18.000]  經歷你的恩典
[00:00:18.000 --> 00:00:20.000]  能夠去體會你的慈愛
[00:00:20.000 --> 00:00:22.000]  讓我們能夠去發跑的
[00:00:22.000 --> 00:00:24.000]  跟隨你自己
[00:00:24.000 --> 00:00:26.000]  我們祈禱交托 奉主明求 阿們
[00:00:28.000 --> 00:00:30.000]  頂姐妹今天是我第二次
[00:00:30.000 --> 00:00:32.000]  來到這裡講禱
[00:00:32.000 --> 00:00:34.000]  有沒有人是認得我的
[00:00:34.000 --> 00:00:36.000]  唉 幸好有
[00:00:36.000 --> 00:00:38.000]  其實我不是認得很多
[00:00:38.000 --> 00:00:42.000]  上一次來的時候
[00:00:42.000 --> 00:00:44.000]  先考考大家 知不知道是何時
[00:00:44.000 --> 00:00:48.000]  記不記得 我自己也要看紀錄才記得
[00:00:48.000 --> 00:00:50.000]  是五月份的時候
[00:00:50.000 --> 00:00:52.000]  今年的五月份
[00:00:52.000 --> 00:00:54.000]  原來是五月十九號
[00:00:54.000 --> 00:00:56.000]  今天是十二十號
[00:00:56.000 --> 00:00:58.000]  所以其實剛剛好五個月
[00:00:58.000 --> 00:01:00.000]  五個月的時間
[00:01:00.000 --> 00:01:02.000]  其實好像不是很長
[00:01:02.000 --> 00:01:04.000]  但不知覺得過了很久
[00:01:04.000 --> 00:01:06.000]  你會不會有這樣的感覺
[00:01:06.000 --> 00:01:10.000]  或者你想起
[00:01:10.000 --> 00:01:12.000]  五月的時候
[00:01:12.000 --> 00:01:14.000]  跟你自己現在有沒有過得很久
[00:01:14.000 --> 00:01:16.000]  我不知道你經歷了甚麼
[00:01:16.000 --> 00:01:18.000]  不過
