
[00:00:00.000 --> 00:00:03.400]  今日的故事是說到機編事件
[00:00:03.400 --> 00:00:05.500]  的確是一件很特別的事
[00:00:05.500 --> 00:00:08.940]  亦都各位很多在這個事情上
[00:00:08.940 --> 00:00:10.800]  有很多的思想
[00:00:10.800 --> 00:00:13.060]  以及有很多的認識
[00:00:13.060 --> 00:00:17.820]  它特別之處就是它走一些跟人不同的地方
[00:00:17.820 --> 00:00:19.860]  當然與眾不同
[00:00:19.860 --> 00:00:21.140]  都分兩種
[00:00:21.140 --> 00:00:24.000]  有些與眾不同是不需要的
[00:00:24.000 --> 00:00:25.080]  是不好的
[00:00:25.080 --> 00:00:26.080]  例如
[00:00:26.080 --> 00:00:28.620]  我不知道大家有沒有經常過馬路
[00:00:28.620 --> 00:00:31.300]  當我們知道不可以過紅燈
[00:00:31.300 --> 00:00:33.540]  往往在不同的時候
[00:00:33.540 --> 00:00:36.900]  都會突然間有人在人群中走出去
[00:00:36.900 --> 00:00:39.800]  走出去的時候有時候小街也算了
[00:00:39.800 --> 00:00:43.500]  有時候大街的車60米、70米飛過來
[00:00:43.500 --> 00:00:44.900]  它就不理會,很特別的
[00:00:44.900 --> 00:00:45.920]  因為它向前行
[00:00:45.920 --> 00:00:48.320]  就好像自己一輛坦克車那樣
[00:00:48.320 --> 00:00:49.120]  它不會理會的
[00:00:49.120 --> 00:00:51.200]  有些車來它根本看不到
[00:00:51.200 --> 00:00:52.880]  車撥過去也聽不到
[00:00:52.880 --> 00:00:55.160]  原因就是它在聽音樂
[00:00:55.160 --> 00:00:57.320]  有時候車很近
[00:00:57.320 --> 00:00:59.880]  想著它看到,它又不知道為什麼車這邊來
[00:00:59.880 --> 00:01:01.440]  它又看那邊
[00:01:01.440 --> 00:01:04.040]  有時候車真的撥過去聽到
[00:01:04.040 --> 00:01:05.960]  它還會瞪著車
[00:01:05.960 --> 00:01:07.680]  就好像車很不對
[00:01:07.680 --> 00:01:09.880]  就是那些很奇怪的狀態
[00:01:09.880 --> 00:01:12.640]  這種與眾不同當然不需要
[00:01:12.640 --> 00:01:16.460]  不過我們知道人生必須有另一種與眾不同
[00:01:16.460 --> 00:01:19.280]  這種與眾不同就好像愛因斯坦所說
[00:01:19.280 --> 00:01:24.720]  他說如果一個人永遠都是跟隨群眾
[00:01:25.680 --> 00:01:29.240]  這種就永遠都不可以超越群眾
[00:01:29.240 --> 00:01:30.860]  就是說有些情況
[00:01:30.860 --> 00:01:32.960]  如果我們想有些新的發生
[00:01:32.960 --> 00:01:33.720]  新的發現
[00:01:33.720 --> 00:01:36.680]  有些好東西要突破的時候
[00:01:36.680 --> 00:01:38.480]  必須會有人
[00:01:38.480 --> 00:01:41.560]  是一段孤單的路
[00:01:41.560 --> 00:01:43.240]  會走多一段時間
[00:01:43.240 --> 00:01:45.520]  才可以有新的突破
[00:01:45.520 --> 00:01:48.840]  就好像他發現相對論
[00:01:48.840 --> 00:01:51.640]  或者我們新發明的燈的時候
[00:01:51.640 --> 00:01:54.880]  很寂寞的要自己做三千次測試
[00:01:54.880 --> 00:01:57.240]  或者馬丁路德金當時
[00:01:57.240 --> 00:01:59.240]  有黑人被欺壓的時候
[00:01:59.240 --> 00:02:00.120]  他走出來
[00:02:00.120 --> 00:02:03.520]  也是很孤單慢慢才有人去走
[00:02:03.520 --> 00:02:07.040]  當然今天機編的故事這種與眾不同
[00:02:07.040 --> 00:02:08.800]  絕對是後者
[00:02:08.800 --> 00:02:09.800]  是後者
[00:02:09.800 --> 00:02:11.360]  他做一些事
[00:02:11.360 --> 00:02:12.480]  別人不做的
[00:02:12.480 --> 00:02:13.760]  做完之後
[00:02:13.760 --> 00:02:17.320]  他就走出一片天
[00:02:17.320 --> 00:02:18.280]  別人不做的
[00:02:18.280 --> 00:02:21.680]  最終他走出一片天
[00:02:21.680 --> 00:02:24.200]  背景我們看看究竟發生什麼事
[00:02:24.200 --> 00:02:27.880]  去到約書亞記第九章一節二節
[00:02:27.880 --> 00:02:29.080]  我們先讀一讀
[00:02:29.080 --> 00:02:30.120]  一二三
[00:02:30.120 --> 00:02:33.640]  約旦河西駐山地高原
[00:02:33.640 --> 00:02:36.000]  並對著黎巴嫩山
[00:02:36.000 --> 00:02:38.880]  元大海一帶的諸王
[00:02:38.880 --> 00:02:40.600]  就是黑人
[00:02:40.600 --> 00:02:41.920]  阿摩利人
[00:02:41.920 --> 00:02:43.040]  加南人
[00:02:43.040 --> 00:02:44.440]  比利西人
[00:02:44.440 --> 00:02:45.480]  希美人
[00:02:45.480 --> 00:02:47.360]  耶布斯人的諸王
[00:02:47.360 --> 00:02:49.280]  聽見這事
[00:02:49.280 --> 00:02:50.960]  就刀聚集
