
[00:00:00.000 --> 00:00:12.000]  每年的第一日都提供了世人一個新思想、人生意義的機會
[00:00:12.000 --> 00:00:21.000]  今年一月一日我和各位分享的訊息亦都抓住這個機會
[00:00:21.000 --> 00:00:26.000]  那天的訊息有三個重點
[00:00:26.000 --> 00:00:32.000]  第一,避免自我中心的異向
[00:00:32.000 --> 00:00:38.000]  第二,達成有意義的目的
[00:00:38.000 --> 00:00:47.000]  第三,回應神的呼召
[00:00:47.000 --> 00:00:54.000]  保羅在二千多年被羅馬政府監禁的時候
[00:00:54.000 --> 00:00:59.000]  知道他自己快要離開世界
[00:00:59.000 --> 00:01:04.000]  他就寫出他的心事
[00:01:04.000 --> 00:01:07.000]  活著就是基督
[00:01:07.000 --> 00:01:12.000]  我死了就有益處
[00:01:12.000 --> 00:01:15.000]  意思是什麼呢?
[00:01:15.000 --> 00:01:19.000]  基督活在我的生命裏面
[00:01:19.000 --> 00:01:32.000]  我死了之後我就活在永遠的榮耀中
[00:01:32.000 --> 00:01:39.000]  上星期你傳導教導我們奔跑不放棄
[00:01:39.000 --> 00:01:49.000]  今天我和各位分享,有了奔跑不放棄的心意之後
[00:01:49.000 --> 00:01:56.000]  繼續努力為主而活
[00:01:56.000 --> 00:02:02.000]  繼續努力為主而活
[00:02:02.000 --> 00:02:11.000]  奔跑不放棄,繼續為主而活
[00:02:11.000 --> 00:02:15.000]  保羅教導我們怎樣為主而活
[00:02:15.000 --> 00:02:20.000]  他對羅馬的信徒說
[00:02:20.000 --> 00:02:27.000]  要將身體獻上作聖潔而蒙神月立的活祭
[00:02:27.000 --> 00:02:32.000]  這是你們理所當然的侍奉
[00:02:32.000 --> 00:02:37.000]  各位,有了愛神的心意
[00:02:37.000 --> 00:02:45.000]  自然你就會表現在你的生活的行為上
[00:02:45.000 --> 00:02:53.000]  這就是叫做理所當然的侍奉
[00:02:53.000 --> 00:03:03.000]  古今中外的歷史常常提到很多愛神的見證
[00:03:03.000 --> 00:03:07.000]  舊約裏面我們都見到很多愛神的見證
[00:03:07.000 --> 00:03:13.000]  新約裏面亦都見到很多愛神的見證
[00:03:13.000 --> 00:03:17.000]  今天在《你我》中間
[00:03:17.000 --> 00:03:29.000]  亦都看到很多他們侍奉神的行動
[00:03:29.000 --> 00:03:32.000]  我們之間的弟兄姊妹為主而活的行動
[00:03:32.000 --> 00:03:37.000]  可以歸納為兩個重點
[00:03:37.000 --> 00:03:45.000]  第一個,活出信主的見證
[00:03:45.000 --> 00:03:52.000]  第二個,用恩賜去侍奉神
[00:03:52.000 --> 00:03:59.000]  求聖靈幫助我們明白這些內容的重點
[00:03:59.000 --> 00:04:01.000]  請我們大家一起祈禱
[00:04:01.000 --> 00:04:03.000]  親愛的聖靈,求你幫助我們
[00:04:03.000 --> 00:04:08.000]  說的、聽的都能夠有聖靈的感動
[00:04:08.000 --> 00:04:12.000]  以致我們一生都能夠應用在我們的行為上
[00:04:12.000 --> 00:04:18.000]  禱告奉主耶穌的名,阿們
[00:04:18.000 --> 00:04:28.000]  第一個重點,活出信主的見證
[00:04:28.000 --> 00:04:32.000]  保羅在《菲律賓書》教導我們
[00:04:32.000 --> 00:04:40.000]  你們當以基督耶穌的心為心
[00:04:40.000 --> 00:04:44.000]  任何人都可以藉著
[00:04:44.000 --> 00:04:49.000]  研讀聖經的道理
[00:04:49.000 --> 00:04:54.000]  禱告,以及在教會裏面
[00:04:54.000 --> 00:04:58.000]  與信徒彼此交往
[00:04:58.000 --> 00:05:00.000]  去深入地認識神
[00:05:00.000 --> 00:05:05.000]  知道神的心意
[00:05:05.000 --> 00:05:08.000]  這樣就可以過一個虔誠的生活
[00:05:08.000 --> 00:05:13.000]  就能夠活出主的見證
[00:05:13.000 --> 00:05:20.000]  以致神的名可以得到榮耀和讚美
[00:05:20.000 --> 00:05:22.000]  在十三世紀的時候
[00:05:22.000 --> 00:05:26.000]  有一位叫做Thomas Aquinas
[00:05:26.000 --> 00:05:32.000]  多瑪士亞堅那,中文翻譯
[00:05:32.000 --> 00:05:36.000]  他說人生結出很多果子
[00:05:36.000 --> 00:05:40.000]  但是結出的成就
[00:05:40.000 --> 00:05:45.000]  一定要從認識三位一體
[00:05:45.000 --> 00:05:47.000]  真神開始
[00:05:47.000 --> 00:05:49.000]  再說一次
[00:05:49.000 --> 00:05:54.000]  人生結出很多果子
[00:05:54.000 --> 00:05:57.000]  但是結出的成就
[00:05:57.000 --> 00:06:00.000]  結出的成就
[00:06:00.000 --> 00:06:07.000]  一定要從認識三位一體的真神開始
[00:06:07.000 --> 00:06:10.000]  今天的信徒
[00:06:10.000 --> 00:06:15.000]  很多人都以為認識了
[00:06:15.000 --> 00:06:17.000]  明白聖經就夠了
[00:06:17.000 --> 00:06:20.000]  就滿足了
[00:06:20.000 --> 00:06:26.000]  但是缺乏了深入認識神的話語
[00:06:26.000 --> 00:06:29.000]  聽清楚
[00:06:29.000 --> 00:06:35.000]  認識聖經和認識神的話語是兩回事
[00:06:35.000 --> 00:06:38.000]  聖經有很多種翻譯
[00:06:38.000 --> 00:06:44.000]  有很多種不同宗教家的翻譯
[00:06:44.000 --> 00:06:50.000]  神的話語只有一種
[00:06:50.000 --> 00:06:59.000]  深入認識神的話語
[00:06:59.000 --> 00:07:05.000]  現代的信徒缺乏深入認識神的話語
[00:07:05.000 --> 00:07:06.000]  結果怎麼樣呢?
[00:07:06.000 --> 00:07:10.000]  結果就喜歡爭論
[00:07:10.000 --> 00:07:11.000]  教會裡面爭論
[00:07:11.000 --> 00:07:15.000]  社會裡面爭論
[00:07:15.000 --> 00:07:17.000]  牧師爭論
[00:07:17.000 --> 00:07:22.000]  宗教家爭論
[00:07:22.000 --> 00:07:32.000]  每一個人都想高舉自己所解釋的聖經
[00:07:32.000 --> 00:07:40.000]  這個不是活出信主的見證
[00:07:40.000 --> 00:07:45.000]  關於讀經方面
[00:07:45.000 --> 00:07:49.000]  《齊摩太后書》第三章這樣說
[00:07:49.000 --> 00:07:53.000]  聖經都是神所默示的
[00:07:53.000 --> 00:07:54.000]  於教訓築責
[00:07:54.000 --> 00:07:58.000]  使人歸正教導人學而都是有益的
[00:07:58.000 --> 00:08:05.000]  聖靈藉著神的話語光照我們的心
[00:08:05.000 --> 00:08:08.000]  怎樣光照?
[00:08:08.000 --> 00:08:11.000]  保羅說給以菲勒比的信徒說
[00:08:11.000 --> 00:08:19.000]  凡是真實的、可敬的、公義的、清潔的、可愛的、有美名的
[00:08:19.000 --> 00:08:23.000]  若有什麼得行、若有什麼稱讚
[00:08:23.000 --> 00:08:28.000]  這些事你們都要默想
[00:08:28.000 --> 00:08:30.000]  當我們默想的時候
[00:08:30.000 --> 00:08:36.000]  聖靈就開我們的心眼
[00:08:36.000 --> 00:08:45.000]  我們可以見到腳前的燈、路上的光
[00:08:45.000 --> 00:08:50.000]  第四世紀有一位教父奧古斯丁曾經說
[00:08:50.000 --> 00:08:59.000]  與三位一體的神同在是我們最喜樂的一個享受
[00:08:59.000 --> 00:09:04.000]  沒有東西比這樣更加豐滿
[00:09:04.000 --> 00:09:12.000]  因為我們是按著祂的形狀被造
[00:09:12.000 --> 00:09:21.000]  我們可以享受神為我們預備所有美好的生活上得到的喜樂
[00:09:21.000 --> 00:09:24.000]  譬如我們家庭的生活
[00:09:24.000 --> 00:09:27.000]  豐富的食物
[00:09:27.000 --> 00:09:29.000]  滿足的職業
[00:09:29.000 --> 00:09:32.000]  愉快的旅行
[00:09:32.000 --> 00:09:36.000]  人生的經歷等等等等
[00:09:36.000 --> 00:09:41.000]  然而喜樂的火最需要的原料
[00:09:41.000 --> 00:09:46.000]  就是三位一體的神
