
[00:00:00.000 --> 00:00:02.480]  很高興在上個星期
[00:00:02.480 --> 00:00:07.040]  我們有十四位朋友信耶穌
[00:00:07.040 --> 00:00:10.800]  心願我們繼續將福音傳開去
[00:00:10.800 --> 00:00:12.480]  使人得福
[00:00:12.480 --> 00:00:14.520]  我們也得福
[00:00:14.520 --> 00:00:18.560]  如今我們預備牽手煮餐
[00:00:18.560 --> 00:00:20.200]  在牽手煮餐以先
[00:00:20.200 --> 00:00:22.240]  我們讀神的話語
[00:00:22.240 --> 00:00:23.920]  聽神的話語
[00:00:23.920 --> 00:00:28.280]  經文是記載在詩篇第一篇
[00:00:29.600 --> 00:00:31.400]  不從惡人的計謀
[00:00:31.400 --> 00:00:33.360]  不站罪人的道路
[00:00:33.360 --> 00:00:35.960]  不坐涉萬人的座位
[00:00:35.960 --> 00:00:38.640]  為喜愛耶和華的律法
[00:00:38.640 --> 00:00:40.680]  就耶思想
[00:00:40.680 --> 00:00:42.680]  這人便為有福
[00:00:42.680 --> 00:00:45.840]  他要像一火或者一棵
[00:00:45.840 --> 00:00:48.840]  一棵樹栽在溪水旁
[00:00:48.840 --> 00:00:51.320]  按時後結果子
[00:00:51.320 --> 00:00:53.560]  葉子也不枯乾
[00:00:53.560 --> 00:00:56.760]  凡他所做的盡都順利
[00:00:58.320 --> 00:01:00.240]  惡人並不是這樣
[00:01:00.240 --> 00:01:01.960]  乃上康比
[00:01:01.960 --> 00:01:03.440]  被風吹散
[00:01:03.440 --> 00:01:05.920]  因此當審判的時候
[00:01:05.920 --> 00:01:07.720]  惡人必站立不住
[00:01:07.720 --> 00:01:10.720]  罪人在義人的會中
[00:01:10.720 --> 00:01:12.560]  也是如此
[00:01:12.560 --> 00:01:15.760]  因為耶和華知道義人的道路
[00:01:15.760 --> 00:01:18.920]  惡人的道路卻必滅亡
[00:01:18.920 --> 00:01:20.600]  我們同心吐槽
[00:01:20.600 --> 00:01:23.720]  親愛主多謝祢
[00:01:23.720 --> 00:01:28.400]  求祢讓我們能夠回到祢的殿當中
[00:01:28.400 --> 00:01:30.440]  我們一同朝見祢
[00:01:30.440 --> 00:01:33.280]  一同彼此的相愛
[00:01:33.280 --> 00:01:36.080]  一同向祢去禱告
[00:01:36.080 --> 00:01:37.880]  唱詩讚美祢
[00:01:37.880 --> 00:01:40.480]  如今我們眾大兄姊妹們
[00:01:40.480 --> 00:01:41.640]  都預備我們的心
[00:01:41.640 --> 00:01:43.320]  要聽祢的話語
[00:01:43.320 --> 00:01:46.080]  求祢讓我們能夠聽得見
[00:01:46.080 --> 00:01:47.400]  聽得盡
[00:01:47.400 --> 00:01:48.920]  看得見
[00:01:48.920 --> 00:01:50.320]  我們的心
[00:01:50.320 --> 00:01:52.600]  是會相信祢的話語
[00:01:52.600 --> 00:01:54.120]  我們愛慕祢的話語
