
[00:00:00.000 --> 00:00:05.280]  OK 我們讀一段聖經在以塞亞書第43章第18跟19兩節
[00:00:05.280 --> 00:00:06.740]  我們一同來唸 來
[00:00:06.740 --> 00:00:08.380]  葉厚華如此說
[00:00:08.380 --> 00:00:10.920]  你們不要紀念從前的事
[00:00:10.920 --> 00:00:13.480]  也不要思想古時的事
[00:00:13.480 --> 00:00:15.820]  看啊 我要做一件新事
[00:00:15.820 --> 00:00:18.920]  如今要發現 你們豈不知道嗎
[00:00:18.920 --> 00:00:23.200]  我必在曠野開道路 在沙漠開江河
[00:00:23.200 --> 00:00:25.200]  我們就讀到這裡
[00:00:25.200 --> 00:00:30.900]  第29 今天我們真的面對一個不斷快速改變的世代
[00:00:30.900 --> 00:00:33.900]  特別是川普總統上台之後
[00:00:33.900 --> 00:00:36.440]  無論你同不同意他的做法
[00:00:36.440 --> 00:00:39.500]  我們看見整個世界都已經期待
[00:00:39.500 --> 00:00:42.840]  要面臨極大的一個轉變
[00:00:42.840 --> 00:00:44.380]  雖然從人的角度來講
[00:00:44.380 --> 00:00:47.820]  我們總是不喜歡改變 不是嗎
[00:00:47.820 --> 00:00:52.780]  但事實上 改變是人生當中的必然了
[00:00:52.780 --> 00:00:57.100]  光是你每天看見你頭髮越來越白
[00:00:57.100 --> 00:01:00.020]  皺紋越來越多 孩子越來越大
[00:01:00.020 --> 00:01:05.240]  你就知道改變是一個無法阻擋的事實
[00:01:05.240 --> 00:01:06.740]  當然對我們來講
[00:01:06.740 --> 00:01:09.240]  我們雖然是知道我們所處的世代
[00:01:09.240 --> 00:01:11.880]  是個快速成長的世代
[00:01:11.880 --> 00:01:14.740]  但我們心靈深處還是希望
[00:01:14.740 --> 00:01:20.680]  起碼我們生活周圍有一個安全地帶 不是嗎
[00:01:20.680 --> 00:01:22.780]  就像主耶穌基督一樣
[00:01:22.780 --> 00:01:26.080]  主耶穌基督昨日基督知道永遠祂不改變
[00:01:26.080 --> 00:01:31.460]  我們也希望我們所處的環境也永遠不改變
[00:01:31.460 --> 00:01:33.860]  但事實上你需要明白一件事情
[00:01:33.860 --> 00:01:37.800]  雖然神祂自己是永遠不改變
[00:01:37.800 --> 00:01:38.800]  但我卻要告訴你
[00:01:38.800 --> 00:01:41.400]  神所工作的每一個地方
[00:01:41.400 --> 00:01:43.900]  祂都要帶來改變的
[00:01:43.900 --> 00:01:48.840]  因為神的心意就是不要叫我們停留在原狀
[00:01:48.840 --> 00:01:53.080]  神的心意是要我們繼續不斷地跟隨祂
[00:01:53.080 --> 00:01:54.520]  不斷地向前
[00:01:54.520 --> 00:01:58.320]  直到帶領我們到祂的應許之地
[00:01:58.320 --> 00:02:00.820]  所以以賽亞書第四十三章十八節
[00:02:00.820 --> 00:02:06.200]  神在這裡對我們說不要紀念從前的事
[00:02:06.200 --> 00:02:08.660]  不是說從前的事不好
[00:02:08.660 --> 00:02:12.140]  而是說無論從前有多好
[00:02:12.140 --> 00:02:14.300]  神都要對我們說
[00:02:14.300 --> 00:02:15.580]  不要停留
[00:02:15.580 --> 00:02:18.640]  跟你朋友說不要停留
[00:02:18.640 --> 00:02:23.240]  因為我們的神是一位不斷做心事的神
[00:02:23.240 --> 00:02:27.740]  神在不同的時代要做不同的事情
[00:02:27.740 --> 00:02:30.780]  神在每一個教會不同的階段
[00:02:30.780 --> 00:02:33.280]  也要做不同的事情
[00:02:33.280 --> 00:02:36.520]  所以今天教會最重要的責任
[00:02:36.520 --> 00:02:40.120]  就是要跟上神的心意
[00:02:40.120 --> 00:02:41.800]  要在神的心意上
[00:02:41.800 --> 00:02:46.260]  勇敢地跟隨不斷地向前
[00:02:46.260 --> 00:02:49.100]  你說我們今天怎麼樣能夠在神的心意上
[00:02:49.100 --> 00:02:52.700]  勇敢地跟隨不斷地向前呢
[00:02:52.700 --> 00:02:54.640]  今天早上從三方面跟大家來分享
[00:02:54.640 --> 00:02:55.840]  首先第一個
[00:02:55.840 --> 00:03:00.680]  你一定要確信我們有一位獨行騎士的神
[00:03:00.680 --> 00:03:05.280]  跟你們說要確信獨行騎士的神
[00:03:05.280 --> 00:03:08.560]  十篇七十二篇十八節這裡說
[00:03:08.560 --> 00:03:10.860]  獨行騎士的耶和華
[00:03:10.860 --> 00:03:14.160]  以色列的神是應當稱頌的
[00:03:14.160 --> 00:03:16.360]  這裡說我們所信的神
[00:03:16.360 --> 00:03:19.160]  是一位獨行騎士的真神
[00:03:19.160 --> 00:03:20.540]  我好喜歡這個形容
[00:03:20.540 --> 00:03:23.200]  獨行騎士太棒了
[00:03:23.200 --> 00:03:24.900]  換句話說神的作為
[00:03:24.900 --> 00:03:28.940]  永遠是超過我們人所能想像的
[00:03:28.940 --> 00:03:31.780]  神所選擇工作的方式
[00:03:31.780 --> 00:03:36.380]  也常常不是按照我們人所預期的方式
[00:03:36.380 --> 00:03:38.680]  多少時候我們實在看見今天人
[00:03:38.680 --> 00:03:42.180]  我們所能夠看見的太有限了
[00:03:42.180 --> 00:03:46.260]  我們人所能夠想像的也是太有限了
[00:03:46.260 --> 00:03:48.760]  而我們常常就是按照我們人
[00:03:48.760 --> 00:03:51.400]  所有限的看見
[00:03:51.400 --> 00:03:54.760]  按照我們自己所能夠想像的
[00:03:54.760 --> 00:03:57.640]  來限制上帝的作為
[00:03:57.640 --> 00:03:59.540]  以為神也一定要按照
[00:03:59.540 --> 00:04:02.000]  我們所能夠看見的來工作
[00:04:02.000 --> 00:04:06.080]  按照我們所能夠想像的來成就
[00:04:06.080 --> 00:04:07.380]  但事實上
[00:04:07.380 --> 00:04:11.740]  至終神的道路還是高過我們的道路
[00:04:11.740 --> 00:04:16.260]  神的意念還是遠遠高過我們的意念的
