
[00:00:00.000 --> 00:00:12.840]  「爸爸不在家」是很多現代家庭的實況
[00:00:12.840 --> 00:00:18.480]  而很多人把家庭問題歸咎於爸爸的缺席
[00:00:18.480 --> 00:00:22.320]  不過你知不知道最近因為「Work from home」的安排
[00:00:22.320 --> 00:00:24.840]  爸爸變成經常在家
[00:00:24.840 --> 00:00:26.840]  不過你別以為是好事
[00:00:26.840 --> 00:00:29.400]  原來又產生一些實際的問題
[00:00:29.400 --> 00:00:32.320]  是呀,如果爸爸經常在家
[00:00:32.320 --> 00:00:35.760]  其實他們可否專心工作呢?
[00:00:35.760 --> 00:00:38.240]  媽媽見到爸爸在家
[00:00:38.240 --> 00:00:41.400]  自然會希望他分擔家務
[00:00:41.400 --> 00:00:45.280]  於是又可能會有些磨擦
[00:00:45.280 --> 00:00:47.720]  另外,如果子女小的話
[00:00:47.720 --> 00:00:51.160]  又可能經常想爸爸和他們一起玩
[00:00:51.160 --> 00:00:54.560]  那些爸爸可以怎樣做呢?
[00:00:54.560 --> 00:00:59.400]  首先,爸爸要讓家人知道他正在上班
[00:00:59.400 --> 00:01:00.760]  不是在放假
[00:01:00.760 --> 00:01:04.840]  然後很認真地工作,不偷懶
[00:01:04.840 --> 00:01:08.440]  讓家人看到他在工作崗位上
[00:01:08.440 --> 00:01:12.040]  那份工作的操守,做一個好見證
[00:01:12.040 --> 00:01:14.840]  但另一方面,亦可以藉著這個機會
[00:01:14.840 --> 00:01:17.400]  讓家人多了解自己的工作
[00:01:17.400 --> 00:01:20.400]  他應該分享自己當中所遇到的困難
[00:01:20.400 --> 00:01:25.520]  並且要求他的家人和他一起為自己的工作祈禱
[00:01:25.520 --> 00:01:30.520]  是呀,現代的父母多數都是為子女安排一切
[00:01:30.520 --> 00:01:32.240]  現在這段時間
[00:01:32.240 --> 00:01:35.640]  其實父母亦可以教導子女
[00:01:35.640 --> 00:01:38.080]  去分擔一下家裡的責任
[00:01:38.080 --> 00:01:41.720]  大家可以用祈禱彼此守望
[00:01:41.720 --> 00:01:44.480]  子女也可以為父母去祈禱
[00:01:44.480 --> 00:01:47.120]  約翰三書第四字說:
[00:01:47.120 --> 00:01:50.240]  「我聽見我的兒女們按真理而行
[00:01:50.240 --> 00:01:52.880]  我們喜樂就沒有比這個大」
