
[00:00:00.000 --> 00:00:05.040]  各位 主內的弟兄姊妹 來賓 早晨
[00:00:05.040 --> 00:00:11.240]  又歡迎當中的在網上參加崇拜的朋友和弟兄姊妹
[00:00:11.240 --> 00:00:16.440]  我們在5月份開始
[00:00:16.440 --> 00:00:19.800]  母親節那天開始 我們開始了看《殺母耳機》
[00:00:19.800 --> 00:00:24.320]  《殺母耳機》都是很精彩的
[00:00:24.320 --> 00:00:26.800]  很多的英雄人物的故事
[00:00:26.800 --> 00:00:31.280]  我們在日常生活裏面 剛才讀的經文
[00:00:31.280 --> 00:00:34.320]  我們都看到神的話語的重要性
[00:00:34.320 --> 00:00:38.560]  這個神的話語在我們當中有什麼
[00:00:38.560 --> 00:00:40.800]  我們怎樣藉著神的話語認識神呢
[00:00:40.800 --> 00:00:47.400]  我們今天會看看神的話語我們怎樣去認識神
[00:00:47.400 --> 00:00:52.080]  這個主題《殺母耳機》我們會看合神心意的僕人
[00:00:52.080 --> 00:00:54.520]  這本書的主題
[00:00:54.520 --> 00:01:03.400]  在日常生活當中我們都會有俗稱所謂的大數據
[00:01:03.400 --> 00:01:10.840]  在近這四五年裏面 這個字句都經常出現
[00:01:10.840 --> 00:01:12.800]  我們在大數據裏面帶來的
[00:01:12.800 --> 00:01:17.120]  被稱為在零售業裏面被稱為一個革命
[00:01:17.120 --> 00:01:20.760]  我們看到這個時候有很多的數據
[00:01:20.760 --> 00:01:29.840]  是商家透過我們的電話或消費紀錄去看我們的習慣
[00:01:29.840 --> 00:01:33.680]  所以他們可以預計到 看到他們的顧客 商品
[00:01:33.680 --> 00:01:37.600]  他們何時買東西 他們的習慣 他們怎樣選擇
[00:01:37.600 --> 00:01:39.800]  和互相之間的網絡
[00:01:39.800 --> 00:01:45.560]  他們被稱為 可能有人將大數據這個時代
[00:01:45.560 --> 00:01:51.680]  認為是一個資訊的黃金 金礦去形容
[00:01:51.680 --> 00:01:56.720]  真的可以找到一些數據 就好像有一個商機的情況
[00:01:56.720 --> 00:01:59.040]  就算在我們日常生活
[00:01:59.040 --> 00:02:04.280]  就算在我最近去那裏買車保險
[00:02:04.280 --> 00:02:08.880]  他都會問你可不可以跟蹤我的位置
[00:02:08.880 --> 00:02:13.080]  跟蹤我的速度 我的開車的習慣
[00:02:13.080 --> 00:02:19.520]  這種收到的數據 他們覺得很對他們的商機
[00:02:19.520 --> 00:02:22.840]  就算我們在這個資訊發達的社會裏面
[00:02:22.840 --> 00:02:26.720]  在學術界裏面都有很多所謂的人工智能
[00:02:26.720 --> 00:02:29.440]  機械學習的學習
[00:02:29.440 --> 00:02:37.440]  這些都是一種所謂的數據分析的學術課程裏面
[00:02:37.440 --> 00:02:43.960]  在大學裏面 公司的研究各方面都是大數據
[00:02:43.960 --> 00:02:48.840]  這種資訊的期間裏面 怎樣運用這些資訊
[00:02:48.840 --> 00:02:53.200]  就算我們現在在疫情期間
[00:02:53.200 --> 00:02:56.200]  或者在我們平時的基督徒生活裏面
[00:02:56.200 --> 00:02:58.920]  我們都很想去學習神的話語
[00:02:58.920 --> 00:03:05.080]  將這些知識 聖經裏面所講的東西都不斷去吸收
[00:03:05.080 --> 00:03:12.000]  用了很多各種的方式 包羅萬有的方式去認識神
[00:03:12.000 --> 00:03:14.640]  就算我們主義學裏面的弟兄姊妹
[00:03:14.640 --> 00:03:16.840]  我們都有很感謝主
[00:03:16.840 --> 00:03:22.520]  都有50%的會眾都有去上主義學
[00:03:22.520 --> 00:03:28.520]  我們都很渴求在聖經上 神的話語上得到的資訊
[00:03:28.520 --> 00:03:30.760]  知識裏面怎樣去得到
[00:03:30.760 --> 00:03:34.320]  神的話語裏面究竟跟我們講些什麼
[00:03:34.320 --> 00:03:36.360]  在聖經裏面 撒慕爾記裏面
[00:03:36.360 --> 00:03:40.040]  都記載了很多經典的聖經人物的故事
[00:03:40.040 --> 00:03:43.520]  剛才提到都是一個主題 一個合神心意的僕人
[00:03:43.520 --> 00:03:45.440]  怎樣去做一個合神心意的僕人
[00:03:45.440 --> 00:03:50.960]  上個星期 我們看到上星期的經文有一個強烈的對比
[00:03:50.960 --> 00:03:56.760]  以利和以尼加拿 這兩位的父親怎樣去養育他的孩子
[00:03:56.760 --> 00:04:00.520]  他們的態度行為是一個很大的強烈的對比
[00:04:00.520 --> 00:04:04.240]  以利的兩個兒子藐視耶和華的祭物
[00:04:04.240 --> 00:04:09.360]  還在與管理會堂的婦女裏面行入
[00:04:09.360 --> 00:04:12.440]  使得他們大大得罪神
[00:04:12.440 --> 00:04:15.000]  他們又不理會父親的教導
[00:04:15.000 --> 00:04:16.320]  我們今天的故事
[00:04:16.320 --> 00:04:19.760]  我們看到以利和撒慕爾的故事當中
[00:04:19.760 --> 00:04:22.360]  在撒慕爾記第三章
[00:04:22.360 --> 00:04:34.200]  我們看到他們 究竟我們學習一個功課就是
[00:04:34.200 --> 00:04:43.960]  我們怎樣藉著神的話語去認識神
[00:04:43.960 --> 00:04:46.680]  我們一起低頭祈禱離開前
[00:04:46.680 --> 00:04:48.320]  我們的天父上帝 我們感謝祢
[00:04:48.320 --> 00:04:51.240]  祢賜下聖經寶貴的話語給我們
[00:04:51.240 --> 00:04:55.480]  這份禮物 我們非常尊重這份禮物
[00:04:55.480 --> 00:04:59.520]  求神繼續引領我們 求聖靈幫助我們
[00:04:59.520 --> 00:05:04.440]  去明白我們從撒慕爾記第三章的經文當中
[00:05:04.440 --> 00:05:07.080]  學習怎樣去更加認識祢
[00:05:07.080 --> 00:05:10.240]  藉著祢的話語 我們去經歷神
[00:05:10.240 --> 00:05:11.720]  求祢帶領以下的時間
[00:05:11.720 --> 00:05:12.680]  我們以上的禱告
[00:05:12.680 --> 00:05:14.760]  是奉主耶穌 得聖的免治祈禱
[00:05:14.760 --> 00:05:16.280]  阿門
[00:05:16.280 --> 00:05:19.160]  這個故事就在剛才大家所讀的經文當中
[00:05:19.160 --> 00:05:22.040]  第一至第四節那裏開始
[00:05:22.040 --> 00:05:24.080]  那時候撒慕爾還是一個小朋友
[00:05:24.080 --> 00:05:27.120]  大約是童子的年份 大約是十二歲左右
[00:05:27.120 --> 00:05:30.560]  他就在會幕裏面侍奉
[00:05:30.560 --> 00:05:32.640]  他就跟著祭司以來
[00:05:32.640 --> 00:05:34.200]  好像是他的mentor
[00:05:34.200 --> 00:05:35.560]  好像是他的長輩
[00:05:35.560 --> 00:05:39.080]  去學習怎樣在神的會幕裏面侍奉
[00:05:39.080 --> 00:05:40.440]  他敬拜
[00:05:40.440 --> 00:05:41.960]  當時的日子
[00:05:41.960 --> 00:05:46.600]  就是剛剛從祭司的年代轉接到這個年代裏面
[00:05:46.600 --> 00:05:50.000]  當時耶和華的言語稀少
[00:05:50.000 --> 00:05:51.960]  耶和華很少跟祂說話
[00:05:51.960 --> 00:05:54.920]  耶和華的話語是很真實的
[00:05:54.920 --> 00:05:58.280]  非常 耶和華的話語是很珍貴的
[00:05:58.280 --> 00:05:59.800]  很寶貴的說話
[00:05:59.800 --> 00:06:04.200]  祂不是經常透過先知
[00:06:04.200 --> 00:06:08.240]  去將祂的意象告訴以色列民聽
[00:06:08.240 --> 00:06:11.320]  所以這個日子是言語稀少
[00:06:11.320 --> 00:06:15.560]  和不經常有意象給大家看到
[00:06:15.560 --> 00:06:20.240]  有一天 以利就在自己的地方睡覺的時候
[00:06:20.240 --> 00:06:21.520]  在自己的地方
[00:06:21.520 --> 00:06:25.200]  我們看回撒末爾記上的第一章第二章的時候
[00:06:25.200 --> 00:06:27.360]  都看到 究竟當時的會幕
