
[00:00:00.000 --> 00:00:02.240]  (主席) 早晨! 各位姐妹!
[00:00:02.240 --> 00:00:06.760]  (主席) 今天我們想討論一個很切身的話題
[00:00:06.760 --> 00:00:10.280]  (主席) 我們今年一直都在討論 NEXT
[00:00:10.280 --> 00:00:15.800]  (主席) 但我覺得有些話題我們不妨在講台上大家思想一下
[00:00:15.800 --> 00:00:18.040]  (主席) 特別是女性的侍奉
[00:00:18.040 --> 00:00:21.000]  (主席) 在教會裏面女性的侍奉和角色是怎樣的呢?
[00:00:21.000 --> 00:00:22.520]  (主席) 還有她們的重要性在哪裏呢?
[00:00:22.520 --> 00:00:24.320]  (主席) 這個是很切身的問題
[00:00:24.320 --> 00:00:28.920]  (主席) 因為最近我們的總會美男浸稅會
[00:00:28.920 --> 00:00:33.720]  (主席) 在他們的大會裏面有一個議案通過了
[00:00:33.720 --> 00:00:38.320]  (主席) 就是他們大比數通過這個議案
[00:00:38.320 --> 00:00:42.640]  (主席) 讓女性在教會裏面的侍奉
[00:00:42.640 --> 00:00:46.640]  (主席) 將她限制於非成人
[00:00:46.640 --> 00:00:48.080]  (主席) 即是小朋友等等
[00:00:48.080 --> 00:00:52.000]  (主席) 美男浸稅會不是靚仔的意思
[00:00:52.000 --> 00:00:55.320]  (主席) 美男浸稅會是美國南方浸稅會
[00:00:55.320 --> 00:00:59.360]  (主席) 美國南方浸稅會是美國裏面最大的一個中派
[00:00:59.360 --> 00:01:02.240]  (主席) 我們教會是屬於美男浸稅會的
[00:01:02.240 --> 00:01:04.240]  (主席) 不是因為我們靚仔而是
[00:01:04.240 --> 00:01:06.480]  (主席) 因為我們本身開堂的時候
[00:01:06.480 --> 00:01:09.960]  (主席) 是美男浸稅會的網絡幫助我們的
[00:01:09.960 --> 00:01:11.680]  (主席) 他們的大會正如我所說
[00:01:11.680 --> 00:01:14.080]  (主席) 就是四分之三通過
[00:01:14.080 --> 00:01:18.560]  (主席) 女性在教會裏面的侍奉是需要限制的
[00:01:18.560 --> 00:01:21.440]  (主席) 即是說只是教導小朋友
[00:01:21.440 --> 00:01:25.560]  (主席) 或者成人的教導和成人的講道
[00:01:25.560 --> 00:01:28.960]  (主席) 女性是不可以這樣做的
[00:01:28.960 --> 00:01:30.720]  (主席) 理據是很簡單的
[00:01:30.720 --> 00:01:33.840]  (主席) 他們的理據就是聖經這樣說
[00:01:33.840 --> 00:01:35.080]  (主席) 聖經這樣說
[00:01:35.080 --> 00:01:37.080]  (主席) 所以這是一個切身的問題
[00:01:37.080 --> 00:01:39.240]  (主席) 無論你是今天第一次來教會
[00:01:39.240 --> 00:01:41.240]  (主席) 或者你完全不認識聖經
[00:01:41.240 --> 00:01:43.240]  (主席) 這也是一個很切身的問題
[00:01:43.240 --> 00:01:44.040]  (主席) 為什麼呢?
[00:01:44.040 --> 00:01:46.160]  (主席) 因為怎樣去應用聖經
[00:01:46.160 --> 00:01:47.520]  (主席) 怎樣去理解聖經
[00:01:47.520 --> 00:01:49.920]  (主席) 很多時候都是我們今天的話題
[00:01:49.920 --> 00:01:52.480]  (主席) 有些人會用聖經或者聖經的說話
[00:01:52.480 --> 00:01:55.360]  (主席) 或者經文去做不同的事情
[00:01:55.360 --> 00:01:59.800]  (主席) 可以去到起乾戈 打仗
[00:01:59.800 --> 00:02:02.560]  (主席) 都可以用聖經來支持的
[00:02:02.560 --> 00:02:07.600]  (主席) 做很多事情都可以用聖經來做理據的
[00:02:07.600 --> 00:02:11.160]  (主席) 兩夫妻吵架都可以突然拿出一本聖經
[00:02:11.160 --> 00:02:13.560]  (主席) 聖經叫你赦免我
[00:02:13.560 --> 00:02:15.040]  (主席) 聖經叫你忍耐
[00:02:15.040 --> 00:02:16.560]  (主席) 為什麼你不忍耐?
[00:02:16.560 --> 00:02:19.360]  (主席) 所以這個是和我們切身的
[00:02:19.360 --> 00:02:20.960]  (主席) 就算你沒接觸過聖經
[00:02:20.960 --> 00:02:22.040]  (主席) 你第一次來教會
[00:02:22.040 --> 00:02:26.120]  (主席) 你都想明白聖經這本書到底是一本什麼事
[00:02:26.120 --> 00:02:30.520]  (主席) 因為在教會裡面 特別基督徒的世界裡面
[00:02:30.520 --> 00:02:33.200]  (主席) 聖經是絕對的權威
[00:02:33.200 --> 00:02:36.280]  (主席) 所以我們很多時候會訴諸於聖經
[00:02:36.280 --> 00:02:40.080]  (主席) 特別我們更正教 所謂新教 基督教
[00:02:40.080 --> 00:02:43.080]  (主席) 我們和羅馬天主教是有點不同的
[00:02:43.080 --> 00:02:45.040]  (主席) 因為我們的權威性在哪裡?
[00:02:45.040 --> 00:02:46.520]  (主席) 是唯獨聖經
[00:02:46.520 --> 00:02:50.360]  (主席) 所以我們永遠都是說回到聖經 Return to the Bible
[00:02:50.360 --> 00:02:53.400]  (主席) 所以我們需要思想一下
[00:02:53.400 --> 00:02:59.640]  (主席) 到底你聽到一些引用聖經
[00:02:59.640 --> 00:03:02.880]  (主席) 去到有聖經支持的一些理論
[00:03:02.880 --> 00:03:04.960]  (主席) 或者一些想法 概念
[00:03:04.960 --> 00:03:07.200]  (主席) 到底是不是真的合乎聖經的呢?
[00:03:07.200 --> 00:03:12.040]  (主席) 所以我們需要嘗試去思考一下這個問題
[00:03:12.040 --> 00:03:16.680]  (主席) 因為很容易我們會說 聖經這樣說
[00:03:16.680 --> 00:03:17.720]  (主席) 這是聖經的權威
[00:03:17.720 --> 00:03:19.720]  (主席) 所以 Case Closed
[00:03:19.720 --> 00:03:21.880]  (主席) 那就不需要再討論了
[00:03:21.880 --> 00:03:25.840]  (主席) 我記得我年輕的時候想起一件事
[00:03:25.840 --> 00:03:30.480]  (主席) 就是我大學的時候 我是很喜歡專學問難的
[00:03:30.480 --> 00:03:35.200]  (主席) 聽完講道 我就去挑戰那位牧師
