
[00:00:00.000 --> 00:00:02.000]  當我預備這個講道的時候
[00:00:02.000 --> 00:00:04.000]  我就問神
[00:00:04.000 --> 00:00:07.000]  這個星期我相信大家都覺得很難過
[00:00:07.000 --> 00:00:12.000]  有什麼說話是真的很想和大家去講呢?
[00:00:12.000 --> 00:00:15.000]  我覺得從心底裏面就有一個說話
[00:00:15.000 --> 00:00:16.000]  就想問
[00:00:16.000 --> 00:00:19.000]  這個星期你們覺得怎樣?
[00:00:19.000 --> 00:00:21.000]  我收到不少訊息
[00:00:21.000 --> 00:00:24.000]  有些肢體在不同的掙扎裏面
[00:00:24.000 --> 00:00:28.000]  其實是由細至大都受影響
[00:00:28.000 --> 00:00:30.000]  小的就開始復課
[00:00:30.000 --> 00:00:33.000]  但都會不習慣網上的生活
[00:00:33.000 --> 00:00:36.000]  青少年可能慢慢習慣了
[00:00:36.000 --> 00:00:40.000]  但卻是已經沒什麼動力離開家裏
[00:00:40.000 --> 00:00:42.000]  或者被窩了
[00:00:42.000 --> 00:00:44.000]  因為出去又沒有任何的娛樂
[00:00:44.000 --> 00:00:48.000]  還有其實已經沒什麼動力和人接觸
[00:00:48.000 --> 00:00:50.000]  再大一點
[00:00:50.000 --> 00:00:52.000]  就是工作上的掙扎
[00:00:52.000 --> 00:00:55.000]  停下了他的工作
[00:00:55.000 --> 00:00:56.000]  沒糧出
[00:00:56.000 --> 00:00:59.000]  回到家裏面對著父母
[00:00:59.000 --> 00:01:01.000]  父母可能有不同的牢騷
[00:01:01.000 --> 00:01:02.000]  去罵他
[00:01:02.000 --> 00:01:04.000]  沒什麼空間在家裏
[00:01:04.000 --> 00:01:08.000]  其實心裏面都非常煩躁和辛苦
[00:01:08.000 --> 00:01:09.000]  作為家長的
[00:01:09.000 --> 00:01:10.000]  要照顧三餐
[00:01:10.000 --> 00:01:12.000]  又要謀生
[00:01:12.000 --> 00:01:14.000]  但卻是停工
[00:01:14.000 --> 00:01:16.000]  可能都影響家庭的收入
[00:01:16.000 --> 00:01:17.000]  生計
[00:01:17.000 --> 00:01:21.000]  有些在高一點領導的層面
[00:01:21.000 --> 00:01:23.000]  可能處身的狀況
[00:01:23.000 --> 00:01:24.000]  很多防疫的措施
[00:01:24.000 --> 00:01:26.000]  很多即時的調動
[00:01:26.000 --> 00:01:27.000]  很巨大的壓力
[00:01:27.000 --> 00:01:30.000]  以致都未必睡得好
[00:01:30.000 --> 00:01:33.000]  所以我相信在不同狀態的你們
[00:01:33.000 --> 00:01:37.000]  都有一些很難過的時刻
[00:01:37.000 --> 00:01:41.000]  今天我們透過看保羅對教會的說話
[00:01:41.000 --> 00:01:45.000]  都成為我們面對艱難時的一些激勵
[00:01:45.000 --> 00:01:49.000]  我們一同去祈禱
[00:01:49.000 --> 00:01:54.000]  我想你將這一刻的心情去跟神說
[00:01:54.000 --> 00:01:57.000]  不知你最近的狀態是怎樣
[00:01:57.000 --> 00:02:00.000]  今個星期睡得好不好
[00:02:00.000 --> 00:02:02.000]  有沒有一些忽然的驚恐
[00:02:02.000 --> 00:02:03.000]  嬲怒
[00:02:03.000 --> 00:02:07.000]  或者很頹很灰心失望的狀態
