
[00:00:00.000 --> 00:00:01.000]  第一節未平安
[00:00:01.000 --> 00:00:03.840]  歡迎來到我們的復活節主日
[00:00:03.840 --> 00:00:06.520]  今天我們會從一節的經文
[00:00:06.520 --> 00:00:10.280]  就是約翰福音第20章15節
[00:00:10.280 --> 00:00:14.680]  來看看主耶穌復活後所問我們的兩個問題
[00:00:14.680 --> 00:00:19.320]  也是我們人生必須要面對的兩個問題
[00:00:19.320 --> 00:00:22.000]  所以今天我們先看開場白
[00:00:22.000 --> 00:00:24.200]  一節背景的經文
[00:00:24.200 --> 00:00:26.680]  就是約翰福音20章第一節
[00:00:26.680 --> 00:00:28.760]  說到耶穌的空墳墓
[00:00:28.760 --> 00:00:31.120]  七日的第一日清早
[00:00:31.120 --> 00:00:33.240]  天還黑的時候
[00:00:33.240 --> 00:00:37.520]  莫大拉的瑪利亞來到墳墓那裡
[00:00:37.520 --> 00:00:42.880]  看見石頭從墳墓挪開了
[00:00:42.880 --> 00:00:47.320]  兩千年前在以色列耶路撒冷
[00:00:47.320 --> 00:00:52.360]  當時的風俗的墳墓就像這張圖片一樣
[00:00:52.360 --> 00:00:53.800]  就是屍體放在裡面
[00:00:53.800 --> 00:00:56.560]  然後外面有一個很大的滾石
[00:00:56.560 --> 00:00:59.640]  就覆蓋著這個門口
[00:00:59.640 --> 00:01:02.200]  所以當瑪利亞來到墳墓的時候
[00:01:02.200 --> 00:01:04.800]  看見石頭已經挪開了
[00:01:04.800 --> 00:01:08.760]  所以就變成不見了主耶穌的身體
[00:01:08.760 --> 00:01:13.560]  所以今天的男主角就是主耶穌基督
[00:01:13.560 --> 00:01:16.240]  但這節經文我們先看看
[00:01:16.240 --> 00:01:18.600]  莫大拉的瑪利亞
[00:01:18.600 --> 00:01:20.360]  這段經文的女主角
[00:01:20.360 --> 00:01:22.200]  她到底是誰呢?
[00:01:22.200 --> 00:01:23.880]  其實莫大拉的瑪利亞
[00:01:23.880 --> 00:01:29.240]  在歷史當中是一個非常具有爭議性的人物
[00:01:29.240 --> 00:01:32.640]  她的爭議性是很早就有的
[00:01:32.640 --> 00:01:38.880]  在主後的591年
[00:01:38.880 --> 00:01:42.720]  當時的教皇Pope Gregory一世
[00:01:42.720 --> 00:01:45.960]  也將莫大拉的瑪利亞
[00:01:45.960 --> 00:01:50.160]  稱之為一個prostitute
[00:01:50.160 --> 00:01:52.800]  所以到底她是不是一個prostitute呢?
[00:01:52.800 --> 00:01:54.800]  因為Pope Gregory I
[00:01:54.800 --> 00:01:58.480]  他就將莫大拉的瑪利亞
[00:01:58.480 --> 00:02:00.440]  他就將她當成
[00:02:00.440 --> 00:02:02.240]  在福音書裡面說的
[00:02:02.240 --> 00:02:04.880]  當主耶穌和法利賽人吃飯的時候
[00:02:04.880 --> 00:02:06.600]  突然有一個婦人進來
[00:02:06.600 --> 00:02:08.480]  一個有罪的女人
[00:02:08.480 --> 00:02:10.440]  她就覺得這是一個prostitute
[00:02:10.440 --> 00:02:12.080]  一個sex worker
[00:02:12.080 --> 00:02:15.000]  這個有罪的女人就帶著一瓶香膏
[00:02:15.000 --> 00:02:17.960]  來幫主耶穌洗她的腳
