
[00:00:00.000 --> 00:00:02.000]  領展會平安
[00:00:02.000 --> 00:00:06.000]  今天是張林奇第四主日
[00:00:06.000 --> 00:00:08.000]  但是在崇基禮拜堂
[00:00:08.000 --> 00:00:11.000]  今天還有另外一個很特別的事情
[00:00:11.000 --> 00:00:15.000]  就是今天是洗禮的日子
[00:00:15.000 --> 00:00:17.000]  今天將會有十位成人
[00:00:17.000 --> 00:00:21.000]  和兩位兒童接受洗禮
[00:00:21.000 --> 00:00:23.000]  有沒有聽過有人說
[00:00:23.000 --> 00:00:27.000]  洗禮是他第二個生日
[00:00:27.000 --> 00:00:30.000]  就是說洗禮的人
[00:00:30.000 --> 00:00:36.000]  會視洗禮為一個新生命的開始
[00:00:36.000 --> 00:00:41.000]  一個新生命的開始帶給人盼望
[00:00:41.000 --> 00:00:43.000]  一個新生命的開始
[00:00:43.000 --> 00:00:48.000]  令人想像到事情會不會由壞變好
[00:00:48.000 --> 00:00:51.000]  或者由好變更好
[00:00:51.000 --> 00:00:56.000]  為一個現象、一個現況帶來一個突破
[00:00:56.000 --> 00:00:58.000]  相信很多人都有這樣的想法
[00:00:58.000 --> 00:01:00.000]  你記不記得
[00:01:00.000 --> 00:01:03.000]  在武俠小說《倚天屠龍記》裏面
[00:01:03.000 --> 00:01:05.000]  張無忌的出生
[00:01:05.000 --> 00:01:10.000]  為金毛獅王謝信帶來一個什麼樣的改變
[00:01:10.000 --> 00:01:15.000]  話說金毛獅王謝信
[00:01:15.000 --> 00:01:17.000]  張翠珊和甄掃掃
[00:01:17.000 --> 00:01:22.000]  他們三個流落在冰火島
[00:01:22.000 --> 00:01:25.000]  甄掃掃腹大便便
[00:01:25.000 --> 00:01:28.000]  到了要生孩子的時候
[00:01:28.000 --> 00:01:32.000]  他們兩個身手父母不是很興奮
[00:01:32.000 --> 00:01:34.000]  而是很擔心
[00:01:34.000 --> 00:01:36.000]  擔心什麼呢
[00:01:36.000 --> 00:01:39.000]  因為他們看到金毛獅王謝信的樣子
[00:01:39.000 --> 00:01:41.000]  越來越兇狠
[00:01:41.000 --> 00:01:45.000]  時不時拿出屠龍刀胡亂揮舞
[00:01:45.000 --> 00:01:47.000]  他們很擔心
[00:01:47.000 --> 00:01:49.000]  有一天
[00:01:49.000 --> 00:01:55.000]  他們的孩子會死在這把屠龍刀之下
[00:01:55.000 --> 00:01:58.000]  當孩子快出生的時候
[00:01:58.000 --> 00:02:03.000]  謝信有一天又把這把屠龍刀拿出來胡亂揮舞
[00:02:03.000 --> 00:02:05.000]  並且咒天罵地
[00:02:05.000 --> 00:02:08.000]  大聲地罵張翠珊算什麼
[00:02:08.000 --> 00:02:12.000]  他的徒弟更加不算什麼
[00:02:12.000 --> 00:02:16.000]  我要殺了他老婆再說
[00:02:16.000 --> 00:02:20.000]  於是他拿著屠龍刀衝進山洞裡
[00:02:20.000 --> 00:02:24.000]  張翠珊就力圖阻止他
[00:02:24.000 --> 00:02:26.000]  刀光劍影
[00:02:26.000 --> 00:02:28.000]  在這個時候
[00:02:28.000 --> 00:02:31.000]  張翠珊發現他應該擋不住的了
[00:02:31.000 --> 00:02:34.000]  突然間聽到嘩一聲
[00:02:34.000 --> 00:02:36.000]  是嬰兒的哭聲
[00:02:36.000 --> 00:02:39.000]  張翠珊馬上走過去看嬰兒
[00:02:39.000 --> 00:02:42.000]  都不理得謝信
[00:02:42.000 --> 00:02:45.000]  他望著嬰兒
[00:02:45.000 --> 00:02:47.000]  心裡想
[00:02:47.000 --> 00:02:50.000]  只要謝信一刀砍下來
[00:02:50.000 --> 00:02:53.000]  就一刀三鳴
[00:02:53.000 --> 00:02:56.000]  但是這個時候
[00:02:56.000 --> 00:03:00.000]  突然間有把聲音問
[00:03:00.000 --> 00:03:03.000]  出世了嗎
[00:03:03.000 --> 00:03:04.000]  張翠珊說
[00:03:04.000 --> 00:03:06.000]  是啊
[00:03:06.000 --> 00:03:08.000]  是男還是女啊
[00:03:08.000 --> 00:03:11.000]  是個男的
[00:03:11.000 --> 00:03:13.000]  剪了磁帶沒有
[00:03:13.000 --> 00:03:15.000]  張翠珊說
