
[00:00:00.000 --> 00:00:08.000]  各位聽眾,我們今天一起來分享路加福音一段經文
[00:00:08.000 --> 00:00:14.000]  在路加福音第十一章二十九至三十二節
[00:00:14.000 --> 00:00:20.000]  我們一起讀讀這段經文,只有四節
[00:00:20.000 --> 00:00:22.000]  好,預備起
[00:00:22.000 --> 00:00:25.000]  眾人越來越擠擁的時候
[00:00:25.000 --> 00:00:29.000]  耶穌說:這世代是一個邪惡的世代
[00:00:29.000 --> 00:00:31.000]  他們求看神蹟
[00:00:31.000 --> 00:00:37.000]  除了若拿的神蹟以外,再沒有神蹟給他們看了
[00:00:37.000 --> 00:00:41.000]  若拿怎樣的人成了神蹟
[00:00:41.000 --> 00:00:46.000]  人子也要照樣為這世代的人成為神蹟
[00:00:46.000 --> 00:00:53.000]  在審判的時候,南方的女王要起來定這世代的人的罪
[00:00:53.000 --> 00:00:59.000]  因為她從地極而來,要聽所羅門智慧的話
[00:00:59.000 --> 00:01:02.000]  看那,比所羅門更大的在這裡
[00:01:02.000 --> 00:01:08.000]  在審判的時候,尼尼美人要起來定這世代的罪
[00:01:08.000 --> 00:01:13.000]  因為尼尼美人聽了若拿所傳的就悔改了
[00:01:13.000 --> 00:01:17.000]  看那,比若拿更大的在這裡
[00:01:20.000 --> 00:01:26.000]  大家可以想像,如果在一個交通意外裡
[00:01:26.000 --> 00:01:35.000]  有一個婦人被一輛高速駛過的電單車撞到拋上半空
[00:01:35.000 --> 00:01:40.000]  當她跌下來的時候,撞在石壆上
[00:01:40.000 --> 00:01:46.000]  醫生認為她最好的情況將會是成為一個植物人
[00:01:46.000 --> 00:01:55.000]  但竟然在一個月之後,她能夠醒來並向家人發脾氣
[00:01:55.000 --> 00:02:00.000]  大家想想,這是不是一個神蹟呢?
[00:02:00.000 --> 00:02:06.000]  應該是的,是神特別的眷顧和醫治
[00:02:06.000 --> 00:02:11.000]  有一個患了腎病的女士
[00:02:11.000 --> 00:02:16.000]  醫生認為她懷孕生子等於自殺
[00:02:16.000 --> 00:02:20.000]  但結果這個媽媽冒著很大的生命危險
[00:02:20.000 --> 00:02:23.000]  生了一個兒子
[00:02:23.000 --> 00:02:27.000]  而這個兒子竟然被發現是一個知幽的兒童
[00:02:27.000 --> 00:02:34.000]  得到一個特別的計劃來幫助,讓他好好的成長
[00:02:34.000 --> 00:02:36.000]  這是不是神蹟呢?
[00:02:36.000 --> 00:02:42.000]  是,是上帝很賜福這位媽媽的家庭
[00:02:42.000 --> 00:02:48.000]  在今天一個科技發達的社會裡
[00:02:48.000 --> 00:02:55.000]  很多事情我們都能夠解釋,控制,甚至乎干預
[00:02:55.000 --> 00:03:01.000]  例如我們今天吃很多東西,經過基因改造
[00:03:01.000 --> 00:03:05.000]  以前是要用農藥的,其實現在不用用農藥
[00:03:05.000 --> 00:03:08.000]  只要在植物上做一些手腳
[00:03:08.000 --> 00:03:12.000]  那些蟲就不會去吃那些果實
[00:03:12.000 --> 00:03:14.000]  為什麼會這樣呢?
[00:03:14.000 --> 00:03:21.000]  因為經過蟲知道這個果實對牠們來說沒有吸引力
[00:03:21.000 --> 00:03:24.000]  做了這些干預之後
[00:03:24.000 --> 00:03:29.000]  除了蟲不去吃我們本來可以吃的東西之外
[00:03:29.000 --> 00:03:33.000]  還可能可以增加產量
[00:03:33.000 --> 00:03:36.000]  把生長的速度加快
[00:03:36.000 --> 00:03:38.000]  還有可能改變了味道
[00:03:38.000 --> 00:03:43.000]  例如看著西瓜,吃下去有芒果味
[00:03:43.000 --> 00:03:45.000]  嘩,是不是很精彩呢?
[00:03:45.000 --> 00:03:49.000]  一次過滿足了兩種願望
[00:03:49.000 --> 00:03:55.000]  這是我們今天的世界,今天的情況
[00:03:55.000 --> 00:04:00.000]  神蹟對我們來說越來越少為之
[00:04:00.000 --> 00:04:03.000]  因為我們有太多東西可以做
[00:04:03.000 --> 00:04:10.000]  我們的健康,我們的壽命都因著這些科技而帶來很多改變
[00:04:10.000 --> 00:04:12.000]  我們人可以越來越長命
[00:04:12.000 --> 00:04:15.000]  有更多不同的病,我們好像不怕
[00:04:15.000 --> 00:04:20.000]  雖然有些新的東西出現可能會令我們有一段時間的威脅
[00:04:20.000 --> 00:04:23.000]  但很快似乎我們又可以駕馭了
[00:04:23.000 --> 00:04:28.000]  當人的能力可以控制的範圍越來越大的話
[00:04:28.000 --> 00:04:33.000]  是不是神的位置真的會越來越小呢?
[00:04:33.000 --> 00:04:39.000]  今天我們看到有很多很多的人
[00:04:39.000 --> 00:04:43.000]  認為靠人的方法就可以了
[00:04:43.000 --> 00:04:46.000]  不需要理會神
[00:04:46.000 --> 00:04:51.000]  有些人認為像耶穌這樣的時代
[00:04:51.000 --> 00:04:53.000]  神蹟是用來做什麼的呢?
[00:04:53.000 --> 00:04:57.000]  神蹟不是用來幫助我們去解決問題
[00:04:57.000 --> 00:05:00.000]  神蹟是一些把戲
[00:05:00.000 --> 00:05:02.000]  是一些表演的項目
[00:05:02.000 --> 00:05:04.000]  耶穌,請祢露兩手
[00:05:04.000 --> 00:05:07.000]  讓我看看祢有多大的能力
[00:05:07.000 --> 00:05:11.000]  隨時因著人的喜好就可以拿出來
