
[00:00:00.000 --> 00:00:01.940]  上次我們講羅馬書第六章的時候
[00:00:01.940 --> 00:00:03.020]  已經面對這個問題
[00:00:03.020 --> 00:00:05.380]  就是,是不是信仰就是這麼簡單呢?
[00:00:05.380 --> 00:00:07.200]  當我們能夠背熟這六個字
[00:00:07.200 --> 00:00:09.820]  我們的生命就真的可以實踐到
[00:00:09.820 --> 00:00:11.940]  向罪死,向神活呢?
[00:00:11.940 --> 00:00:15.700]  普羅用了羅馬書第七章和第八章
[00:00:15.700 --> 00:00:19.460]  進一步的,逐步逐步的去剖析這件事情
[00:00:19.460 --> 00:00:21.420]  但是在剖析的過程裏面
[00:00:21.420 --> 00:00:22.700]  因為今天我們時間的關係
[00:00:22.700 --> 00:00:25.180]  我們不能夠講完兩章的聖經
[00:00:25.180 --> 00:00:26.500]  一會兒我講下去你就知道了
[00:00:26.500 --> 00:00:29.020]  只是解釋第七章都需要很長的時間
[00:00:29.020 --> 00:00:32.780]  我們將在下一次講羅馬書第八章的時候
[00:00:32.780 --> 00:00:33.860]  將這兩章加起來
[00:00:33.860 --> 00:00:38.060]  就是一個很完整的關於福音的內容
[00:00:38.060 --> 00:00:39.900]  究竟在羅馬書第一章講
[00:00:39.900 --> 00:00:41.220]  福音本是神的大能
[00:00:41.220 --> 00:00:43.260]  這個大能是指著什麼呢?
[00:00:43.260 --> 00:00:46.220]  這個大能是不是指著我們什麼都可以做呢?
[00:00:46.220 --> 00:00:47.140]  當然不是
[00:00:47.140 --> 00:00:50.500]  這個大能是指著我們能夠靠著基督的救贖
[00:00:50.500 --> 00:00:52.860]  能夠得聖罪的可能性
[00:00:52.860 --> 00:00:57.100]  當是討論到向神活,向罪死的時候
[00:00:57.100 --> 00:00:59.780]  保羅就要提到律法的問題
[00:00:59.780 --> 00:01:01.420]  為什麼要提到律法的問題呢?
[00:01:01.420 --> 00:01:05.660]  因為在第六章已經提到律法的問題
[00:01:05.660 --> 00:01:09.700]  因為在猶太人來說引以為傲的原因
[00:01:09.700 --> 00:01:13.780]  是上帝將十誡頒佈了給他們
[00:01:13.780 --> 00:01:16.420]  整個羅馬書第七章的律法
[00:01:16.420 --> 00:01:21.140]  是在講舊約聖經裏面的十誡
[00:01:21.140 --> 00:01:23.220]  十誡去到新約
[00:01:23.220 --> 00:01:24.820]  十條的誡命
[00:01:24.820 --> 00:01:29.820]  是去到新約的時候發展到由法理塞人和文士
[00:01:29.820 --> 00:01:33.900]  一直傳適下去就增加到613條
[00:01:33.900 --> 00:01:38.220]  想像下由十條的誡命變成613條
[00:01:38.220 --> 00:01:39.700]  有什麼人可以守得到呢?
[00:01:39.700 --> 00:01:41.980]  在新的聖經裏面就提到
[00:01:41.980 --> 00:01:46.060]  只要有人遵守誡命裏面是違反了一條
[00:01:46.060 --> 00:01:48.220]  守了九條,違反了一條
[00:01:48.220 --> 00:01:51.020]  仍然都是犯了律法
[00:01:51.020 --> 00:01:58.580]  這個是整個猶太人的領受十誡之後的一種經驗
[00:01:58.580 --> 00:02:02.460]  當猶太人領受了律法引以為傲之後
[00:02:02.460 --> 00:02:04.100]  保羅必須要解釋
[00:02:04.100 --> 00:02:07.700]  律法和罪原來是久纏不清的
[00:02:07.700 --> 00:02:09.940]  如果今天我們人要勝過罪的話
[00:02:09.940 --> 00:02:13.540]  靠著律法勝過罪是可不可能的呢?
[00:02:13.540 --> 00:02:16.900]  保羅可以在第七章裏面探討這個問題
[00:02:16.900 --> 00:02:18.220]  他先提到
[00:02:18.220 --> 00:02:22.620]  人在律法底下是基於人仍然活著
[00:02:22.620 --> 00:02:24.300]  所以人死了之後
[00:02:24.300 --> 00:02:27.300]  律法對我們來說就沒有意義了,對不對?
[00:02:27.300 --> 00:02:29.260]  人是活著才有意義
[00:02:29.260 --> 00:02:32.580]  同樣的比喻他就用了夫妻的比喻
[00:02:32.580 --> 00:02:40.980]  猶太人的婚盟是一種合約
[00:02:40.980 --> 00:02:42.860]  各位電視節目有很多人認為
[00:02:42.860 --> 00:02:44.460]  現在這個世代裏面
[00:02:44.460 --> 00:02:47.420]  歐美我們開始出現了一些問題
[00:02:47.420 --> 00:02:49.220]  同居的人比結婚的人多
[00:02:49.220 --> 00:02:50.900]  因為好像在荷蘭
[00:02:50.900 --> 00:02:53.020]  你同居享有的福利
[00:02:53.020 --> 00:02:55.620]  和結婚的福利是差不多一樣的
[00:02:55.620 --> 00:02:56.980]  那為甚麼要結婚呢?
[00:02:56.980 --> 00:02:58.380]  如果結婚是要離婚
[00:02:58.380 --> 00:03:00.460]  離婚之後要有贍養費
[00:03:00.460 --> 00:03:01.740]  要分家產的
[00:03:01.740 --> 00:03:02.740]  那不如同居
[00:03:02.740 --> 00:03:03.820]  同居一分手的時候
[00:03:03.820 --> 00:03:06.260]  甚麼都很乾淨、很快手
[00:03:06.260 --> 00:03:11.700]  最近美國通過了同性婚姻的合法
[00:03:11.700 --> 00:03:13.500]  但我們開始要問這個問題
[00:03:13.500 --> 00:03:15.980]  法律上認為是合法的東西
[00:03:15.980 --> 00:03:19.380]  是否道德上認為是OK的呢?
[00:03:19.380 --> 00:03:20.700]  我們問一個問題
[00:03:20.700 --> 00:03:23.860]  法律上認為是可行的東西
[00:03:23.860 --> 00:03:25.100]  合法的東西
[00:03:25.100 --> 00:03:28.300]  但道德上是否認為是OK的呢?
[00:03:28.300 --> 00:03:29.540]  我怎樣說呢?
[00:03:29.540 --> 00:03:31.340]  在我中國幾千年歷史裏面
[00:03:31.340 --> 00:03:32.180]  姐妹你要知道
[00:03:32.180 --> 00:03:33.620]  中國幾千年歷史裏面
[00:03:33.620 --> 00:03:38.380]  我們是合法地一夫多妻的
[00:03:38.380 --> 00:03:39.540]  我們不能夠
[00:03:39.540 --> 00:03:41.460]  吻滅了我們幾千年的歷史
[00:03:41.460 --> 00:03:44.060]  即是不只是皇帝才可以擁有很多老婆
[00:03:44.060 --> 00:03:46.220]  平民老百姓都是一夫多妻
[00:03:46.220 --> 00:03:47.060]  是合法的
[00:03:47.060 --> 00:03:48.100]  你很清楚
[00:03:48.100 --> 00:03:50.860]  有沒有限定只能夠納多少個妾呢?
[00:03:50.860 --> 00:03:51.820]  是沒有限定的
[00:03:51.820 --> 00:03:52.580]  你有多少錢
[00:03:52.580 --> 00:03:53.340]  你養到多少個妾
[00:03:53.340 --> 00:03:55.220]  你可以納多少個妾
[00:03:55.220 --> 00:04:00.820]  這個是不是等於在道德上是沒有問題的呢?
[00:04:00.820 --> 00:04:03.740]  在馬來西亞有一些少數民族
[00:04:03.740 --> 00:04:05.340]  他們是食人族
[00:04:05.340 --> 00:04:11.220]  在東馬一些比較落後的村莊裏面
[00:04:11.220 --> 00:04:12.220]  曾經有一些人住在
[00:04:12.220 --> 00:04:14.820]  一個叫long house 長屋
[00:04:14.820 --> 00:04:18.460]  在那裏有些食人族聚居在那個地方
[00:04:18.460 --> 00:04:21.740]  他們的法律是食人是不犯法的
[00:04:21.740 --> 00:04:24.860]  那是不是道德上是OK的呢?
[00:04:24.860 --> 00:04:26.700]  所以你要明白
[00:04:26.700 --> 00:04:29.540]  在愛斯基摩人曾經有一段時間
[00:04:29.540 --> 00:04:32.420]  愛斯基摩人接待外賓來到他家裏
[00:04:32.420 --> 00:04:34.460]  如果那個人是貴賓的話
[00:04:34.460 --> 00:04:39.980]  他當晚要讓他老婆和這個男性的貴賓一起睡覺
[00:04:39.980 --> 00:04:44.540]  這個在愛斯基摩人來說是合法的
[00:04:44.540 --> 00:04:47.140]  在道德上是不是OK的呢?
[00:04:47.140 --> 00:04:48.420]  你開始明白了嗎?
[00:04:48.420 --> 00:04:53.860]  在道德的標準和法律的立法
[00:04:53.860 --> 00:04:58.100]  可以有一個很遠的距離
[00:04:58.100 --> 00:05:00.580]  當然我們明白現在立法是很複雜的
[00:05:00.580 --> 00:05:04.780]  現在立法是基於整個社會的文化
[00:05:04.780 --> 00:05:09.060]  和整個社會的人倫的接受程度
[00:05:09.060 --> 00:05:12.580]  所以歐美國家以人權至上
[00:05:12.580 --> 00:05:15.980]  自然就會做出一些以人為本
[00:05:15.980 --> 00:05:20.220]  而抵擋上帝的標準的法律出現
[00:05:20.220 --> 00:05:23.100]  這是我們會不斷見到的情況
[00:05:23.100 --> 00:05:27.060]  人權是凌駕於所有至上
[00:05:27.060 --> 00:05:28.980]  你見到希臘這個國家
[00:05:28.980 --> 00:05:32.540]  當國家在6月30日可能要面對破產的時候
[00:05:32.540 --> 00:05:33.740]  人民做甚麼事呢?
[00:05:33.740 --> 00:05:36.220]  兩個星期前已經銀行提款了
[00:05:36.220 --> 00:05:38.900]  產生了擠提的現象
[00:05:38.900 --> 00:05:40.940]  這些人不是愛國的
[00:05:40.940 --> 00:05:42.500]  你見到人權至上
[00:05:42.500 --> 00:05:45.140]  我們一定要顧及自己多個國家
[00:05:45.140 --> 00:05:48.820]  所以你講香港現在那班年青人
[00:05:48.820 --> 00:05:49.780]  沒有甚麼國家觀念
[00:05:49.780 --> 00:05:53.460]  在歐洲我們不覺得很有國家觀念
[00:05:53.460 --> 00:05:55.460]  我們很清晰的見到
[00:05:55.460 --> 00:05:57.940]  當法律的存在
[00:05:57.940 --> 00:06:00.020]  人死了之後法律就無效
[00:06:00.020 --> 00:06:01.300]  立法就無效
[00:06:01.300 --> 00:06:03.940]  同樣地如果一個夫婦的關係
[00:06:03.940 --> 00:06:05.660]  如果丈夫死了
[00:06:05.660 --> 00:06:08.340]  太太再結婚的話
[00:06:08.340 --> 00:06:10.020]  舊的法律
[00:06:10.020 --> 00:06:13.460]  舊的契約就無效了
[00:06:13.460 --> 00:06:14.420]  保羅想講甚麼呢?
[00:06:14.420 --> 00:06:17.060]  想藉著這個比喻要講一件事
[00:06:17.060 --> 00:06:19.900]  今天我們藉著朕禮
[00:06:19.900 --> 00:06:22.060]  是同基督同死了
[00:06:22.060 --> 00:06:27.540]  所以舊的律法對我們是無效的
[00:06:27.540 --> 00:06:28.820]  跟你隔壁怎樣說呢?
[00:06:28.820 --> 00:06:33.700]  你藉著朕禮同基督同死了
[00:06:33.700 --> 00:06:35.260]  但我們必須要面對的問題
[00:06:35.260 --> 00:06:39.020]  保羅要解釋關於律法和罪的關係的時候
[00:06:39.020 --> 00:06:41.020]  這種糾纏不清的關係的時候
[00:06:41.020 --> 00:06:41.980]  他開始要問
[00:06:41.980 --> 00:06:44.340]  那律法本身是不是罪呢?
[00:06:44.340 --> 00:06:45.940]  答案當然是negative
[00:06:45.940 --> 00:06:47.180]  斷然不是
[00:06:47.180 --> 00:06:48.580]  不過沒有律法的話
[00:06:48.580 --> 00:06:51.060]  我們就不知道甚麼叫做罪了
[00:06:51.060 --> 00:06:52.620]  想像一下,弟兄姊妹
[00:06:52.620 --> 00:06:54.780]  在立法局裏面你想像不到的
[00:06:54.780 --> 00:06:56.380]  我們香港立法局是一個
[00:06:56.380 --> 00:06:59.060]  令到我們很費解的地方
[00:06:59.060 --> 00:07:00.580]  立法局議員開會
[00:07:00.580 --> 00:07:01.660]  是不是他們的責任之一?
[00:07:01.660 --> 00:07:02.580]  是的
[00:07:02.580 --> 00:07:04.380]  不過有沒有點到的呢?
[00:07:04.380 --> 00:07:05.540]  不出席的話
[00:07:05.540 --> 00:07:07.020]  超過100%不出席的話
[00:07:07.020 --> 00:07:09.620]  繼續可以做立法局議員的
[00:07:09.620 --> 00:07:10.940]  為甚麼呢?
[00:07:10.940 --> 00:07:12.300]  為甚麼立法局議員開會的時候
[00:07:12.300 --> 00:07:16.940]  立法局議員可以拿部ipad和手機出來上閒網呢?
[00:07:16.940 --> 00:07:18.220]  很令人費解
[00:07:18.220 --> 00:07:19.380]  為甚麼呢?
[00:07:19.380 --> 00:07:20.900]  為甚麼立法局議員開會的時候
[00:07:20.900 --> 00:07:24.020]  主席和下面的人可以用whatsapp溝通呢?
