
[00:00:00.000 --> 00:00:06.360]  今天和大家分享的訊息是在「明白主的心」的系列裡面
[00:00:06.360 --> 00:00:11.200]  我想在我講之前,大家一起祈禱,好嗎?
[00:00:11.200 --> 00:00:12.800]  親愛的天父,多謝你
[00:00:12.800 --> 00:00:15.400]  我們可以在你的聖殿裡面聚集
[00:00:15.400 --> 00:00:18.360]  一起聽你的話語,一起去敬拜
[00:00:18.360 --> 00:00:20.160]  這是我們每一個人的福分
[00:00:20.160 --> 00:00:22.360]  神大姐,求祢的靈與我們同在
[00:00:22.360 --> 00:00:26.120]  祢開我們的眼睛、開我們的耳朵、開我們的心
[00:00:26.120 --> 00:00:29.120]  願祢的話語進入我們的心裡面
[00:00:29.120 --> 00:00:31.120]  進入我們的生命裡面
[00:00:31.120 --> 00:00:32.800]  道路都不偏離
[00:00:32.800 --> 00:00:33.520]  多謝祢
[00:00:33.520 --> 00:00:37.200]  我們的禱告是奉耶穌基督,得聖靈祈求
[00:00:37.200 --> 00:00:38.200]  Amen
[00:00:38.200 --> 00:00:40.800]  可能你們會有一點熟悉
[00:00:40.800 --> 00:00:45.000]  通常在講道之前,在兒童堡也會這樣祈禱
[00:00:45.000 --> 00:00:49.320]  很希望神的話語進入你們的心裡面
[00:00:49.320 --> 00:00:51.600]  進入你們的生命裡面
[00:00:51.600 --> 00:00:53.000]  道路都不偏離
[00:00:53.000 --> 00:00:57.200]  先看一點廣告
[00:00:57.200 --> 00:00:59.200]  這一頁還沒看完
[00:00:59.200 --> 00:01:01.200]  可不可以先上去?
[00:01:01.200 --> 00:01:03.600]  先看一點廣告
[00:01:03.600 --> 00:01:06.200]  我們現在在兒童堡也有讀經計劃
[00:01:06.200 --> 00:01:09.600]  就是讀完了《士師記》
[00:01:09.600 --> 00:01:11.600]  已經讀完了
[00:01:11.600 --> 00:01:13.600]  在讀的時候
[00:01:13.600 --> 00:01:16.400]  我們導師都覺得有點膽怯
[00:01:16.400 --> 00:01:21.000]  原來《士師記》並不是一本很容易的書卷
[00:01:21.000 --> 00:01:23.200]  但怎樣也好,都看完了
[00:01:23.200 --> 00:01:25.200]  為什麼這麼不容易呢?
[00:01:25.200 --> 00:01:28.600]  當中如果有看過或是還記得的話
[00:01:28.600 --> 00:01:34.600]  《士師記》理論上應該是歷史英雄傳
[00:01:34.600 --> 00:01:37.000]  但當你看真一點的時候
[00:01:37.000 --> 00:01:39.000]  其實他就不是那麼英雄
[00:01:39.000 --> 00:01:41.800]  很多時候他們做的事情都很膽怯
[00:01:41.800 --> 00:01:45.200]  覺得這樣也可以拯救以色列人?
[00:01:45.200 --> 00:01:47.600]  但不要理會
[00:01:47.600 --> 00:01:50.000]  神就是興起這些士師
[00:01:50.000 --> 00:01:53.600]  在這個紛亂的時期拯救以色列人
[00:01:53.600 --> 00:01:55.600]  這個紛亂的時期是什麼時候呢?
[00:01:55.600 --> 00:01:58.600]  就是在約書亞帶領以色列民
[00:01:58.600 --> 00:02:01.600]  去到迦南地的時候
[00:02:01.600 --> 00:02:03.200]  發生的
[00:02:03.200 --> 00:02:05.600]  但那時候還沒有人做王
[00:02:05.600 --> 00:02:06.800]  扫羅未成王
[00:02:06.800 --> 00:02:09.400]  所以這段時間就叫做紛亂時期
[00:02:09.400 --> 00:02:11.200]  亂到很交關
[00:02:11.200 --> 00:02:12.600]  如果你們記得的話
[00:02:12.600 --> 00:02:14.600]  有一個循環
[00:02:14.600 --> 00:02:17.000]  經常出現的句子就是說
[00:02:17.000 --> 00:02:20.600]  以色列人經常在神的眼中
[00:02:20.600 --> 00:02:24.600]  在以色列行耶和華眼中看為惡的事
[00:02:24.600 --> 00:02:26.000]  然後呢?
[00:02:26.000 --> 00:02:27.600]  神就要他們受苦
[00:02:27.600 --> 00:02:29.000]  被人欺壓
[00:02:29.000 --> 00:02:31.600]  然後就會認識呼求神
[00:02:31.600 --> 00:02:32.600]  呼求神之後
[00:02:32.600 --> 00:02:35.000]  神就會派拯救去救他們
[00:02:35.000 --> 00:02:36.600]  然後就有太平
[00:02:36.600 --> 00:02:38.600]  這就視乎什麼時候
[00:02:38.600 --> 00:02:40.000]  有時二十年
[00:02:40.000 --> 00:02:41.000]  有時幾年
[00:02:41.000 --> 00:02:42.200]  有時幾十年
[00:02:42.200 --> 00:02:46.400]  然後以色列人又行耶和華眼中
[00:02:46.400 --> 00:02:48.000]  看為惡的事
[00:02:48.000 --> 00:02:50.000]  重複又重複
[00:02:50.000 --> 00:02:53.400]  但是當我看的時候
[00:02:53.400 --> 00:02:55.800]  我挺喜歡裡面的人物
[00:02:55.800 --> 00:02:58.000]  因為是一個真實的寫照
[00:02:58.000 --> 00:03:02.000]  我們每一個有哪一個可以是一個完全人
[00:03:02.000 --> 00:03:03.600]  都是神興起
[00:03:03.600 --> 00:03:08.400]  都是神用我們而已
[00:03:08.400 --> 00:03:10.200]  十二個時詩裡面
[00:03:10.200 --> 00:03:12.400]  你們記得多少個呢?
[00:03:12.400 --> 00:03:14.400]  應該參選會記得的
[00:03:14.400 --> 00:03:18.200]  參選也不容易說的
[00:03:18.200 --> 00:03:20.000]  看到女生就喜歡了
[00:03:20.000 --> 00:03:21.200]  喜歡了又說要娶
[00:03:21.200 --> 00:03:22.600]  娶了就吵架了
[00:03:22.600 --> 00:03:27.000]  整天都圍繞著女士的中間
[00:03:27.000 --> 00:03:28.000]  結果怎麼樣?
[00:03:28.000 --> 00:03:30.400]  結果被人挖了眼睛
[00:03:30.400 --> 00:03:32.800]  在兒童部說得挺殘忍的
[00:03:32.800 --> 00:03:35.800]  我們經常都被寵走輕
[00:03:35.800 --> 00:03:38.800]  然後又有一個婦人
[00:03:38.800 --> 00:03:41.400]  被人抓了
[00:03:41.400 --> 00:03:46.200]  然後就虐待她
[00:03:46.200 --> 00:03:48.400]  她的老公接她回去的時候
[00:03:48.400 --> 00:03:49.600]  把她斬成十二塊
[00:03:49.600 --> 00:03:50.800]  就派給十二
[00:03:50.800 --> 00:03:52.800]  自派每人一塊
[00:03:52.800 --> 00:03:55.000]  這些很難說的
[00:03:55.000 --> 00:03:57.200]  我想說喜歡極了
[00:03:57.200 --> 00:03:59.000]  機電也挺好的
