
[00:00:00.000 --> 00:00:02.600]  今天我想跟大家分享一個題目是
[00:00:02.600 --> 00:00:05.200]  不可思議的信心
[00:00:05.200 --> 00:00:06.600]  在幾個月前
[00:00:06.600 --> 00:00:08.500]  我去馬利醫院探病的時候
[00:00:08.500 --> 00:00:09.600]  探一個小朋友
[00:00:09.600 --> 00:00:13.800]  這個小朋友是幼稚園的學生
[00:00:13.800 --> 00:00:15.700]  是在讀幼稚園的
[00:00:15.700 --> 00:00:18.800]  進到他的病房很開心的
[00:00:18.800 --> 00:00:21.700]  很容光煥發
[00:00:21.700 --> 00:00:23.800]  很精靈
[00:00:23.800 --> 00:00:25.500]  很可愛的小朋友
[00:00:25.500 --> 00:00:28.000]  很漂亮的女兒
[00:00:28.000 --> 00:00:33.300]  原來他在之前的一個星期
[00:00:33.300 --> 00:00:34.800]  或者一段時間
[00:00:34.800 --> 00:00:38.500]  原來他在家睡覺之後暈倒了
[00:00:38.500 --> 00:00:39.400]  昏迷
[00:00:39.400 --> 00:00:41.900]  然後被送入馬利醫院
[00:00:41.900 --> 00:00:46.500]  然後心臟停頓了
[00:00:46.500 --> 00:00:49.000]  而這個罕有的心臟病
[00:00:49.000 --> 00:00:52.000]  原來在全世界都很罕有
[00:00:52.000 --> 00:00:53.300]  所以當時的醫生
[00:00:53.300 --> 00:00:54.600]  都不知道怎樣救他
[00:00:54.600 --> 00:00:55.800]  怎樣醫治他
[00:00:55.800 --> 00:00:58.100]  其實是沒有辦法的
[00:00:58.100 --> 00:01:00.900]  甚至醫生都跟他爸爸媽媽說
[00:01:00.900 --> 00:01:04.100]  可能你都有心理準備
[00:01:04.100 --> 00:01:08.300]  所以他爸爸媽媽給我們看照片的時候
[00:01:08.300 --> 00:01:10.700]  這個小朋友在病床裏面
[00:01:10.700 --> 00:01:13.300]  全身插著喉管
[00:01:13.300 --> 00:01:18.200]  沒有一個地方沒有喉管
[00:01:18.200 --> 00:01:21.000]  但是那天去探他的時候
[00:01:21.000 --> 00:01:25.800]  他真的不像一個病人
[00:01:25.800 --> 00:01:30.100]  原來他爸爸媽媽在他女兒病的時候
[00:01:30.100 --> 00:01:32.300]  發生這件事情的時候
[00:01:32.300 --> 00:01:34.900]  他真的沒有出路
[00:01:34.900 --> 00:01:37.800]  他就跪下在神的面前
[00:01:37.800 --> 00:01:42.600]  來認定這個耶穌基督是他們要依靠的
[00:01:42.600 --> 00:01:45.200]  他們發出了很多的代禱示漢
[00:01:45.200 --> 00:01:46.200]  不單止在Facebook
[00:01:46.200 --> 00:01:47.200]  在網絡
[00:01:47.200 --> 00:01:51.000]  全世界、全球的教會
[00:01:51.000 --> 00:01:53.700]  要求他們為他祈禱
[00:01:53.700 --> 00:01:56.700]  所以神幫助他
[00:01:56.700 --> 00:01:59.000]  很奇妙地這個女兒
[00:01:59.000 --> 00:02:04.000]  能夠得著治療
[00:02:04.000 --> 00:02:06.100]  但是繼續一個挑戰就是
[00:02:06.100 --> 00:02:09.800]  如果將來長大的時候
[00:02:09.800 --> 00:02:12.300]  他同樣突然間不知道什麼時候
[00:02:12.300 --> 00:02:14.100]  突然間停頓心臟
[00:02:14.100 --> 00:02:15.600]  所以他要再做一個手術
[00:02:15.600 --> 00:02:19.000]  這個手術是用來做保險的
[00:02:19.000 --> 00:02:20.500]  而這個手術
[00:02:20.500 --> 00:02:26.500]  在全世界只有一兩個成人做過
[00:02:26.500 --> 00:02:30.300]  從來沒有在一個小朋友身上做過這個手術
[00:02:30.300 --> 00:02:35.200]  所以他的爸爸媽媽就冒著這個險
[00:02:35.200 --> 00:02:38.200]  來決定做這個保險手術
[00:02:38.200 --> 00:02:40.800]  還是不做呢
[00:02:40.800 --> 00:02:43.100]  他們決定了做
[00:02:43.100 --> 00:02:45.500]  所以他們將他的女兒
[00:02:45.500 --> 00:02:47.600]  真的擺在醫院
[00:02:47.600 --> 00:02:49.700]  擺在這個醫生的手上
[00:02:49.700 --> 00:02:53.800]  但當然他們擺在耶穌基督的手上
[00:02:53.800 --> 00:02:58.000]  有一天當我們的同事來接到他的消息的時候
[00:02:58.000 --> 00:02:59.900]  成功了
[00:02:59.900 --> 00:03:01.700]  這個手術成功了
[00:03:01.700 --> 00:03:06.600]  是全球在這個小朋友身上做這個手術
[00:03:06.600 --> 00:03:08.100]  所以很奇妙
[00:03:08.100 --> 00:03:11.800]  這個信心可能是他爸爸媽媽
[00:03:11.800 --> 00:03:15.500]  更加重要的是周圍很多很多的人
[00:03:15.500 --> 00:03:20.000]  擺上一個信心來仰望我們這位耶穌基督
[00:03:20.000 --> 00:03:21.500]  今天我們要看的一段經文
[00:03:21.500 --> 00:03:24.200]  是在《馬太福音》15章21至28節
[00:03:24.200 --> 00:03:28.100]  我們一起開聲來讀完這一段經文
[00:03:28.100 --> 00:03:29.700]  耶穌離開那裡
[00:03:29.700 --> 00:03:32.600]  退到泰爾西頓的境內去
[00:03:32.600 --> 00:03:36.100]  有一個迦南婦人從那地方出來
[00:03:36.100 --> 00:03:39.200]  喊著說:主啊!大衛的子孫!
[00:03:39.200 --> 00:03:43.500]  可憐我!我女兒被鬼附得甚苦!
