
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹們主日平安
[00:00:02.000 --> 00:00:04.520]  弟兄姊妹大家主日平安
[00:00:04.520 --> 00:00:07.740]  我們今天講到的題目是
[00:00:07.740 --> 00:00:09.740]  等候且盼望的信徒
[00:00:09.740 --> 00:00:12.200]  我們今天講到的題目是
[00:00:12.200 --> 00:00:14.640]  等候且盼望的信徒
[00:00:14.640 --> 00:00:19.080]  其實這個題目再加一個詞更準確
[00:00:19.080 --> 00:00:22.520]  其實這個題目再加一個詞會更加準確
[00:00:22.520 --> 00:00:27.680]  就是勞苦中等候且盼望的信徒
[00:00:28.120 --> 00:00:32.280]  就是勞苦當中等候且盼望的信徒
[00:00:32.280 --> 00:00:37.180]  羅馬書第八章十八到二十五節這裡
[00:00:37.180 --> 00:00:41.360]  羅馬書第八章十八到二十五節這裡
[00:00:41.360 --> 00:00:45.120]  它跟我們講述的是這樣的一個畫面
[00:00:45.120 --> 00:00:48.120]  它跟我們講述的是這樣的一個畫面
[00:00:48.120 --> 00:00:53.760]  就是基督徒他們在勞苦中等候且盼望
[00:00:54.360 --> 00:00:58.520]  就是基督徒他們在勞苦當中等候且盼望
[00:00:58.520 --> 00:01:01.880]  我給大家打一個比方
[00:01:01.880 --> 00:01:04.240]  我給大家打一個比方
[00:01:04.240 --> 00:01:09.560]  我曾經在不久前看到一個視頻
[00:01:09.560 --> 00:01:13.280]  我曾經在不久之前看過一個視頻
[00:01:13.280 --> 00:01:16.960]  這個視頻裡是一個攝影師
[00:01:16.960 --> 00:01:20.160]  這個視頻裡有一個攝影師
[00:01:21.280 --> 00:01:25.200]  他連夜登上了一個雪山
[00:01:25.200 --> 00:01:27.960]  他連夜登上了一個雪山
[00:01:27.960 --> 00:01:32.200]  然後在那裡趁著天還沒有亮的時候
[00:01:32.200 --> 00:01:34.200]  太陽還沒有升起的時候就到達山頂
[00:01:34.200 --> 00:01:37.080]  然後他趁著天還沒亮
[00:01:37.080 --> 00:01:41.720]  太陽還沒上山的時候他就到達了山頂
[00:01:41.720 --> 00:01:47.160]  他就是為了等著拍對面那個雪山
[00:01:47.160 --> 00:01:50.280]  被日出的陽光照成金色的樣子
