
[00:00:00.000 --> 00:00:05.000]  我在北美住的時候,很多時候駕車到野外
[00:00:05.000 --> 00:00:08.320]  就會有一些野生的動物來探訪我們
[00:00:08.320 --> 00:00:11.440]  今天崇拜還沒開始之前
[00:00:11.440 --> 00:00:15.000]  我也跟幾位從新西蘭和澳洲回來的
[00:00:15.000 --> 00:00:17.800]  不知道大家有沒有遇見過這樣的情形
[00:00:17.800 --> 00:00:20.840]  香港人煙稠密就比較少
[00:00:20.840 --> 00:00:25.080]  不過我們前幾天也有兩隻野豬在北角遊蕩
[00:00:25.080 --> 00:00:26.360]  大家有沒有見過?
[00:00:26.360 --> 00:00:32.680]  我們感謝神賜給我們這些可愛的動物陪伴我們一起成長
[00:00:32.680 --> 00:00:37.320]  你看小孩子就會有這樣的感覺
[00:00:37.320 --> 00:00:40.760]  就是圖片中的小孩子
[00:00:40.760 --> 00:00:44.760]  今天我們剛才讀了一段經文
[00:00:44.760 --> 00:00:46.560]  也有提到一些動物
[00:00:46.560 --> 00:00:49.640]  有羊羔和驢
[00:00:49.640 --> 00:00:50.920]  Donkey
[00:00:50.920 --> 00:00:58.880]  我發現這個驢後面是隱含了很深的意思
[00:00:58.880 --> 00:01:02.000]  所以我用了它來做我們今天講道的主題
[00:01:02.000 --> 00:01:04.720]  你與驢子相同的地方
[00:01:04.720 --> 00:01:06.360]  牧師有什麼意思呢?
[00:01:06.360 --> 00:01:11.440]  大家就嘗試在耳朵留心聽
[00:01:11.440 --> 00:01:14.640]  我們繼續講《出埃及記》
[00:01:14.640 --> 00:01:19.920]  《出埃及記》有兩個扣人心願的故事
[00:01:19.920 --> 00:01:21.480]  第一個
[00:01:21.480 --> 00:01:28.040]  有人說是上帝在埃及降下十個災難
[00:01:28.040 --> 00:01:30.720]  這是一個很大的震撼
[00:01:30.720 --> 00:01:37.040]  另外一個可能是以色列人過紅海
[00:01:37.040 --> 00:01:41.040]  在這兩個故事中間夾了一張聖經
[00:01:41.040 --> 00:01:43.600]  就是《出埃及記》十三章
[00:01:43.600 --> 00:01:45.400]  我們剛才讀了一部分
[00:01:45.840 --> 00:01:50.000]  這張聖經所講的不算驚心動魄
[00:01:50.000 --> 00:01:52.800]  但是非常值得我們思考
[00:01:52.800 --> 00:01:59.000]  它記載了上帝對以色列人的一些特別的吩咐
[00:01:59.000 --> 00:02:02.520]  而這些吩咐對我們今個世代的人
[00:02:02.520 --> 00:02:04.880]  都有重要的意義
[00:02:04.880 --> 00:02:06.360]  我們一起來看看
[00:02:06.360 --> 00:02:11.320]  舊約的以色列人經過了四百年埃及的生涯
[00:02:11.320 --> 00:02:13.480]  大部分是奴隸的身份
[00:02:13.480 --> 00:02:16.040]  終於離開了埃及
[00:02:16.040 --> 00:02:20.320]  《出埃及記》第十二章是這樣描寫的
[00:02:20.320 --> 00:02:26.960]  正滿了四百三十年的那一天
[00:02:26.960 --> 00:02:31.600]  耶和華的軍隊都從埃及地出來了
[00:02:31.600 --> 00:02:37.000]  耶和華的軍隊是什麼人呢?
[00:02:37.000 --> 00:02:40.240]  前兩節解釋清楚一點
[00:02:40.240 --> 00:02:44.240]  以色列人從蘭塞起行往蘇國去
