
[00:00:00.000 --> 00:00:03.700]  我們一齊同心禱告
[00:00:03.700 --> 00:00:05.960]  天父我們口唱著這首詩歌
[00:00:05.960 --> 00:00:07.680]  你珍偉大的時候
[00:00:07.680 --> 00:00:10.760]  願意發自我們內心對你
[00:00:10.760 --> 00:00:13.840]  那份的讚歎
[00:00:13.840 --> 00:00:15.440]  那份的敬畏
[00:00:15.440 --> 00:00:17.480]  那份的尊崇
[00:00:17.480 --> 00:00:20.200]  因為看到你的創造奇妙
[00:00:20.200 --> 00:00:22.520]  我們看到自己的渺小
[00:00:22.520 --> 00:00:24.280]  主人我們要
[00:00:24.280 --> 00:00:27.000]  懂得謙卑在你面前
[00:00:27.000 --> 00:00:29.640]  一同來到同心敬拜
[00:00:29.640 --> 00:00:32.680]  以上禱告奉主耶穌基督的聖名祈求
[00:00:32.680 --> 00:00:33.480]  阿們
[00:00:33.480 --> 00:00:35.480]  各位請坐
[00:00:35.480 --> 00:00:41.480]  各位弟兄姊妹主內平安
[00:00:41.480 --> 00:00:43.640]  過去一個星期
[00:00:43.640 --> 00:00:46.480]  有人透過電話傳送了
[00:00:46.480 --> 00:00:48.520]  WhatsApp了幾張照片給我看
[00:00:48.520 --> 00:00:50.520]  跟大家分享一下好不好
[00:00:50.520 --> 00:00:53.640]  漂亮嗎
[00:00:53.640 --> 00:00:57.440]  我有一個朋友剛剛在加拿大
[00:00:57.440 --> 00:00:59.960]  一個很美的風景區度假
[00:00:59.960 --> 00:01:02.440]  所以他
[00:01:02.440 --> 00:01:04.320]  傳了四張照片給我
[00:01:04.320 --> 00:01:05.760]  傳到第四張我就說
[00:01:05.760 --> 00:01:07.520]  拜託你不要再傳來了
[00:01:07.520 --> 00:01:10.040]  我忍不住可能要飛過來和你一起度假
[00:01:10.040 --> 00:01:12.040]  實在很美很美很美
[00:01:12.040 --> 00:01:14.040]  真的厲害
[00:01:14.040 --> 00:01:15.560]  我一位朋友是
[00:01:15.560 --> 00:01:19.560]  一間教會一個很熱心侍奉很愛主的弟兄
[00:01:19.560 --> 00:01:22.640]  他在電話裡面傳給我
[00:01:22.640 --> 00:01:24.600]  他說在大自然的美景裡面
[00:01:24.600 --> 00:01:27.640]  就好像在父神的懷抱裡面
[00:01:27.640 --> 00:01:32.080]  當他親眼看到神創造的偉大和奇妙的時候
[00:01:32.080 --> 00:01:35.080]  他就深深體會和感受到
[00:01:35.080 --> 00:01:37.400]  神的大愛
[00:01:37.400 --> 00:01:38.200]  沒錯
[00:01:38.200 --> 00:01:39.960]  在大自然裡面我們經常說
[00:01:39.960 --> 00:01:42.040]  大自然裡面就讓我們好像
[00:01:42.040 --> 00:01:45.960]  很親近天父的懷抱一樣
[00:01:45.960 --> 00:01:48.760]  我覺得這張照片來得非常合適
[00:01:48.760 --> 00:01:51.200]  因為我剛剛為了今天的講道
[00:01:51.200 --> 00:01:55.880]  在看C篇104篇和103篇
[00:01:55.880 --> 00:02:00.280]  剛好這兩篇C篇正好是在描述神的創造
[00:02:00.280 --> 00:02:03.560]  描述神創造裡面的奇妙
[00:02:03.560 --> 00:02:07.160]  所以我今天希望和大家來到去
[00:02:07.160 --> 00:02:08.680]  用一個欣賞的角度
[00:02:08.680 --> 00:02:11.720]  用一個欣賞詩的角度
[00:02:11.720 --> 00:02:13.960]  一個詩情畫意的心
[00:02:13.960 --> 00:02:16.800]  我配合一些照片
[00:02:16.800 --> 00:02:19.040]  用一些想像力
[00:02:19.040 --> 00:02:22.560]  來去欣賞C篇104篇
[00:02:22.560 --> 00:02:24.560]  這篇這麼優美的詩篇
[00:02:24.560 --> 00:02:27.640]  也希望透過C篇104篇我們一起來思想
[00:02:27.640 --> 00:02:31.120]  究竟詩人在這篇詩篇裡面
[00:02:31.120 --> 00:02:34.000]  帶給我們一個什麼很重要的訊息呢?
[00:02:34.000 --> 00:02:37.240]  我們首先打開C篇104篇好不好?
[00:02:37.240 --> 00:02:40.760]  在《舊約聖經》第780頁
[00:02:49.800 --> 00:02:53.280]  我想和大家去看的C篇104篇很清楚
[00:02:53.280 --> 00:02:58.280]  其實講到了一個神和萬有的關係
[00:02:58.280 --> 00:03:00.640]  C篇104篇一開始的時候
[00:03:00.640 --> 00:03:03.600]  或者我們一起讀第一和第二節
[00:03:03.600 --> 00:03:04.800]  請
[00:03:04.800 --> 00:03:05.920]  我的心啊
[00:03:05.920 --> 00:03:08.200]  你要稱頌耶和華
[00:03:08.200 --> 00:03:09.920]  耶和華我的神啊
[00:03:09.920 --> 00:03:11.520]  你為至大
[00:03:11.520 --> 00:03:14.360]  你以尊崇威嚴為衣服
[00:03:14.360 --> 00:03:16.000]  披上亮光
[00:03:16.000 --> 00:03:17.680]  如披外袍
[00:03:17.680 --> 00:03:19.280]  鋪帳窮瘡
[00:03:19.280 --> 00:03:21.000]  如鋪萬紙
[00:03:21.000 --> 00:03:23.720]  C篇104篇一開始的時候
[00:03:23.720 --> 00:03:25.280]  就去讚美神
[00:03:25.280 --> 00:03:26.840]  這個神是怎樣的神呢?
[00:03:26.840 --> 00:03:28.280]  就是天上的神
[00:03:28.280 --> 00:03:30.400]  就是天上的君王
[00:03:30.400 --> 00:03:32.200]  所以他說
[00:03:32.200 --> 00:03:33.160]  耶和華神啊
[00:03:33.160 --> 00:03:34.360]  你為至大
[00:03:34.360 --> 00:03:36.440]  其實C篇正如我剛才所講
[00:03:36.440 --> 00:03:39.600]  C篇104篇其實和103篇
[00:03:39.600 --> 00:03:41.200]  都是在讚美神
[00:03:41.200 --> 00:03:43.280]  彼此有一個緊扣的關係
[00:03:43.280 --> 00:03:44.760]  可以從哪裡看到呢?
[00:03:44.760 --> 00:03:46.520]  其實當你看前一點的時候
[00:03:46.520 --> 00:03:47.680]  你就會發覺
[00:03:47.680 --> 00:03:50.200]  在C篇103篇第十九節
[00:03:50.200 --> 00:03:51.840]  差不多最後那幾節
[00:03:51.840 --> 00:03:52.480]  這樣講
[00:03:52.480 --> 00:03:55.400]  耶和華在天上立定寶座
[00:03:55.400 --> 00:03:58.440]  祂的權柄統管萬有
[00:03:58.440 --> 00:03:59.400]  沒錯
[00:03:59.400 --> 00:04:01.840]  C篇103篇末段的時候
[00:04:01.840 --> 00:04:03.200]  就是在讚美這位
[00:04:03.200 --> 00:04:04.760]  就是天上的神
[00:04:04.760 --> 00:04:06.520]  就是蒼天造地的主
[00:04:06.520 --> 00:04:09.000]  就是天上變的君王
[00:04:09.000 --> 00:04:10.640]  不過詩人很快
[00:04:10.640 --> 00:04:12.680]  在C篇繼續下去的時候
[00:04:12.680 --> 00:04:15.400]  就將天上君王的焦點
[00:04:15.400 --> 00:04:17.840]  帶到我們去讓我們看到
[00:04:17.840 --> 00:04:20.480]  這位的神不單止是蒼天造地
