
[00:00:00.000 --> 00:00:04.000]  所以我們都聽過斯比獸更為有福這句金句
[00:00:04.000 --> 00:00:07.600]  確實是的,能夠有能力和信心送禮物給人
[00:00:07.600 --> 00:00:09.000]  是有福氣的
[00:00:09.000 --> 00:00:11.200]  這句金句另外一個意思是
[00:00:11.200 --> 00:00:13.600]  能夠有餘可以跟別人分享的
[00:00:13.600 --> 00:00:16.600]  當然是給缺乏的人有福
[00:00:16.600 --> 00:00:18.000]  可能因為這句說話
[00:00:18.000 --> 00:00:20.000]  我們漸漸認為要有志氣
[00:00:20.000 --> 00:00:22.000]  不要隨便伸手問人
[00:00:22.000 --> 00:00:24.000]  只要能夠有禮物送給別人
[00:00:24.000 --> 00:00:25.200]  就能夠有福氣
[00:00:25.200 --> 00:00:28.400]  可能因為這句說話我們漸漸認為要有志氣
[00:00:28.400 --> 00:00:31.200]  不要隨便伸手問人拿東西
[00:00:31.200 --> 00:00:33.800]  我們認為施禦的人代表有能力
[00:00:33.800 --> 00:00:35.000]  是蒙福的
[00:00:35.000 --> 00:00:38.600]  是令人羨慕和值得誇耀的
[00:00:38.600 --> 00:00:40.800]  相反受別人恩惠的人
[00:00:40.800 --> 00:00:42.800]  就好像沒有能力
[00:00:42.800 --> 00:00:43.800]  低人一些
[00:00:43.800 --> 00:00:45.800]  好像很沒面子
[00:00:45.800 --> 00:00:48.200]  各位姐妹,我們不要忘記
[00:00:48.200 --> 00:00:50.800]  其實我們每一個都是蒙恩的罪人
[00:00:50.800 --> 00:00:53.000]  我們每一個都是白白地
[00:00:53.000 --> 00:00:55.800]  享受了主的恩,主的愛
[00:00:55.800 --> 00:00:57.800]  所以其實我們每一個
[00:00:57.800 --> 00:01:00.200]  都是一個接受恩惠的人
[00:01:00.200 --> 00:01:02.200]  以佛所書三章十八節
[00:01:02.200 --> 00:01:03.400]  經文這樣說
[00:01:03.400 --> 00:01:07.200]  能以和眾聖徒一同明白基督的愛
[00:01:07.200 --> 00:01:10.200]  信徒並不是個別地明白神的愛
[00:01:10.200 --> 00:01:13.600]  而是與眾聖徒一起認識基督的愛
[00:01:13.600 --> 00:01:17.200]  愛是需要付出和接受的
[00:01:17.200 --> 00:01:18.200]  在疫情當中
[00:01:18.200 --> 00:01:20.200]  如果你有任何物資的缺乏
[00:01:20.200 --> 00:01:21.800]  或者其他的需要
[00:01:21.800 --> 00:01:23.200]  請你不要藏起來
[00:01:23.200 --> 00:01:25.200]  要讓弟兄姐妹知道
[00:01:25.200 --> 00:01:27.200]  我們要學習以感恩的心
[00:01:27.200 --> 00:01:30.200]  去接受別人的愛心和付出
[00:01:30.200 --> 00:01:33.200]  其實你給其他人有機會施予
[00:01:33.200 --> 00:01:35.200]  都是愛心的表現
[00:01:35.200 --> 00:01:37.200]  《世紀重戰》第四百七十首
[00:01:37.200 --> 00:01:38.800]  彼此服侍
[00:01:38.800 --> 00:01:40.200]  歌詞這樣說
[00:01:40.200 --> 00:01:42.200]  請讓我作你的僕人
[00:01:42.200 --> 00:01:44.200]  學像基督服侍你
[00:01:44.200 --> 00:01:46.200]  我也樂意充誠接受
[00:01:46.200 --> 00:01:49.200]  讓你來作我僕人
[00:01:52.200 --> 00:01:55.200]  由 Amara.org 社群提供的字幕
