
[00:00:00.000 --> 00:00:11.900]  各位親愛的朋友 弟兄姊妹 大家好
[00:00:11.900 --> 00:00:13.900]  我是劉少康牧師
[00:00:13.900 --> 00:00:19.340]  很開心經常在這裡和大家一起讀聖經
[00:00:19.340 --> 00:00:23.040]  聖經的話 真是成為我們的幫助
[00:00:23.040 --> 00:00:25.400]  更加是我們的力量
[00:00:25.400 --> 00:00:29.800]  我想問你 如果你突然之間覺得自己很乏力
[00:00:29.800 --> 00:00:33.600]  你覺得你去哪裡可以拿到力量呢?
[00:00:33.600 --> 00:00:37.200]  力量的來源是從哪裡而來?
[00:00:37.200 --> 00:00:41.500]  有些人說最好就是睡覺 睡一大場覺
[00:00:41.500 --> 00:00:44.300]  那你就會精神煥發的了
[00:00:44.300 --> 00:00:48.800]  有些人說不是 我去做一些我喜歡做的事情
[00:00:48.800 --> 00:00:54.500]  那就好像突然之間整個人就煥然一新了
[00:00:54.500 --> 00:00:58.100]  有些人說不是 吃一些補品
[00:00:58.100 --> 00:01:01.500]  喝一些那些得力的飲品
[00:01:01.500 --> 00:01:05.700]  那就叫你突然之間很精神的了
[00:01:05.700 --> 00:01:08.000]  聖經告訴我們
[00:01:08.000 --> 00:01:13.800]  原來我們得力的來源是向上仰望
[00:01:13.800 --> 00:01:19.500]  因為力量是從上頭來賜給我們的
[00:01:19.500 --> 00:01:22.300]  今天很想和大家來思想
[00:01:22.300 --> 00:01:26.400]  你怎樣去找到力量呢?
[00:01:26.400 --> 00:01:29.800]  你有沒有找到力量的源頭呢?
[00:01:29.800 --> 00:01:32.700]  如果你知道你的力量從哪裡來
[00:01:32.700 --> 00:01:36.200]  那你去尋找它 你去探求它
[00:01:36.200 --> 00:01:39.800]  你去安靜仰望它 等候它
[00:01:39.800 --> 00:01:43.800]  你必定重新得力
[00:01:43.800 --> 00:01:46.500]  詩篇121篇
[00:01:46.500 --> 00:01:51.000]  很多信徒很喜歡的一篇詩篇
[00:01:51.000 --> 00:01:54.500]  也有很多人會唱這首歌
[00:01:54.500 --> 00:01:57.200]  我要向山舉目
[00:01:57.200 --> 00:01:59.800]  我的幫助從哪裡來呢?
[00:01:59.800 --> 00:02:05.200]  我的幫助從造天地的耶和華而來
[00:02:05.200 --> 00:02:09.500]  因為這首歌太普遍、太受歡迎了
[00:02:09.500 --> 00:02:11.600]  所以很多人都喜歡唱
[00:02:11.600 --> 00:02:15.000]  而且這首歌有不同的版本
[00:02:15.000 --> 00:02:18.600]  我記得有一首我剛剛學唱的
[00:02:18.600 --> 00:02:21.900]  就是力量從哪裡來
[00:02:21.900 --> 00:02:25.400]  是用普通話、用國語唱的
[00:02:25.400 --> 00:02:28.100]  很叫人幫助
[00:02:28.100 --> 00:02:32.200]  氣氣好 氣氣好
[00:02:32.200 --> 00:02:40.600]  我們的力量從哪裡來呢?
[00:02:40.600 --> 00:02:44.700]  詩篇裡面一共有15首詩
[00:02:44.700 --> 00:02:48.400]  我們叫它做「上行之詩」
[00:02:48.400 --> 00:02:55.300]  就是由詩篇120篇一直到詩篇134篇
