
[00:00:00.000 --> 00:00:02.000]  各位聽者姊妹早晨
[00:00:02.000 --> 00:00:06.400]  上個月
[00:00:06.400 --> 00:00:07.960]  十月十四日
[00:00:07.960 --> 00:00:10.960]  天主教的教宗方濟各
[00:00:10.960 --> 00:00:13.440]  在聖伯多祿廣場
[00:00:13.440 --> 00:00:16.600]  宣佈七位人士列為聖人
[00:00:16.600 --> 00:00:20.120]  在我們的信仰傳統裏面
[00:00:20.120 --> 00:00:21.800]  是沒有聖人的
[00:00:21.800 --> 00:00:23.160]  不過
[00:00:23.160 --> 00:00:25.600]  的確在世界上
[00:00:25.600 --> 00:00:28.720]  有一些基督宗教的信徒
[00:00:28.720 --> 00:00:31.480]  他們在信仰的路上
[00:00:31.480 --> 00:00:36.000]  的確留下了一個深刻的軌跡
[00:00:36.000 --> 00:00:39.720]  細味一下他們的人生
[00:00:39.720 --> 00:00:42.760]  對於我們信仰的生命來講
[00:00:42.760 --> 00:00:45.720]  的確是有一些很好的提示
[00:00:45.720 --> 00:00:48.680]  在這七位聖人裏面
[00:00:48.680 --> 00:00:51.480]  有一個叫做羅梅諾
[00:00:51.480 --> 00:00:54.680]  Oscar Romero
[00:00:54.680 --> 00:00:56.680]  他是誰呢?
[00:00:56.680 --> 00:01:00.400]  他是中美洲的一個國家
[00:01:00.400 --> 00:01:03.040]  薩爾瓦多的人
[00:01:03.040 --> 00:01:05.840]  他是薩爾瓦多首都
[00:01:05.840 --> 00:01:09.800]  聖薩爾瓦多教區的總主教
[00:01:09.800 --> 00:01:12.400]  一個天主教的主教
[00:01:12.400 --> 00:01:16.320]  他一生反對貧窮
[00:01:16.320 --> 00:01:23.280]  努力去改善社會不義的情況
[00:01:23.280 --> 00:01:26.320]  也反對政治的暗殺
[00:01:26.320 --> 00:01:29.680]  教宗方濟各讚揚他
[00:01:29.680 --> 00:01:34.000]  為了親近窮人和自己的人民
[00:01:34.000 --> 00:01:36.000]  不顧生死
[00:01:36.000 --> 00:01:39.480]  羅梅諾這位總主教
[00:01:39.480 --> 00:01:41.480]  他親近窮人
[00:01:41.480 --> 00:01:44.920]  窮人是被遺忘的人
[00:01:44.920 --> 00:01:47.560]  他也親近他自己的人民
[00:01:47.560 --> 00:01:50.440]  因為他的同胞
[00:01:50.440 --> 00:01:54.080]  活在一個反人民的政權底下
[00:01:54.080 --> 00:01:56.360]  他走向受苦的人
[00:01:56.360 --> 00:01:59.560]  因為他認為一個被釘十字架的上帝
[00:01:59.560 --> 00:02:01.880]  就是一個受苦的上帝
[00:02:01.880 --> 00:02:05.200]  受苦的上帝親近受苦的人
[00:02:05.200 --> 00:02:08.280]  他努力尋求正義
[00:02:08.280 --> 00:02:12.200]  但是那個效果非常緩慢
[00:02:12.200 --> 00:02:14.200]  有一次他這樣說
[00:02:14.200 --> 00:02:15.880]  他說
[00:02:15.880 --> 00:02:19.480]  天國不單在我們的能力之外
[00:02:19.480 --> 00:02:23.000]  更加在我們的視野之外
[00:02:23.000 --> 00:02:24.840]  看也看不到
[00:02:24.840 --> 00:02:26.280]  我們的一生
[00:02:26.280 --> 00:02:32.280]  只能夠完成神偉大的工程裏的一丁點二
[00:02:32.280 --> 00:02:36.560]  我們做的沒有一樣是完成得到的
[00:02:36.560 --> 00:02:39.960]  就是說天國的實現
[00:02:39.960 --> 00:02:42.960]  總是在我們的能力之外
[00:02:42.960 --> 00:02:46.560]  人世間沒有一句句子能夠完全表達
[00:02:46.560 --> 00:02:48.120]  當講的東西
[00:02:48.120 --> 00:02:52.320]  沒有一個祈禱能夠完全表達我們的信仰
[00:02:52.320 --> 00:02:55.360]  沒有一個認罪能夠帶來完美
[00:02:55.360 --> 00:03:00.640]  沒有目者的探訪能夠帶來生命的整全
[00:03:00.640 --> 00:03:06.720]  教會裏沒有一些活動節目能夠完成教會的使命
[00:03:06.720 --> 00:03:10.800]  任何的目標都不是十全十美的
[00:03:10.800 --> 00:03:13.400]  其實這個就是我們本來的面目
[00:03:13.400 --> 00:03:16.280]  他說我們只是播種
[00:03:16.280 --> 00:03:20.280]  這些種子有一天或者是會成長的
[00:03:20.280 --> 00:03:23.240]  我們不斷為它們澆水
[00:03:23.240 --> 00:03:25.120]  盼望將來
[00:03:25.120 --> 00:03:27.360]  我們努力建造地基
[00:03:27.360 --> 00:03:29.800]  為了將來的工程
[00:03:29.800 --> 00:03:33.600]  他說這一切都是不圓滿的
[00:03:33.600 --> 00:03:36.440]  不過這是一個開始
[00:03:36.440 --> 00:03:38.720]  我們向前踏上一步
[00:03:38.720 --> 00:03:40.960]  然後造成一個機遇
[00:03:40.960 --> 00:03:44.680]  讓神的恩典能夠進入這些機遇當中
[00:03:44.680 --> 00:03:48.680]  然後神的恩典將它帶來圓滿
[00:03:48.680 --> 00:03:52.040]  我們或許永遠看不到最後的成果
[00:03:52.040 --> 00:03:55.960]  但這正正就是建築師和工人的分別
[00:03:55.960 --> 00:03:57.840]  我們只不過是工人
[00:03:57.840 --> 00:03:59.680]  不是建築師
[00:03:59.680 --> 00:04:01.280]  我們是目者
[00:04:01.280 --> 00:04:04.560]  不是救世主
[00:04:04.560 --> 00:04:08.040]  羅梅諾總主教是一個懷著希望的人
[00:04:08.040 --> 00:04:10.200]  他知道做的事很微小
[00:04:10.200 --> 00:04:11.440]  沒有甚麼變化
[00:04:11.440 --> 00:04:13.040]  但他懷著希望
[00:04:13.040 --> 00:04:17.520]  在真理的角度上他緩步前進
[00:04:17.520 --> 00:04:19.880]  他的生平是拍攝了一部電影
[00:04:19.880 --> 00:04:25.640]  那部電影的片名就叫做《羅梅諾》
[00:04:25.640 --> 00:04:29.720]  這部電影講述他一生在結尾的部分
[00:04:29.720 --> 00:04:31.840]  在這部電影結尾的部分
[00:04:31.840 --> 00:04:34.720]  是一個彌撒的場合
[00:04:34.720 --> 00:04:36.480]  在聖堂裏面
[00:04:36.480 --> 00:04:40.560]  神父準備試聖餐
[00:04:40.560 --> 00:04:44.920]  羅梅諾就在聖餐的台前面
[00:04:44.920 --> 00:04:47.360]  講他人生裏面最後一篇道
[00:04:47.360 --> 00:04:50.440]  他說:
