
[00:00:00.000 --> 00:00:03.000]  鄧兄姊妹 牧者平安
[00:00:03.000 --> 00:00:07.500]  感謝神今天能夠跟大家分享神的說話
[00:00:07.500 --> 00:00:10.000]  讓我們先一同的祈禱
[00:00:10.000 --> 00:00:15.000]  親愛的天父
[00:00:15.000 --> 00:00:17.000]  你是神
[00:00:17.000 --> 00:00:20.000]  也是愛我們的天父
[00:00:20.000 --> 00:00:22.000]  我們多謝你
[00:00:22.000 --> 00:00:23.500]  多謝主耶穌
[00:00:23.500 --> 00:00:26.000]  以愛去救贖我們
[00:00:28.000 --> 00:00:33.500]  主耶穌威嚴 尊榮 權並都是你的
[00:00:33.500 --> 00:00:36.000]  我們求你與我們同在
[00:00:36.000 --> 00:00:39.000]  因為昔日你已經讓我們知道
[00:00:39.000 --> 00:00:41.000]  以馬來利
[00:00:41.000 --> 00:00:44.000]  你與我們同在
[00:00:44.000 --> 00:00:46.000]  讓你的話語
[00:00:46.000 --> 00:00:48.500]  能夠成為我們生命的糧食
[00:00:48.500 --> 00:00:52.000]  是我們心中向你的懇求
[00:00:52.000 --> 00:00:54.500]  讓我們能夠得以成長
[00:00:54.500 --> 00:01:00.000]  讓我們的生命再世能夠見證你
[00:01:00.000 --> 00:01:01.000]  我們這樣的禱告
[00:01:01.000 --> 00:01:03.000]  奉靠主耶穌基督的名
[00:01:03.000 --> 00:01:05.000]  阿們
[00:01:05.000 --> 00:01:08.000]  在福音書裡面
[00:01:08.000 --> 00:01:11.000]  有記載主耶穌降生的事
[00:01:11.000 --> 00:01:13.500]  但是剛才我們看的那段經文
[00:01:13.500 --> 00:01:16.000]  提到博士這件事
[00:01:16.000 --> 00:01:20.000]  就指有路加福音有記載
[00:01:20.000 --> 00:01:21.500]  那些博士
[00:01:21.500 --> 00:01:24.000]  這次我們讀的經文看到
[00:01:24.000 --> 00:01:28.000]  就是博學之士
[00:01:28.000 --> 00:01:31.500]  其實很多人都叫他做東方博士
[00:01:31.500 --> 00:01:32.500]  為什麼呢
[00:01:32.500 --> 00:01:35.500]  因為經文裡面有提到
[00:01:35.500 --> 00:01:39.000]  他是從東方來的
[00:01:39.000 --> 00:01:41.500]  如果我們把福音書裡面
[00:01:41.500 --> 00:01:45.000]  所有記載主耶穌降生的事
