
[00:00:00.000 --> 00:00:07.000]  今日我會和大家分享成功的一個心要怎樣
[00:00:07.000 --> 00:00:13.000]  在加拿大的 BC省 省督林思齊是一個很成功的人
[00:00:13.000 --> 00:00:16.000]  他是華人第一個成為西方的總督
[00:00:16.000 --> 00:00:21.000]  他在我31歲的時候聽到我的錄音帶
[00:00:21.000 --> 00:00:24.000]  講福音 中國文化等等 他很喜歡
[00:00:24.000 --> 00:00:28.000]  當時我在美國留學 他就託人到處找我
[00:00:28.000 --> 00:00:33.000]  終於和我通電話 請我去加拿大做研究
[00:00:33.000 --> 00:00:38.000]  我記得他成為省督 他達至人生的最高峰
[00:00:38.000 --> 00:00:42.000]  當時他送我一本書叫做 See you at the top
[00:00:42.000 --> 00:00:46.000]  即是在最高頂端見到你
[00:00:46.000 --> 00:00:48.000]  但那本書其實我沒甚麼看
[00:00:48.000 --> 00:00:51.000]  因為我沒甚麼興趣去到那個top
[00:00:51.000 --> 00:00:54.000]  因為去到top即是說那些總督
[00:00:54.000 --> 00:00:56.000]  或者是一些領導人
[00:00:56.000 --> 00:00:58.000]  即是那些一是權力
[00:00:58.000 --> 00:01:01.000]  或者在金錢上很成功的人
[00:01:01.000 --> 00:01:03.000]  就是 See you at the top
[00:01:03.000 --> 00:01:07.000]  我又不是很追求權力 也不是很追求金錢
[00:01:07.000 --> 00:01:10.000]  其實我只想去服侍而已
[00:01:10.000 --> 00:01:12.000]  所以我其實沒有看那本書
[00:01:12.000 --> 00:01:17.000]  但這個代表林省督當時對我這個年輕人的一個期望
[00:01:17.000 --> 00:01:20.000]  或者有一天你可以上到很高峰
[00:01:20.000 --> 00:01:25.000]  我在42歲的時候上帝呼召我去了中國
[00:01:25.000 --> 00:01:30.000]  因為其實當時要放棄很多真是成功的機會
[00:01:30.000 --> 00:01:33.000]  或者是高薪 或者是一些厚職
[00:01:33.000 --> 00:01:36.000]  但是去中國你就只能夠放下這一切
[00:01:36.000 --> 00:01:40.000]  做一個時工是不會很高薪
[00:01:40.000 --> 00:01:44.000]  但我覺得中國受到很大的傷害的一個民族
[00:01:44.000 --> 00:01:49.000]  百多年的滄桑 有很深遠的歷史文化
[00:01:49.000 --> 00:01:54.000]  我覺得神叫我進去就是用愛去重建中國的
[00:01:54.000 --> 00:01:58.000]  所以我就進去了早二十幾年
[00:01:58.000 --> 00:02:00.000]  到我早十幾年的時候
[00:02:00.000 --> 00:02:05.000]  就是2011年 當時林省督就快去世了
[00:02:05.000 --> 00:02:09.000]  其實我都不好意思 我沒有看他給我的那本書
[00:02:09.000 --> 00:02:12.000]  但是他就跟我說 他知道我有一宗這麼多年
[00:02:12.000 --> 00:02:14.000]  他都很愛中國
[00:02:14.000 --> 00:02:16.000]  他說我很高興我沒有看錯你
[00:02:16.000 --> 00:02:19.000]  就是年輕的時候 我覺得你很特別
[00:02:19.000 --> 00:02:21.000]  所以我請你來之後
[00:02:21.000 --> 00:02:24.000]  我希望你做到的事情 你真的做到了
[00:02:24.000 --> 00:02:28.000]  那一年後 當時他死了
[00:02:28.000 --> 00:02:33.000]  一年後 當時中國就委任我一個位
[00:02:33.000 --> 00:02:37.000]  是可以去到國家的高層的一些諮詢會議那裡
[00:02:37.000 --> 00:02:42.000]  而且他是希望我反映到基督教的一些觀點
[00:02:42.000 --> 00:02:44.000]  我覺得很奇怪
[00:02:44.000 --> 00:02:47.000]  就是去到最上層
[00:02:47.000 --> 00:02:49.000]  那裡很多領導人 很多人物
[00:02:49.000 --> 00:02:53.000]  在海外大概有四、五十人被邀請回去
[00:02:53.000 --> 00:02:57.000]  結果一大箱一大箱中國國家的文件給我們
[00:02:57.000 --> 00:02:59.000]  去研究給我們 去給意見
[00:02:59.000 --> 00:03:02.000]  我發現這些會議不是在最上層嗎
[00:03:02.000 --> 00:03:05.000]  林總督當時說See you at the top
[00:03:05.000 --> 00:03:07.000]  終於去到一個這樣的位置
[00:03:07.000 --> 00:03:11.000]  我才想 是啊 其實我都沒有追求
[00:03:11.000 --> 00:03:13.000]  但是為什麼來到這個位置
[00:03:13.000 --> 00:03:17.000]  可以向國家高層反映我們的意見呢
[00:03:17.000 --> 00:03:19.000]  因為我有很多東西想跟中國講
[00:03:19.000 --> 00:03:22.000]  所以突然間很大感慨
[00:03:22.000 --> 00:03:26.000]  就是原來只要你是努力奮鬥
[00:03:26.000 --> 00:03:28.000]  為了一些崇高的價值
[00:03:28.000 --> 00:03:31.000]  一樣可以達到一些位置
[00:03:31.000 --> 00:03:34.000]  林散督當時我就問他
[00:03:34.000 --> 00:03:36.000]  他是一個很愛著基督徒
[00:03:36.000 --> 00:03:38.000]  很熱愛中國文化
[00:03:38.000 --> 00:03:41.000]  我說你怎樣達至成功
[00:03:41.000 --> 00:03:44.000]  他說達至成功 第一樣就是要清心
[00:03:44.000 --> 00:03:47.000]  心不是想著要有什麼東西
[00:03:47.000 --> 00:03:50.000]  要得到什麼東西 我只是為了神
[00:03:50.000 --> 00:03:55.000]  他說我一開始就放棄追求成功的慾望
[00:03:55.000 --> 00:03:58.000]  這個就是我在他那裡學到最大的東西
[00:03:58.000 --> 00:04:02.000]  就是你要成功就先不要追求成功
[00:04:02.000 --> 00:04:04.000]  你經常想著要成功
[00:04:04.000 --> 00:04:06.000]  你有很多慾望 其實你會有很多野心
[00:04:06.000 --> 00:04:07.000]  很多陰謀
[00:04:07.000 --> 00:04:10.000]  慢慢地你就沒有了一種很單純
[00:04:10.000 --> 00:04:12.000]  跟上帝的關係
[00:04:12.000 --> 00:04:14.000]  沒有了這些你反而會成功
[00:04:14.000 --> 00:04:16.000]  你沒有執著 你的心很清明
[00:04:16.000 --> 00:04:19.000]  你用人愛心待人 你對人有真誠
[00:04:19.000 --> 00:04:22.000]  結果他又做到很高層
[00:04:22.000 --> 00:04:24.000]  做到散督這麼高位
[00:04:24.000 --> 00:04:26.000]  他地位和英女皇同級
[00:04:26.000 --> 00:04:28.000]  代表英女皇在加拿大
[00:04:28.000 --> 00:04:30.000]  他成功的因素就是兩樣東西
[00:04:30.000 --> 00:04:33.000]  一個就是清心 一個就是真誠
[00:04:33.000 --> 00:04:35.000]  就是他要信服上帝
[00:04:35.000 --> 00:04:37.000]  又有他是一個中國人在加拿大
[00:04:37.000 --> 00:04:39.000]  他承擔中國文化
[00:04:39.000 --> 00:04:42.000]  一個就是中國文化
[00:04:42.000 --> 00:04:44.000]  他在西方不會上位
[00:04:44.000 --> 00:04:47.000]  他在西方 別人也不會用你
[00:04:47.000 --> 00:04:50.000]  你如果很西方 你也不是有中國特色
[00:04:50.000 --> 00:04:52.000]  他兩樣結合的時候
[00:04:52.000 --> 00:04:54.000]  他就有中國信徒的人格
[00:04:54.000 --> 00:04:58.000]  又貢獻社會給人重視
[00:04:58.000 --> 00:05:00.000]  這是一個很奇特的結合
[00:05:00.000 --> 00:05:02.000]  他怕什麼呢
[00:05:02.000 --> 00:05:04.000]  想起巴菲特說過
[00:05:04.000 --> 00:05:06.000]  我們要的不是錢
[00:05:06.000 --> 00:05:08.000]  最重要是正直 勤奮 活力
[00:05:08.000 --> 00:05:10.000]  如果不擁有第一個品質
[00:05:10.000 --> 00:05:11.000]  即是正直
[00:05:11.000 --> 00:05:13.000]  其他兩個只有勤奮和活力
[00:05:13.000 --> 00:05:14.000]  會毀滅你
[00:05:14.000 --> 00:05:15.000]  即是你很奮鬥
[00:05:15.000 --> 00:05:17.000]  一直很有活力地奮鬥
[00:05:17.000 --> 00:05:19.000]  但可能都會失敗
[00:05:19.000 --> 00:05:22.000]  但你正直 最後就會成功
[00:05:22.000 --> 00:05:24.000]  所以我開始去想
[00:05:24.000 --> 00:05:27.000]  其實成功最重要是有理想
[00:05:27.000 --> 00:05:29.000]  有夢想
[00:05:29.000 --> 00:05:31.000]  一個學者叫Mark Alvian
[00:05:31.000 --> 00:05:33.000]  他指出1960年有一個研究
[00:05:33.000 --> 00:05:36.000]  將1500個雙方畢業生分兩組
[00:05:36.000 --> 00:05:38.000]  A組認為要先賺錢
[00:05:38.000 --> 00:05:39.000]  之後才找理想
[00:05:39.000 --> 00:05:41.000]  B組說要找理想
[00:05:41.000 --> 00:05:43.000]  然後才賺錢
[00:05:43.000 --> 00:05:44.000]  錢會自然來的
[00:05:44.000 --> 00:05:47.000]  A組有1200多人
[00:05:47.000 --> 00:05:48.000]  佔83%
[00:05:48.000 --> 00:05:49.000]  B組只有200多人
[00:05:49.000 --> 00:05:50.000]  佔17%
[00:05:50.000 --> 00:05:53.000]  但結果1980年 20年後
[00:05:53.000 --> 00:05:55.000]  再研究這批人
[00:05:55.000 --> 00:05:58.000]  有101人成為百萬富豪
[00:05:58.000 --> 00:06:00.000]  其中100個都是B組
[00:06:00.000 --> 00:06:02.000]  即是賺錢先那些
[00:06:02.000 --> 00:06:03.000]  只有一個成功
[00:06:03.000 --> 00:06:06.000]  但不是賺錢先
