
[00:00:00.000 --> 00:00:01.560]  我今天的題目是
[00:00:01.560 --> 00:00:04.040]  「竭力做一個虔誠的信徒」
[00:00:04.040 --> 00:00:05.720]  所以開始之前
[00:00:05.720 --> 00:00:08.040]  我想問大家一個問題
[00:00:08.040 --> 00:00:12.080]  你覺得自己是不是一個虔誠的信徒呢?
[00:00:12.080 --> 00:00:13.920]  如果你覺得自己是的
[00:00:13.920 --> 00:00:15.880]  我想你舉一舉手,好嗎?
[00:00:15.880 --> 00:00:16.920]  現在舉一舉手
[00:00:16.920 --> 00:00:17.880]  好,好
[00:00:17.880 --> 00:00:21.160]  看到了,可以放下了
[00:00:21.160 --> 00:00:23.800]  你們是最勇敢的
[00:00:23.800 --> 00:00:26.720]  因為你跟隨主意,也願意承認
[00:00:26.720 --> 00:00:27.880]  非常好
[00:00:27.880 --> 00:00:30.120]  第二點,我又想問一下
[00:00:30.120 --> 00:00:32.600]  有沒有人覺得自己不是很虔誠
[00:00:32.600 --> 00:00:34.240]  不是一個虔誠的信徒
[00:00:34.240 --> 00:00:35.640]  又舉一舉手,好嗎?
[00:00:35.640 --> 00:00:37.720]  好,我也看到有一些
[00:00:37.720 --> 00:00:39.720]  差不多跟剛才的差不多
[00:00:39.720 --> 00:00:42.120]  你們都是很厲害的
[00:00:42.120 --> 00:00:44.640]  因為你們是非常謹慎的人
[00:00:44.640 --> 00:00:47.240]  我怎知道有沒有東西漏了呢?
[00:00:47.240 --> 00:00:50.440]  都是說自己不虔誠比較好
[00:00:50.440 --> 00:00:52.040]  有沒有人覺得
[00:00:52.040 --> 00:00:54.560]  我不知道自己是不是虔誠的人
[00:00:54.560 --> 00:00:56.560]  不如又舉一舉手,好嗎?
[00:00:56.560 --> 00:00:59.440]  原來不是很多
[00:00:59.440 --> 00:01:01.520]  好,也有人舉手
[00:01:01.520 --> 00:01:04.520]  你們其實是最聰明的一批
[00:01:04.520 --> 00:01:07.200]  因為我怎知道自己是不是
[00:01:07.200 --> 00:01:08.840]  答「是」又好像多了一點
[00:01:08.840 --> 00:01:10.800]  「不是」又好像很虔誠
[00:01:10.800 --> 00:01:13.000]  我還看到有些人是沒有舉手的
[00:01:13.000 --> 00:01:14.720]  你們不需要舉手了
[00:01:14.720 --> 00:01:17.400]  因為我知道時間尚早
[00:01:17.400 --> 00:01:19.480]  可能你還在思考
[00:01:19.480 --> 00:01:22.560]  我們今天其實是一起來看看
[00:01:22.560 --> 00:01:23.920]  用《猶大書》
[00:01:23.920 --> 00:01:24.960]  因為有時候
