
[00:00:00.000 --> 00:00:04.000]  各位電影主媒《平安救約》仍然說話
[00:00:04.000 --> 00:00:06.000]  今天要跟大家思想的
[00:00:06.000 --> 00:00:09.000]  就是你不要動貪念
[00:00:09.000 --> 00:00:12.000]  人原來很多時候很貪心的
[00:00:12.000 --> 00:00:16.000]  大家都知道現代很流行的那些就是詐騙案
[00:00:16.000 --> 00:00:20.000]  電話詐騙 電郵詐騙
[00:00:20.000 --> 00:00:22.000]  你收到的那些信息
[00:00:22.000 --> 00:00:24.000]  其實都是想騙你的
[00:00:24.000 --> 00:00:28.000]  為什麼這些詐騙案會這麼多
[00:00:28.000 --> 00:00:31.000]  其實政府已經很多時候在電視
[00:00:31.000 --> 00:00:33.000]  在各個媒介上面宣傳
[00:00:33.000 --> 00:00:35.000]  你小心啊 不要中計啊
[00:00:35.000 --> 00:00:37.000]  有人騙你的錢
[00:00:37.000 --> 00:00:40.000]  但仍然有很多人中計
[00:00:40.000 --> 00:00:42.000]  而且他們所損失的金錢
[00:00:42.000 --> 00:00:45.000]  有時候都是很龐大的
[00:00:45.000 --> 00:00:47.000]  就是你無端端相信了這個人
[00:00:47.000 --> 00:00:49.000]  你就將那些錢轉入
[00:00:49.000 --> 00:00:52.000]  他告訴你那個銀行戶口裡面
[00:00:52.000 --> 00:00:54.000]  為什麼會這樣呢
[00:00:54.000 --> 00:00:56.000]  為什麼會這麼多人中計呢
[00:00:56.000 --> 00:00:59.000]  因為我們裡面有貪心
[00:00:59.000 --> 00:01:01.000]  所以在《十誡》裡面
[00:01:01.000 --> 00:01:04.000]  最後一誡 第十誡那裡
[00:01:04.000 --> 00:01:07.000]  很簡潔地翻譯就說
[00:01:07.000 --> 00:01:10.000]  不可有貪心
[00:01:10.000 --> 00:01:13.000]  但是在朱凱琪的二十章
[00:01:13.000 --> 00:01:16.000]  所記載的裡面是比較長的
[00:01:16.000 --> 00:01:20.000]  我想讀一讀給大家聽
[00:01:20.000 --> 00:01:25.000]  他說不可貪戀人的房屋
[00:01:25.000 --> 00:01:29.000]  也不可貪戀人的妻子
[00:01:29.000 --> 00:01:37.000]  卜皮牛奴並拒一切所有的
[00:01:37.000 --> 00:01:43.000]  貪戀這個字出現了兩次
[00:01:43.000 --> 00:01:48.000]  別人的就出現了三次
[00:01:48.000 --> 00:01:50.000]  就是你看到別人有些好東西
[00:01:50.000 --> 00:01:53.000]  不知為什麼你又想要
[00:01:53.000 --> 00:01:55.000]  我小時候我們上學
[00:01:55.000 --> 00:01:58.000]  看到旁邊的同學有塊擦膠
[00:01:58.000 --> 00:01:59.000]  很漂亮 我不知為什麼
[00:01:59.000 --> 00:02:02.000]  你就偷了它 扫了它
[00:02:02.000 --> 00:02:05.000]  到了長大了 我們就羨慕
[00:02:05.000 --> 00:02:07.000]  為什麼他有架好車
[00:02:07.000 --> 00:02:09.000]  會不會我也可以有架好車
[00:02:09.000 --> 00:02:11.000]  他的房子很漂亮
[00:02:11.000 --> 00:02:14.000]  住在那些很高尚的住宅區
[00:02:14.000 --> 00:02:16.000]  如果我第二天又有一間這樣的房子
[00:02:16.000 --> 00:02:18.000]  就好了 我們很羨慕
[00:02:18.000 --> 00:02:22.000]  我們很渴望 我們很渴望都得到
