
[00:00:00.000 --> 00:00:03.660]  啟示錄二十二章的六節開始
[00:00:03.660 --> 00:00:05.160]  預備一、二、三
[00:00:05.160 --> 00:00:07.280]  「天使又對我說
[00:00:07.280 --> 00:00:10.080]  這些話是真實可信的
[00:00:10.080 --> 00:00:13.660]  主就是眾仙之被感知靈的神
[00:00:13.660 --> 00:00:15.800]  猜顯他的使者
[00:00:15.800 --> 00:00:20.000]  將那必要快成的事指示他僕人
[00:00:20.000 --> 00:00:22.320]  看那我必快來
[00:00:22.320 --> 00:00:26.240]  凡遵守這書上預言的有福了」
[00:00:26.240 --> 00:00:27.120]  第八節
[00:00:27.120 --> 00:00:32.080]  「這些事是我若翰所聽見所看見的
[00:00:32.080 --> 00:00:34.560]  我既聽見看見了
[00:00:34.560 --> 00:00:37.600]  就在指示我的天使腳前
[00:00:37.600 --> 00:00:39.840]  俯伏要拜他」
[00:00:39.840 --> 00:00:42.440]  第二十二章第十二節
[00:00:42.440 --> 00:00:45.600]  留意第二次出現「我必快來」
[00:00:45.600 --> 00:00:46.960]  在結束的時間
[00:00:46.960 --> 00:00:48.400]  預備一起讀
[00:00:48.400 --> 00:00:50.400]  「看那我必快來
[00:00:50.400 --> 00:00:55.040]  賞罰在我要照各人所行的報應他」
[00:00:55.040 --> 00:00:56.040]  十三節
[00:00:56.040 --> 00:00:57.640]  「我是阿拉伯
[00:00:57.640 --> 00:00:59.240]  我是俄梅格
[00:00:59.240 --> 00:01:01.040]  我是首先的
[00:01:01.040 --> 00:01:02.600]  我是末後的
[00:01:02.600 --> 00:01:03.800]  我是初
[00:01:03.800 --> 00:01:04.880]  我是終」
[00:01:04.880 --> 00:01:05.880]  第二十節
[00:01:05.880 --> 00:01:09.040]  「證明這是的說事了
[00:01:09.040 --> 00:01:10.360]  我必快來
[00:01:10.360 --> 00:01:11.240]  阿們
[00:01:11.240 --> 00:01:12.400]  主耶穌說
[00:01:12.400 --> 00:01:13.680]  我願你來」
[00:01:13.680 --> 00:01:19.280]  留意到這裡出現了三次「我必快來」
[00:01:19.280 --> 00:01:22.080]  還有如果你看看前面
[00:01:22.080 --> 00:01:25.560]  剛才我一開始讀的二十二章第六節
[00:01:25.560 --> 00:01:27.960]  其實整個第二十二章
[00:01:27.960 --> 00:01:30.040]  就是啟示老一最後一章聖經
[00:01:30.040 --> 00:01:33.160]  他怎樣說完這個信息呢?
[00:01:33.160 --> 00:01:35.960]  就是說說了這麼多的儀仗
[00:01:35.960 --> 00:01:39.360]  對教會提醒了這麼多東西
[00:01:39.360 --> 00:01:42.320]  天使就跟約翰說
[00:01:42.320 --> 00:01:44.760]  這些是真實可信的
[00:01:44.760 --> 00:01:48.240]  主就是眾仙之被感知靈的神
[00:01:48.240 --> 00:01:49.400]  猜應他的使者
[00:01:49.400 --> 00:01:53.040]  將那必要快成的事指示他的僕人
[00:01:53.040 --> 00:01:56.320]  就是說這些事是很快會出現的
[00:01:56.320 --> 00:01:57.840]  當然那個快
[00:01:57.840 --> 00:02:00.560]  我們也曾經說過這個問題
[00:02:00.560 --> 00:02:02.520]  當時約翰收到
[00:02:02.520 --> 00:02:04.040]  感覺很快
[00:02:04.040 --> 00:02:05.960]  但是你說那就是二千年了
[00:02:05.960 --> 00:02:08.040]  但是這個感覺的快就是
[00:02:08.040 --> 00:02:09.320]  因為我們不知道
[00:02:09.320 --> 00:02:11.200]  或者約翰那時候也不知道
[00:02:11.200 --> 00:02:13.280]  什麼時候耶穌會來
[00:02:13.280 --> 00:02:14.240]  是很快的
[00:02:14.240 --> 00:02:15.560]  隨時要準備的
[00:02:15.560 --> 00:02:18.480]  事實上稍後我會提到
[00:02:18.480 --> 00:02:20.080]  彼得前書的經文
[00:02:20.080 --> 00:02:21.560]  就會明白這個意思
[00:02:21.560 --> 00:02:23.280]  為什麼快來快去這麼多年
[00:02:23.280 --> 00:02:24.520]  好像還沒到呢?
[00:02:24.520 --> 00:02:25.200]  主在來
[00:02:25.200 --> 00:02:26.160]  但是無論如何
[00:02:26.160 --> 00:02:26.960]  稍後再補充一下
[00:02:26.960 --> 00:02:28.200]  但是我們看到
[00:02:28.200 --> 00:02:30.040]  我必快來
[00:02:30.040 --> 00:02:31.560]  就是說耶穌說
[00:02:31.560 --> 00:02:32.880]  應該這麼說
[00:02:32.880 --> 00:02:35.000]  耶穌說我一定會來的
[00:02:35.000 --> 00:02:36.040]  這些事
[00:02:36.040 --> 00:02:38.080]  在啟示錄的那個儀仗這麼多
[00:02:38.080 --> 00:02:39.800]  剛才你讀的那個經文
[00:02:39.800 --> 00:02:41.720]  約翰就再說了
[00:02:41.720 --> 00:02:44.240]  是神啟示他的
[00:02:44.240 --> 00:02:48.160]  特別第二十二章第六節他說
[00:02:48.160 --> 00:02:50.880]  這些是真實可信的
[00:02:51.680 --> 00:02:53.320]  不知道大家覺得
[00:02:53.320 --> 00:02:54.720]  神的話可不可信
[00:02:54.720 --> 00:02:59.120]  或者神的啟示錄
[00:02:59.120 --> 00:03:01.160]  或者末世的事情
[00:03:01.160 --> 00:03:03.120]  是不是真的末世很逼近
[00:03:03.120 --> 00:03:05.200]  沒有什麼就不覺得是真的
[00:03:05.200 --> 00:03:06.960]  可能大家會越來越覺得真
[00:03:06.960 --> 00:03:09.520]  這裡就說無論你什麼感覺都好
[00:03:09.520 --> 00:03:10.640]  聖經就說
[00:03:10.640 --> 00:03:11.960]  這些的事
[00:03:11.960 --> 00:03:14.840]  就是真實可信的
[00:03:14.840 --> 00:03:19.200]  真實可信使得我們應該怎麼做呢?
[00:03:19.200 --> 00:03:22.880]  我們再讀繼續的讀經
[00:03:22.880 --> 00:03:26.200]  我們要記住他最初在說什麼
[00:03:26.200 --> 00:03:28.680]  啟示錄第一章第八節
[00:03:28.680 --> 00:03:32.160]  到第十一節和第十九節
[00:03:32.160 --> 00:03:33.920]  找到的話我們一起讀
[00:03:33.920 --> 00:03:35.560]  還有應該投影有的
[00:03:35.560 --> 00:03:36.520]  是的
[00:03:36.520 --> 00:03:36.920]  好了
[00:03:36.920 --> 00:03:37.720]  預備
[00:03:37.720 --> 00:03:39.440]  第一章第八節
[00:03:39.440 --> 00:03:40.760]  一二三
[00:03:40.760 --> 00:03:41.840]  主神說
